shape,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
NOISE,64263,31357,0.4879,0.4841,0.4918,0.038
STEEP_LINEAR_UP,24532,11533,0.4701,0.4639,0.4764,-0.083
STEEP_LINEAR_DOWN,24327,12120,0.4982,0.4919,0.5045,0.122
STEEP_CONCAVE_UP,24266,11647,0.48,0.4737,0.4863,-0.112
STEEP_CONVEX_DOWN,22620,10969,0.4849,0.4784,0.4914,0.014
STEEP_CONCAVE_DOWN,14327,7069,0.4934,0.4852,0.5016,-0.038
STEEP_CONVEX_UP,14253,6719,0.4714,0.4632,0.4796,-0.105
FLATLINE,14076,6852,0.4868,0.4785,0.495,-0.04
GENTLE_LINEAR_UP,157,67,0.4277,0.352,0.5051,-0.186
GENTLE_LINEAR_DOWN,139,63,0.4539,0.3728,0.5363,-0.282
GENTLE_CONCAVE_UP,136,71,0.5217,0.4385,0.6044,0.224
GENTLE_CONVEX_DOWN,131,56,0.4286,0.3459,0.5132,0.052
GENTLE_CONVEX_UP,100,42,0.4216,0.3279,0.5182,-0.237
GENTLE_CONCAVE_DOWN,96,47,0.4898,0.3917,0.5882,0.023
