day,ts,i,trigger_i,trigger_ts,shelf_px,poke_px,dwell_frac,bounce_pt,day_class,mod,outcome,resolve_min
2024_01_03,1704306780,1173,1172,1704306720,16583.0,16581.0,0.08333333333333333,6.75,other,813.0,CRACK,2
2024_01_12,1705089300,1255,1254,1705089240,16969.0,16948.0,0.13333333333333333,9.5,other,895.0,CRACK,6
2024_01_24,1706118540,1129,1128,1706118480,17775.0,17771.75,0.08333333333333333,15.0,other,769.0,HOLD,1
2024_01_30,1706627040,964,963,1706626980,17665.0,17632.25,0.15,12.75,other,604.0,HOLD,3
2024_02_01,1706816400,1240,1239,1706816340,17395.0,17393.0,0.08333333333333333,14.25,other,880.0,HOLD,5
2024_02_06,1707242520,1142,1141,1707242460,17593.0,17590.25,0.08333333333333333,18.25,other,782.0,HOLD,2
2024_02_09,1707496800,1060,1059,1707496740,17981.0,17980.0,0.08333333333333333,17.0,other,700.0,HOLD,1
2024_02_15,1708026480,1248,1247,1708026420,17915.0,17919.0,0.1,7.5,other,888.0,CRACK,9
2024_02_21,1708540440,1174,1173,1708540380,17445.0,17448.0,0.08333333333333333,9.0,other,814.0,HOLD,1
2024_02_26,1708975620,1227,1226,1708975560,18027.0,18028.0,0.08333333333333333,6.75,other,867.0,CRACK,10
2024_03_01,1709322180,1243,1242,1709322120,18339.0,18336.25,0.08333333333333333,12.0,other,883.0,HOLD,2
2024_03_06,1709750820,1187,1186,1709750760,18129.0,18056.0,0.08333333333333333,47.5,other,827.0,HOLD,1
2024_03_19,1710855120,932,931,1710855060,18111.0,18103.25,0.09166666666666666,36.75,other,572.0,HOLD,1
2024_03_21,1711031940,999,998,1711031880,18659.0,18633.0,0.1,9.0,other,639.0,CRACK,1
2024_03_27,1711546440,934,933,1711546380,18527.0,18516.0,0.09166666666666666,15.5,other,574.0,CRACK,2
2024_04_03,1712156160,1016,1015,1712156100,18415.0,18415.0,0.08333333333333333,16.25,other,656.0,HOLD,1
2024_04_09,1712684580,1183,1182,1712684520,18285.0,18262.0,0.08333333333333333,11.25,other,823.0,CRACK,6
2024_04_16,1713291360,1216,1215,1713291300,17913.0,17893.75,0.1,19.0,other,856.0,CRACK,1
2024_04_23,1713887820,1077,1076,1713887760,17583.0,17568.5,0.08333333333333333,9.75,other,717.0,CRACK,2
2024_04_29,1714402740,1019,1018,1714402680,17887.0,17884.25,0.08333333333333333,12.25,flushV,659.0,CRACK,4
2024_05_03,1714748040,1014,1013,1714747980,17931.0,17929.0,0.09166666666666666,12.5,other,654.0,HOLD,1
2024_05_06,1715009940,1059,1058,1715009880,18097.0,18100.5,0.14166666666666666,8.5,other,699.0,HOLD,6
2024_05_08,1715175120,932,931,1715175060,18089.0,18093.75,0.14166666666666666,16.0,other,572.0,HOLD,4
2024_05_14,1715704920,1122,1121,1715704860,18309.0,18306.0,0.08333333333333333,6.25,other,762.0,CRACK,4
2024_05_17,1715952660,931,930,1715952600,18673.0,18649.0,0.16666666666666666,14.0,other,571.0,CRACK,3
2024_05_21,1716314700,1205,1204,1716314640,18765.0,18766.5,0.14166666666666666,6.5,other,845.0,CRACK,19
2024_05_28,1716911700,1075,1074,1716911640,18917.0,18920.0,0.09166666666666666,5.5,flushV,715.0,CRACK,12
2024_06_04,1717528080,1268,1267,1717528020,18629.0,18631.75,0.09166666666666666,24.25,other,908.0,HOLD,1
2024_06_10,1718039400,1150,1149,1718039340,19107.0,19093.5,0.125,7.25,other,790.0,CRACK,3
