day,ts,i,chain_n,step_high,step_low,step_depth,chain_head_high,chain_descent,defense_pt,defense_lag_s,mod,race,resolve_s,defense_hold,sym_race,sym_resolve_s,net_30m
2024_01_03,1704294510,10486,3,16626.75,16616.25,10.5,16645.0,28.75,5.5,5,608.5,NEW_LOW,35,False,CONT,45,-62.75
2024_01_23,1706037925,14027,5,17477.25,17467.75,9.5,17489.0,21.25,2.0,5,865.4166666666666,NEW_LOW,50,False,AGAINST,890,26.5
2024_01_26,1706291765,13470,7,17536.0,17525.0,11.0,17630.0,105.0,2.25,0,776.0833333333334,NEW_LOW,25,False,CONT,280,17.25
2024_02_07,1707328875,13201,1,17819.0,17801.75,17.25,17819.0,17.25,2.75,5,781.25,STAIR_BREAK,25,False,AGAINST,25,47.0
2024_03_06,1709741220,11798,2,18091.0,18079.75,11.25,18107.5,27.75,2.5,0,667.0,STAIR_BREAK,75,True,AGAINST,75,8.0
2024_03_13,1710349325,12694,1,18375.5,18364.25,11.25,18375.5,11.25,6.0,0,782.0833333333334,STAIR_BREAK,20,False,AGAINST,365,13.25
2024_03_18,1710780920,13328,3,18268.75,18256.0,12.75,18301.0,45.0,2.0,0,775.3333333333334,NEW_LOW,5,False,CONT,165,24.75
2024_04_03,1712153815,11268,1,18389.25,18376.0,13.25,18389.25,13.25,2.25,5,616.9166666666666,NEW_LOW,45,False,AGAINST,125,32.75
2024_04_05,1712340160,14226,3,18273.25,18263.75,9.5,18299.0,35.25,2.25,0,842.6666666666666,NEW_LOW,25,False,AGAINST,105,22.25
2024_04_15,1713197525,12960,2,18225.0,18209.5,15.5,18223.75,14.25,2.5,5,732.0833333333334,NEW_LOW,145,False,CONT,260,-120.0
2024_04_24,1713965805,11023,1,17756.75,17747.75,9.0,17756.75,9.0,5.25,0,576.75,STAIR_BREAK,10,True,AGAINST,40,16.0
2024_05_10,1715348665,10538,2,18330.0,18318.0,12.0,18329.75,11.75,2.75,5,584.4166666666666,NEW_LOW,35,False,AGAINST,220,-44.5
