day,ts,i,box_lo,box_hi,esc_buf,box_pt,flips,ambient_pt,box_ambient_ratio,mid_px,mod,escaped,escape_lag_s,escape_dir,escape_px,mag_5m,mag_15m,mag_30m
2024_01_11,1704990539,39355,16792.25,16799.75,3.75,7.5,30.0,13.625,0.5504587155963303,16795.5,688.9833333333333,True,97,-1,16788.25,-6.5,20.5,10.25
2024_01_18,1705603160,52341,16997.25,17003.25,3.0,6.0,30.0,10.0,0.6,17002.75,819.3333333333334,True,66,-1,16994.0,-24.25,-18.75,-45.5
2024_01_30,1706642706,50013,17578.25,17581.5,1.625,3.25,30.0,5.75,0.5652173913043478,17581.25,865.1,True,11,1,17583.25,2.0,1.75,7.5
2024_02_06,1707247326,50732,17578.75,17583.0,2.125,4.25,30.0,7.375,0.576271186440678,17582.75,862.1,True,14,1,17585.25,8.25,17.5,33.25
2024_02_14,1707940689,52752,17791.25,17796.0,2.375,4.75,31.0,8.25,0.5757575757575758,17794.5,898.15,True,20,-1,17787.5,-5.75,-19.75,-52.5
2024_02_23,1708711208,43972,18038.5,18043.25,2.375,4.75,33.0,8.875,0.5352112676056338,18039.25,780.1333333333333,True,154,-1,18035.25,-7.5,-12.75,-7.5
2024_03_18,1710772048,40636,18367.5,18374.75,3.625,7.25,32.0,13.25,0.5471698113207547,18372.75,627.4666666666667,True,94,1,18379.0,-24.0,-8.25,-25.5
2024_03_25,1711391388,52337,18558.75,18561.25,1.25,2.5,30.0,4.5,0.5555555555555556,18559.25,869.8,True,40,-1,18556.75,6.0,-2.0,-9.5
2024_04_02,1712066357,37369,18241.5,18248.25,3.375,6.75,31.0,11.375,0.5934065934065934,18246.25,599.2833333333333,True,42,1,18254.0,19.25,-37.5,-15.5
2024_04_11,1712849071,43007,18263.0,18268.0,2.5,5.0,30.0,10.75,0.46511627906976744,18265.0,684.5166666666667,True,20,-1,18259.0,11.5,-8.25,-18.75
2024_05_02,1714661070,41348,17460.25,17470.5,5.125,10.25,31.0,17.5,0.5857142857142857,17462.0,644.5,True,105,-1,17455.0,-37.5,-74.0,-98.25
2024_05_08,1715179519,34084,18216.25,18221.25,2.5,5.0,33.0,8.625,0.5797101449275363,18218.25,645.3166666666667,True,121,1,18224.25,3.75,5.5,-45.5
2024_05_14,1715711177,44462,18379.5,18382.5,1.5,3.0,30.0,5.0,0.6,18382.25,866.2833333333333,True,73,-1,18377.75,1.75,-33.25,-34.75
2024_05_28,1716907059,36045,18886.5,18892.25,2.875,5.75,30.0,10.875,0.5287356321839081,18890.25,637.65,True,10,-1,18882.0,-18.0,-35.25,-23.0
2024_06_03,1717439580,55805,18550.25,18556.5,3.125,6.25,31.0,10.625,0.5882352941176471,18554.75,873.0,True,202,1,18559.75,17.75,3.25,-1.0
2024_06_12,1718209446,38433,19496.25,19500.0,1.875,3.75,30.0,6.25,0.6,19498.75,744.1,True,43,1,19502.0,-0.25,-1.75,3.25
2024_06_20,1718893407,34924,20151.5,20158.75,3.625,7.25,34.0,12.25,0.5918367346938775,20155.25,623.45,True,90,-1,20146.25,-22.0,-43.5,-41.25
2024_06_27,1719509817,49306,20050.0,20054.25,2.125,4.25,30.0,7.25,0.5862068965517241,20053.0,816.95,True,13,1,20057.0,3.0,-6.5,-45.5
2024_07_03,1720023709,40610,20411.25,20415.25,2.0,4.0,31.0,6.75,0.5925925925925926,20414.0,741.8166666666667,True,18,1,20417.5,-1.75,-9.25,-28.25
2024_07_10,1720627320,34956,20760.5,20764.25,1.875,3.75,31.0,6.5,0.5769230769230769,20761.75,722.0,True,71,1,20766.5,6.5,13.25,60.75
2024_07_17,1721233993,49508,20039.0,20047.0,4.0,8.0,30.0,14.0,0.5714285714285714,20043.0,753.2166666666667,True,68,1,20051.5,-17.5,-38.75,-4.75
2024_07_23,1721759684,56954,19962.25,19967.25,2.5,5.0,30.0,9.125,0.547945205479452,19965.0,874.7333333333333,True,52,1,19970.5,5.75,-5.5,-2.5
2024_07_30,1722357890,52179,18924.0,18932.75,4.375,8.75,32.0,14.625,0.5982905982905983,18925.75,764.8333333333334,True,49,-1,18919.25,17.25,96.5,36.25
2024_08_05,1722874103,64028,18128.75,18149.25,10.25,20.5,30.0,34.75,0.5899280575539568,18142.25,728.3833333333333,True,300,1,18159.75,31.25,106.75,-6.75
2024_08_15,1723743788,52917,19562.25,19566.5,2.125,4.25,30.0,7.75,0.5483870967741935,19564.5,823.1333333333333,True,75,-1,19559.5,-15.0,-22.0,-24.75
2024_08_20,1724178718,51783,19849.25,19853.25,2.0,4.0,31.0,7.0,0.5714285714285714,19850.5,871.9666666666667,True,24,1,19855.75,1.25,-4.5,-2.25
2024_08_26,1724681909,40840,19631.25,19638.75,3.75,7.5,30.0,16.25,0.46153846153846156,19635.5,618.4833333333333,True,50,-1,19626.25,-10.5,72.75,72.5
2024_09_03,1725385808,57667,19122.25,19128.0,2.875,5.75,32.0,9.625,0.5974025974025974,19125.25,830.1333333333333,True,207,-1,19119.0,4.25,62.5,78.5
2024_09_10,1725981590,47203,18760.0,18769.75,4.875,9.75,30.0,18.125,0.5379310344827586,18763.75,679.8333333333334,True,34,-1,18754.5,-20.25,-8.5,75.75
2024_09_13,1726254656,55748,19500.75,19506.5,2.875,5.75,30.0,9.75,0.5897435897435898,19501.25,910.9333333333333,True,111,1,19509.75,5.5,6.0,21.25
2024_09_19,1726760858,49769,20139.0,20144.25,2.625,5.25,30.0,13.0,0.40384615384615385,20143.5,707.6333333333333,True,22,1,20147.25,-45.5,-23.0,-8.75
2024_10_02,1727884951,53598,20060.75,20067.5,3.375,6.75,33.0,13.125,0.5142857142857142,20066.25,722.5166666666667,True,6,1,20071.5,10.75,-4.25,-22.0
2024_10_09,1728485293,41294,20317.75,20324.25,3.25,6.5,33.0,12.5,0.52,20323.75,648.2166666666667,True,84,1,20328.0,-7.0,43.0,61.25
2024_10_25,1729866969,37833,20689.25,20695.25,3.0,6.0,32.0,12.875,0.46601941747572817,20692.0,636.15,True,9,-1,20685.5,-6.5,36.5,17.0
