day,ts,i,dir,peak_i,peak_ts,peak_px,mfe_pt,give_frac,stalled,mod,race,resolve_s,sym_race,sym_resolve_s,net_60m
2024_01_05,1704477595,12759,-1,12639,1704476995,16464.75,16.5,0.8484848484848485,False,779.9166666666666,NEW_EXTREME,20,CONT,125.0,-19.25
2024_01_11,1704992660,12344,-1,12224,1704992060,16771.25,9.0,2.6944444444444446,False,724.3333333333334,GIVEBACK_50,5,AGAINST,345.0,-65.25
2024_01_25,1706197935,11640,1,11520,1706197335,17718.5,31.5,0.8888888888888888,False,652.25,GIVEBACK_50,10,AGAINST,65.0,46.25
2024_02_20,1708442320,11421,1,11301,1708441720,17553.0,11.25,3.8222222222222224,False,618.6666666666666,GIVEBACK_50,5,AGAINST,225.0,33.25
2024_02_27,1709046985,11024,-1,10904,1709046385,17980.25,12.0,2.2708333333333335,False,616.4166666666666,GIVEBACK_50,5,AGAINST,95.0,7.25
2024_03_19,1710875150,14909,-1,14789,1710874550,18257.75,27.75,0.6126126126126126,False,905.8333333333334,NEW_EXTREME,5,CONT,395.0,
2024_04_05,1712325240,11242,-1,11122,1712324640,18160.25,20.75,2.4819277108433737,False,594.0,GIVEBACK_50,5,AGAINST,45.0,-67.5
2024_04_11,1712858205,13907,-1,13787,1712857605,18419.0,15.5,1.3709677419354838,False,836.75,GIVEBACK_50,5,CONT,20.0,-43.75
2024_04_19,1713555345,15476,-1,15356,1713554745,17166.25,20.75,1.5903614457831325,False,935.75,NEW_EXTREME,5,CONT,10.0,
2024_04_26,1714146015,12379,1,12259,1714145415,17844.25,8.5,2.0588235294117645,False,700.25,GIVEBACK_50,10,CONT,215.0,26.25
2024_05_02,1714671680,13742,1,13622,1714671080,17609.75,31.25,1.072,False,821.3333333333334,GIVEBACK_50,5,CONT,160.0,61.0
2024_05_22,1716385385,9778,1,9658,1716384785,18824.25,23.75,1.4210526315789473,False,583.0833333333334,GIVEBACK_50,5,CONT,55.0,17.75
2024_05_28,1716913800,12588,-1,12468,1716913200,18912.0,22.75,0.42857142857142855,False,750.0,NEW_EXTREME,150,AGAINST,360.0,-9.5
2024_05_31,1717163595,11169,1,11049,1717162995,18627.0,17.25,4.840579710144928,False,593.25,GIVEBACK_50,5,AGAINST,150.0,-177.5
2024_06_17,1718632505,9560,1,9440,1718631905,19948.25,12.5,3.3,False,595.0833333333334,GIVEBACK_50,5,AGAINST,25.0,31.75
2024_06_26,1719413665,11648,-1,11528,1719413065,19981.25,10.0,2.725,False,654.4166666666666,GIVEBACK_50,5,AGAINST,30.0,-20.0
2024_06_28,1719600660,14379,1,14259,1719600060,20029.75,9.75,2.6923076923076925,False,891.0,GIVEBACK_50,5,AGAINST,590.0,-7.25
2024_07_09,1720536080,11426,-1,11306,1720535480,20682.75,15.5,2.6451612903225805,False,641.3333333333334,GIVEBACK_50,5,AGAINST,70.0,32.5
2024_07_18,1721320570,13060,-1,12940,1721319970,19821.0,8.25,6.575757575757576,False,756.1666666666666,GIVEBACK_50,5,AGAINST,15.0,-53.5
2024_07_26,1722001350,11134,1,11014,1722000750,19154.25,30.75,2.317073170731707,False,582.5,GIVEBACK_50,5,CONT,50.0,-0.75
2024_08_02,1722617180,13505,-1,13385,1722616580,18559.0,43.5,1.6666666666666667,False,766.3333333333334,NEW_EXTREME,5,AGAINST,45.0,77.75
2024_08_09,1723213165,11721,-1,11601,1723212565,18472.5,20.5,4.414634146341464,False,619.4166666666666,GIVEBACK_50,5,CONT,25.0,-29.75
2024_08_14,1723661335,14627,1,14507,1723660735,19088.5,15.75,1.1746031746031746,False,888.9166666666666,GIVEBACK_50,5,CONT,165.0,14.0
2024_08_26,1724699610,15007,1,14887,1724699010,19623.25,8.75,3.342857142857143,False,913.5,GIVEBACK_50,5,AGAINST,185.0,
2024_08_29,1724958335,15049,1,14929,1724957735,19420.5,45.5,1.2307692307692308,False,905.5833333333334,GIVEBACK_50,5,CONT,15.0,
2024_09_04,1725465145,12819,-1,12699,1725464545,18982.0,13.75,2.8727272727272726,False,712.4166666666666,GIVEBACK_50,5,AGAINST,60.0,-39.5
2024_09_18,1726667530,10302,1,10182,1726666930,19707.0,34.75,1.0431654676258992,False,592.1666666666666,NEW_EXTREME,50,CONT,60.0,1.5
2024_09_24,1727194805,12885,-1,12765,1727194205,20187.75,25.0,0.8,False,740.0833333333334,GIVEBACK_50,15,CONT,245.0,15.75
2024_09_26,1727371680,13808,1,13688,1727371080,20240.25,21.25,2.223529411764706,False,808.0,GIVEBACK_50,5,CONT,60.0,112.0
2024_10_10,1728585140,14171,1,14051,1728584540,20423.25,12.75,1.8431372549019607,False,872.3333333333334,GIVEBACK_50,5,CONT,110.0,13.75
2024_10_23,1729696460,11927,1,11807,1729695860,20416.25,23.75,3.789473684210526,False,674.3333333333334,GIVEBACK_50,5,CONT,40.0,-27.25
2024_10_30,1730316600,15261,1,15141,1730316000,20585.75,13.0,1.4807692307692308,False,930.0,GIVEBACK_50,5,AGAINST,235.0,
2024_11_07,1730996270,12251,1,12131,1730995670,21150.5,18.75,1.2933333333333332,False,677.8333333333334,NEW_EXTREME,55,CONT,400.0,33.5
2024_11_14,1731615310,14993,1,14873,1731614710,21025.0,13.25,2.6226415094339623,False,915.1666666666666,GIVEBACK_50,5,CONT,50.0,
2024_11_29,1732896000,11954,-1,11834,1732895400,20941.0,40.0,0.425,False,660.0,GIVEBACK_50,60,AGAINST,90.0,-36.5
2024_12_11,1733934190,11635,-1,11515,1733933590,21725.0,8.25,2.484848484848485,False,683.1666666666666,GIVEBACK_50,5,AGAINST,100.0,-38.75
2024_12_19,1734622625,11895,1,11775,1734622025,21558.75,8.25,11.0,False,637.0833333333334,GIVEBACK_50,5,CONT,35.0,124.25
2024_12_27,1735318625,12466,1,12346,1735318025,21600.75,19.0,3.9078947368421053,False,717.0833333333334,GIVEBACK_50,5,AGAINST,65.0,0.0
2025_01_06,1736178965,10062,1,9942,1736178365,21891.0,30.75,0.8861788617886179,False,656.0833333333334,GIVEBACK_50,60,AGAINST,85.0,-27.5
2025_01_10,1736531145,11475,-1,11355,1736530545,20957.0,16.5,3.6666666666666665,False,765.75,GIVEBACK_50,5,CONT,20.0,-120.25
2025_01_15,1736961070,9771,-1,9651,1736960470,21265.5,8.0,6.0,False,731.1666666666666,GIVEBACK_50,5,AGAINST,195.0,-34.25
2025_01_23,1737664135,12836,-1,12716,1737663535,21962.0,15.5,0.9838709677419355,False,928.9166666666666,GIVEBACK_50,20,AGAINST,1135.0,
2025_01_29,1738167665,9782,-1,9662,1738167065,21483.0,19.75,1.1012658227848102,False,681.0833333333334,NEW_EXTREME,10,AGAINST,85.0,-38.0
2025_02_03,1738593860,10212,-1,10092,1738593260,21210.5,20.5,4.987804878048781,False,584.3333333333334,GIVEBACK_50,5,CONT,20.0,-154.25
2025_02_05,1738786275,13427,1,13307,1738785675,21720.75,15.75,0.3968253968253968,False,911.25,NEW_EXTREME,10,CONT,470.0,
2025_02_10,1739211060,11299,-1,11179,1739210460,21858.5,9.25,1.1081081081081081,False,791.0,GIVEBACK_50,5,AGAINST,890.0,-2.5
2025_02_20,1740066935,9512,1,9392,1740066335,22067.0,16.75,3.91044776119403,False,655.5833333333334,GIVEBACK_50,5,AGAINST,90.0,12.0
2025_03_03,1741027250,12686,1,12566,1741026650,20706.5,21.0,2.4047619047619047,False,820.8333333333334,GIVEBACK_50,5,CONT,20.0,127.25
