day,ts,i,is_flush,open_px,v_low,v_peak,flush_pt,rec_frac,mod,low_break,peak_reclaim,first,close_frac
2024_01_03,1704295200,980,False,16610.0,16581.5,16653.75,28.5,2.5350877192982457,620.0,True,False,LOW_BREAK,-0.5674740484429066
2024_01_12,1705072800,980,False,17008.25,16974.0,17042.5,34.25,2.0,620.0,True,False,LOW_BREAK,-0.029197080291970802
2024_01_19,1705677600,980,False,17190.5,17166.25,17233.0,24.25,2.752577319587629,620.0,False,True,PEAK_RECLAIM,4.138576779026217
2024_01_26,1706282400,980,False,17557.75,17528.0,17562.5,29.75,1.1596638655462186,620.0,True,True,PEAK_RECLAIM,0.021739130434782608
2024_02_05,1707146400,980,False,17722.5,17682.5,17708.0,40.0,0.6375,620.0,True,True,LOW_BREAK,0.5784313725490197
2024_02_13,1707837600,980,False,17628.25,17586.5,17693.25,41.75,2.55688622754491,620.0,True,True,PEAK_RECLAIM,0.8782201405152225
2024_02_21,1708528800,980,False,17495.0,17448.5,17525.75,46.5,1.6612903225806452,620.0,True,True,LOW_BREAK,1.1423948220064726
2024_02_28,1709133600,980,False,17923.5,17899.0,17923.25,24.5,0.9897959183673469,620.0,True,True,LOW_BREAK,0.7628865979381443
2024_03_06,1709738400,980,False,18104.0,18069.5,18115.0,34.5,1.318840579710145,620.0,True,True,LOW_BREAK,-0.5494505494505495
2024_03_13,1710339600,980,False,18428.25,18335.5,18362.25,92.75,0.2884097035040431,620.0,True,True,LOW_BREAK,-0.17757009345794392
2024_03_20,1710944400,980,False,18318.0,18245.75,18273.25,72.25,0.3806228373702422,620.0,True,True,PEAK_RECLAIM,8.681818181818182
2024_04_01,1711981200,980,False,18500.75,18482.25,18607.25,18.5,6.756756756756757,620.0,True,False,LOW_BREAK,0.102
2024_04_08,1712584200,950,True,18330.25,18237.75,18300.0,92.5,0.672972972972973,590.0,False,True,PEAK_RECLAIM,0.9558232931726908
2024_04_15,1713189000,950,True,18335.25,18261.0,18315.75,74.25,0.7373737373737373,590.0,True,True,PEAK_RECLAIM,-7.031963470319635
2024_04_22,1713795600,980,False,17288.5,17264.0,17331.5,24.5,2.7551020408163267,620.0,True,True,LOW_BREAK,1.2851851851851852
2024_04_30,1714486800,980,False,17836.25,17824.0,17895.0,12.25,5.795918367346939,620.0,True,False,LOW_BREAK,-3.6690140845070425
2024_05_08,1715178000,980,False,18083.75,18079.0,18181.25,4.75,21.526315789473685,620.0,False,True,PEAK_RECLAIM,1.02200488997555
2024_05_15,1715782800,980,False,18509.25,18469.75,18534.0,39.5,1.6265822784810127,620.0,False,True,PEAK_RECLAIM,3.4785992217898833
2024_05_22,1716387600,980,False,18808.0,18789.0,18834.25,19.0,2.3815789473684212,620.0,True,True,PEAK_RECLAIM,0.10497237569060773
2024_05_29,1716992400,980,False,18765.5,18761.0,18849.75,4.5,19.72222222222222,620.0,False,True,PEAK_RECLAIM,0.5633802816901409
2024_06_06,1717683600,980,False,19103.0,19061.25,19083.0,41.75,0.5209580838323353,620.0,True,True,LOW_BREAK,0.20689655172413793
2024_06_13,1718288400,980,False,19636.75,19618.25,19663.75,18.5,2.4594594594594597,620.0,True,False,LOW_BREAK,-0.554945054945055
2024_06_20,1718893200,980,False,20245.5,20200.0,20263.5,45.5,1.3956043956043955,620.0,True,False,LOW_BREAK,-2.594488188976378
2024_06_27,1719498000,980,False,19990.5,19989.75,20116.5,0.75,169.0,620.0,True,False,LOW_BREAK,0.45759368836291914
2024_07_04,1720102800,980,False,20405.5,20386.0,20391.75,19.5,0.2948717948717949,620.0,True,True,LOW_BREAK,-0.782608695652174
2024_07_11,1720707600,980,False,20894.5,20852.25,20897.5,42.25,1.0710059171597632,620.0,True,False,LOW_BREAK,-9.342541436464089
2024_07_18,1721311560,966,True,20141.5,20026.0,20105.5,115.5,0.6883116883116883,606.0,True,True,PEAK_RECLAIM,-1.6666666666666667
2024_07_26,1722002340,959,True,19163.75,19060.5,19140.0,103.25,0.7699757869249395,599.0,True,True,PEAK_RECLAIM,1.449685534591195
2024_08_02,1722606600,950,True,18651.25,18541.75,18761.25,109.5,2.0045662100456623,590.0,True,False,LOW_BREAK,0.0888382687927107
2024_08_09,1723213200,980,False,18451.0,18434.0,18565.75,17.0,7.75,620.0,False,True,PEAK_RECLAIM,1.3358633776091082
2024_08_26,1724682000,980,False,19763.25,19721.5,19747.75,41.75,0.6287425149700598,620.0,True,False,LOW_BREAK,-4.885714285714286
2024_09_02,1725286800,980,False,19618.75,19614.0,19645.25,4.75,6.578947368421052,620.0,True,True,LOW_BREAK,1.048
2024_09_09,1725891600,980,False,18628.75,18605.0,18720.5,23.75,4.863157894736842,620.0,True,True,LOW_BREAK,0.7251082251082251
2024_09_17,1726582800,980,False,19795.25,19746.0,19818.5,49.25,1.4720812182741116,620.0,True,True,PEAK_RECLAIM,-0.8793103448275862
2024_09_24,1727187600,980,False,20135.25,20094.25,20124.25,41.0,0.7317073170731707,620.0,True,True,LOW_BREAK,2.558333333333333
2024_10_02,1727877000,950,True,19943.25,19833.5,19927.5,109.75,0.856492027334852,590.0,False,True,PEAK_RECLAIM,1.875
2024_10_09,1728483600,980,False,20282.75,20238.25,20336.5,44.5,2.207865168539326,620.0,False,True,PEAK_RECLAIM,2.241730279898219
2024_10_16,1729087980,973,True,20353.25,20228.0,20306.5,125.25,0.626746506986028,613.0,False,True,PEAK_RECLAIM,1.5095541401273886
2024_10_24,1729778160,956,True,20372.5,20296.0,20343.5,76.5,0.6209150326797386,596.0,True,True,PEAK_RECLAIM,1.768421052631579
