day,ts,i,box_lo,box_hi,esc_buf,box_pt,flips,ambient_pt,box_ambient_ratio,mid_px,mod,escaped,escape_lag_s,escape_dir,escape_px,mag_5m,mag_15m,mag_30m
2024_01_10,1704900912,37310,16861.25,16865.0,1.875,3.75,30.0,9.5,0.39473684210526316,16862.25,635.2,True,10,-1,16858.75,-4.5,-30.5,-32.25
2024_01_18,1705594828,44030,17072.75,17077.75,2.5,5.0,30.0,10.5,0.47619047619047616,17074.75,680.4666666666667,True,28,1,17082.5,-1.5,14.5,-0.5
2024_01_24,1706126987,54470,17676.0,17681.0,2.5,5.0,30.0,9.375,0.5333333333333333,17679.25,909.7833333333333,True,13,-1,17669.75,24.5,30.25,18.5
2024_02_05,1707151334,42644,17622.0,17627.0,2.5,5.0,30.0,8.375,0.5970149253731343,17626.0,702.2333333333333,True,26,-1,17618.75,-14.75,-34.0,-58.75
2024_02_13,1707853439,50966,17636.0,17641.0,2.5,5.0,30.0,8.375,0.5970149253731343,17636.25,883.9833333333333,True,22,-1,17632.5,22.25,57.5,67.5
2024_02_22,1708620021,48482,17967.75,17973.5,2.875,5.75,30.0,10.0,0.575,17972.75,700.35,True,102,1,17976.5,-12.25,-26.5,-1.25
2024_03_15,1710512994,38049,18099.5,18110.75,5.625,11.25,30.0,19.875,0.5660377358490566,18106.75,629.9,True,53,1,18116.5,-3.0,32.25,8.25
2024_03_25,1711390656,51627,18563.75,18565.75,1.0,2.0,30.0,4.875,0.41025641025641024,18564.5,857.6,True,10,-1,18562.0,-0.25,11.25,-3.0
2024_04_01,1711983437,39894,18478.75,18484.5,2.875,5.75,32.0,11.5,0.5,18482.25,657.2833333333333,True,199,-1,18475.25,0.75,21.75,12.75
2024_04_11,1712847290,41227,18249.5,18253.25,1.875,3.75,30.0,13.625,0.27522935779816515,18251.5,654.8333333333334,True,20,1,18255.5,-17.25,-10.0,4.5
2024_04_30,1714504500,51367,17693.5,17697.0,1.75,3.5,31.0,7.75,0.45161290322580644,17695.25,915.0,True,54,-1,17684.5,2.0,-5.25,-0.5
2024_05_07,1715107948,48888,18190.0,18193.75,1.875,3.75,30.0,7.5,0.5,18192.0,892.4666666666667,True,65,-1,18187.25,-7.75,-11.5,-16.5
2024_05_10,1715362471,45275,18228.75,18231.5,1.375,2.75,30.0,6.0,0.4583333333333333,18230.0,814.5166666666667,True,54,-1,18226.0,-2.25,-3.0,-15.75
2024_05_24,1716563353,36916,18887.0,18891.5,2.25,4.5,33.0,8.625,0.5217391304347826,18891.25,669.2166666666667,True,72,1,18895.25,15.0,16.5,-6.75
2024_06_03,1717436374,52616,18554.5,18561.25,3.375,6.75,30.0,12.125,0.5567010309278351,18560.0,819.5666666666667,True,50,1,18565.0,12.0,-5.5,0.0
2024_06_07,1717782994,43285,19126.5,19131.0,2.25,4.5,35.0,7.625,0.5901639344262295,19128.5,836.5666666666667,True,26,1,19134.25,-53.0,-106.0,-92.75
2024_06_17,1718646548,38332,20200.0,20204.0,2.0,4.0,30.0,6.875,0.5818181818181818,20201.75,829.1333333333333,True,72,1,20206.75,25.0,44.75,21.0
2024_06_27,1719498844,38393,20064.75,20073.5,4.375,8.75,32.0,14.625,0.5982905982905983,20065.5,634.0666666666667,True,51,1,20078.5,-3.0,-42.75,-53.5
2024_07_03,1720023503,40404,20405.25,20409.25,2.0,4.0,32.0,6.875,0.5818181818181818,20408.25,738.3833333333333,True,66,1,20411.5,-2.5,-10.5,-23.75
2024_07_09,1720537791,37204,20700.75,20706.0,2.625,5.25,30.0,11.5,0.45652173913043476,20705.5,669.85,True,32,-1,20697.25,-4.0,21.5,10.75
2024_07_17,1721227885,43401,20114.5,20125.25,5.375,10.75,31.0,18.125,0.593103448275862,20115.75,651.4166666666666,True,81,-1,20108.5,-8.5,0.25,-27.5
2024_07_23,1721757433,54718,19982.25,19987.5,2.625,5.25,30.0,11.5,0.45652173913043476,19984.5,837.2166666666667,True,70,-1,19977.25,-5.5,-7.0,10.75
2024_07_26,1722006137,47251,19133.25,19147.75,7.25,14.5,30.0,24.75,0.5858585858585859,19140.75,662.2833333333333,True,61,-1,19125.25,-18.75,8.5,-3.75
2024_08_02,1722621360,65853,18459.75,18472.0,6.125,12.25,30.0,21.25,0.5764705882352941,18469.25,836.0,True,33,1,18478.25,-8.25,3.5,36.75
2024_08_15,1723743620,52750,19559.0,19563.5,2.25,4.5,31.0,7.875,0.5714285714285714,19562.25,820.3333333333334,True,64,1,19566.0,1.75,12.75,20.75
2024_08_19,1724079227,44376,19642.75,19651.25,4.25,8.5,33.0,14.625,0.5811965811965812,19650.0,653.7833333333333,True,7,1,19658.0,-5.0,14.75,-6.25
2024_08_23,1724433387,47421,19688.25,19696.5,4.125,8.25,31.0,14.75,0.559322033898305,19691.25,796.45,True,26,1,19700.75,-8.5,35.0,40.0
2024_09_03,1725379810,51699,19152.75,19159.0,3.125,6.25,30.0,12.75,0.49019607843137253,19159.0,730.1666666666666,True,8,-1,19149.25,-28.5,-15.25,-13.25
2024_09_09,1725898694,52955,18652.75,18659.5,3.375,6.75,30.0,11.375,0.5934065934065934,18659.5,738.2333333333333,True,103,1,18663.0,2.25,23.0,39.25
2024_09_13,1726238515,39758,19492.0,19502.0,5.0,10.0,30.0,17.875,0.5594405594405595,19498.75,641.9166666666666,True,95,1,19509.5,5.5,-8.25,24.5
2024_09_18,1726672895,34954,19649.75,19656.25,3.25,6.5,31.0,11.0,0.5909090909090909,19654.5,681.5833333333334,True,58,-1,19644.25,3.0,5.0,46.5
2024_10_02,1727884371,53019,20061.5,20069.0,3.75,7.5,30.0,13.5,0.5555555555555556,20061.75,712.85,True,5,-1,20057.25,11.0,-18.5,14.25
2024_10_08,1728405763,54048,20235.0,20239.5,2.25,4.5,30.0,7.625,0.5901639344262295,20238.25,762.7166666666667,True,218,1,20242.0,-23.0,-9.0,-54.25
