day,ts,i,box_lo,box_hi,esc_buf,box_pt,flips,ambient_pt,box_ambient_ratio,mid_px,mod,escaped,escape_lag_s,escape_dir,escape_px,mag_5m,mag_15m,mag_30m
2024_01_11,1705001901,50646,16941.5,16946.0,2.25,4.5,30.0,8.125,0.5538461538461539,16941.75,878.35,True,54,1,16948.5,2.5,18.0,-0.5
2024_01_19,1705688527,52266,17350.25,17354.25,2.0,4.0,30.0,6.875,0.5818181818181818,17352.5,802.1166666666667,True,55,1,17356.5,-7.5,14.5,17.0
2024_02_02,1706889020,38635,17641.25,17650.0,4.375,8.75,30.0,15.75,0.5555555555555556,17648.25,650.3333333333334,True,72,1,17654.75,-2.25,-18.25,-21.25
2024_02_08,1707410834,36631,17868.25,17871.75,1.75,3.5,30.0,7.0,0.5,17870.5,707.2333333333333,True,95,1,17873.75,5.25,12.0,7.75
2024_02_14,1707942458,54510,17836.5,17841.25,2.375,4.75,31.0,8.125,0.5846153846153846,17838.0,927.6333333333333,True,161,-1,17833.0,2.25,-22.25,
2024_02_26,1708971243,47873,18035.5,18039.25,1.875,3.75,30.0,6.25,0.6,18038.0,794.05,True,61,-1,18033.5,24.25,40.25,26.75
2024_03_18,1710773501,42089,18352.0,18358.25,3.125,6.25,35.0,11.75,0.5319148936170213,18355.25,651.6833333333333,True,143,-1,18346.25,-8.0,-0.5,23.5
2024_03_28,1711637331,36564,18505.0,18509.75,2.375,4.75,30.0,8.5,0.5588235294117647,18508.75,648.85,True,24,1,18512.25,-8.0,-12.5,-8.0
2024_04_03,1712165178,49896,18421.25,18425.0,1.875,3.75,30.0,7.125,0.5263157894736842,18424.25,806.3,True,347,-1,18418.75,0.75,-1.25,3.5
2024_04_16,1713294829,63351,17927.0,17936.0,4.5,9.0,34.0,15.625,0.576,17932.0,913.8166666666667,True,148,-1,17917.0,-11.0,-13.5,1.25
2024_05_02,1714664811,45085,17522.0,17529.0,3.5,7.0,30.0,11.875,0.5894736842105263,17524.0,706.85,True,232,1,17533.25,26.75,20.5,-15.0
2024_05_08,1715185832,40364,18177.25,18181.0,1.875,3.75,37.0,6.5,0.5769230769230769,18177.25,750.5333333333333,True,271,-1,18175.0,4.0,-0.75,3.25
2024_05_15,1715793290,41198,18646.25,18649.0,1.375,2.75,31.0,4.875,0.5641025641025641,18648.0,794.8333333333334,True,11,1,18651.5,-7.0,4.5,15.0
2024_05_28,1716907955,36939,18915.0,18921.0,3.0,6.0,31.0,10.25,0.5853658536585366,18916.5,652.5833333333334,True,314,1,18924.25,-16.5,-8.25,-1.5
2024_06_04,1717510775,37140,18598.0,18606.5,4.25,8.5,30.0,14.75,0.576271186440678,18606.0,619.5833333333334,True,57,1,18611.0,-12.75,9.0,18.5
2024_06_12,1718211793,40729,19517.0,19520.0,1.5,3.0,30.0,5.0,0.6,19518.0,783.2166666666667,True,108,1,19522.0,-1.5,4.25,-13.0
2024_06_20,1718904262,45773,20019.0,20026.75,3.875,7.75,30.0,14.5,0.5344827586206896,20019.5,804.3666666666667,True,19,-1,20013.75,9.25,42.25,-0.75
2024_06_28,1719596312,46791,20038.5,20044.25,2.875,5.75,30.0,10.125,0.5679012345679012,20040.25,818.5333333333333,True,63,1,20047.25,-15.5,-8.75,4.5
2024_07_05,1720190092,31764,20521.0,20528.75,3.875,7.75,30.0,14.5,0.5344827586206896,20526.25,634.8666666666667,True,26,-1,20516.5,1.0,-23.0,-3.5
2024_07_10,1720627596,35229,20769.0,20772.25,1.625,3.25,30.0,6.25,0.52,20771.5,726.6,True,92,1,20774.0,-7.5,27.5,46.75
