day,ts,i,box_lo,box_hi,esc_buf,box_pt,flips,ambient_pt,box_ambient_ratio,mid_px,mod,escaped,escape_lag_s,escape_dir,escape_px,mag_5m,mag_15m,mag_30m
2024_01_16,1705420403,43470,17026.0,17033.5,3.75,7.5,30.0,12.5,0.6,17031.5,653.3833333333333,True,207,-1,17021.0,54.75,58.75,11.25
2024_01_23,1706035467,48280,17468.5,17471.5,1.5,3.0,30.0,5.25,0.5714285714285714,17470.5,824.45,True,54,1,17473.25,8.75,12.5,1.75
2024_02_02,1706903316,52878,17765.25,17770.0,2.375,4.75,30.0,8.0,0.59375,17766.0,888.6,True,113,-1,17762.25,5.25,5.75,2.5
2024_02_09,1707507804,45625,18063.0,18065.25,1.125,2.25,30.0,4.0,0.5625,18063.75,883.4,True,30,-1,18061.5,-4.25,3.75,20.75
2024_02_20,1708442912,42941,17522.25,17531.5,4.625,9.25,32.0,16.5,0.5606060606060606,17526.25,628.5333333333333,True,6,-1,17516.25,16.0,-2.25,-56.75
2024_02_28,1709141042,43379,17937.75,17941.5,1.875,3.75,33.0,6.25,0.6,17941.5,744.0333333333333,True,2,1,17944.0,-12.25,-35.75,-26.0
2024_03_22,1711119862,41719,18534.0,18539.0,2.5,5.0,30.0,9.25,0.5405405405405406,18536.0,664.3666666666667,True,158,1,18542.25,5.0,1.75,3.25
2024_04_01,1711983082,39539,18485.0,18491.5,3.25,6.5,32.0,11.5,0.5652173913043478,18488.0,651.3666666666667,True,28,-1,18476.5,-6.75,-0.5,47.5
2024_04_10,1712756932,31024,18130.5,18140.75,5.125,10.25,30.0,18.25,0.5616438356164384,18139.5,588.8666666666667,True,14,1,18148.25,32.5,10.5,37.25
2024_04_17,1713382168,61022,17655.0,17662.25,3.625,7.25,34.0,14.125,0.5132743362831859,17656.0,929.4666666666667,True,25,-1,17651.0,-25.0,-34.5,1.0
2024_05_03,1714746824,38485,17927.0,17938.5,5.75,11.5,34.0,19.375,0.5935483870967742,17934.25,633.7333333333333,True,93,-1,17920.25,-32.5,-53.5,2.25
2024_05_10,1715351086,33977,18256.0,18261.75,2.875,5.75,30.0,10.0,0.575,18260.0,624.7666666666667,True,50,-1,18252.5,23.0,9.0,60.5
2024_05_23,1716491464,54521,18637.0,18644.5,3.75,7.5,32.0,13.25,0.5660377358490566,18639.0,911.0666666666667,True,34,-1,18633.0,-13.25,-18.5,-55.25
2024_05_29,1716996336,41842,18848.0,18853.5,2.75,5.5,30.0,9.25,0.5945945945945946,18850.0,685.6,True,111,1,18856.5,-18.25,-18.75,-10.0
2024_06_06,1717701489,53237,19051.25,19055.5,2.125,4.25,30.0,7.375,0.576271186440678,19055.25,918.15,True,10,1,19057.75,-6.25,4.75,6.25
2024_06_13,1718294108,42219,19592.75,19595.5,1.375,2.75,30.0,9.5,0.2894736842105263,19595.5,715.1333333333333,True,7,1,19597.25,-12.75,-36.25,-73.0
2024_06_26,1719419003,45169,19995.5,20001.25,2.875,5.75,30.0,10.0,0.575,19999.25,743.3833333333333,True,218,1,20005.25,-1.25,-15.75,-36.25
2024_07_02,1719945311,55036,20210.25,20213.25,1.5,3.0,30.0,6.75,0.4444444444444444,20211.5,875.1833333333333,True,31,1,20215.5,0.25,19.0,10.0
2024_07_08,1720451469,34718,20625.25,20629.25,2.0,4.0,30.0,8.875,0.4507042253521127,20627.75,671.15,True,70,1,20631.75,-4.5,19.5,26.75
2024_07_16,1721144626,40351,20538.75,20546.0,3.625,7.25,32.0,12.375,0.5858585858585859,20544.5,703.7666666666667,True,15,1,20550.25,3.25,-0.25,-45.25
2024_07_23,1721745247,42550,19994.75,20005.25,5.25,10.5,31.0,17.75,0.5915492957746479,20000.0,634.1166666666667,True,74,1,20010.75,-17.5,-57.75,-22.5
2024_07_25,1721931284,62869,19226.75,19237.5,5.375,10.75,31.0,18.25,0.589041095890411,19230.75,854.7333333333333,True,101,-1,19220.0,6.0,-12.75,41.0
2024_08_01,1722524997,51584,19253.25,19268.75,7.75,15.5,35.0,26.125,0.5933014354066986,19261.25,669.95,True,43,1,19276.75,-4.25,24.25,-85.0
2024_08_15,1723735489,44656,19513.0,19518.5,2.75,5.5,32.0,10.0,0.55,19516.5,684.8166666666667,True,158,-1,19509.25,-1.25,-21.25,-33.25
2024_08_19,1724077720,42869,19602.75,19612.0,4.625,9.25,30.0,17.25,0.5362318840579711,19609.0,628.6666666666666,True,183,1,19617.25,-8.75,9.0,36.0
2024_08_22,1724347399,48129,19706.0,19714.25,4.125,8.25,30.0,13.75,0.6,19709.75,803.3166666666667,True,62,1,19718.5,1.25,-39.75,-111.75
2024_09_03,1725379079,50969,19146.5,19153.75,3.625,7.25,30.0,13.0,0.5576923076923077,19150.75,717.9833333333333,True,132,1,19159.75,18.5,16.0,-1.5
2024_09_09,1725894297,48560,18532.0,18541.25,4.625,9.25,35.0,15.5,0.5967741935483871,18539.75,664.95,True,77,-1,18526.75,6.25,14.0,-64.5
2024_09_12,1726158642,48907,19316.5,19323.0,3.25,6.5,30.0,14.0,0.4642857142857143,19322.0,750.7,True,71,-1,19309.75,5.0,-1.75,-68.75
2024_09_17,1726592668,40663,19631.5,19639.75,4.125,8.25,39.0,16.375,0.5038167938931297,19634.75,784.4666666666667,True,76,1,19644.0,-3.75,18.5,20.5
2024_10_02,1727879310,47962,19994.0,20003.5,4.75,9.5,30.0,19.875,0.4779874213836478,19996.25,628.5,True,108,-1,19988.75,-15.75,-16.5,-6.5
2024_10_07,1728325045,58400,20117.0,20121.75,2.375,4.75,30.0,8.125,0.5846153846153846,20119.0,857.4166666666666,True,19,-1,20114.0,-6.75,45.25,118.5
2024_10_18,1729274374,52318,20485.25,20489.0,1.875,3.75,31.0,6.375,0.5882352941176471,20487.25,839.5666666666667,True,41,-1,20483.25,-0.5,-17.25,-19.75
2024_10_28,1730138025,55825,20552.75,20557.75,2.5,5.0,34.0,8.5,0.5882352941176471,20556.0,833.75,True,83,-1,20550.0,0.25,-2.25,17.75
2024_11_01,1730473769,43288,20218.5,20225.5,3.5,7.0,31.0,13.125,0.5333333333333333,20219.5,669.4833333333333,True,2,-1,20214.75,-50.5,-46.0,-40.0
2024_11_07,1731001699,51106,21192.25,21196.25,2.0,4.0,30.0,7.0,0.5714285714285714,21195.0,768.3166666666667,True,81,-1,21190.0,3.5,2.0,26.0
2024_11_14,1731614357,56853,21064.75,21069.5,2.375,4.75,30.0,8.375,0.5671641791044776,21068.5,899.2833333333333,True,45,-1,21057.0,35.75,53.5,30.75
2024_11_22,1732305410,63424,20843.5,20847.75,2.125,4.25,32.0,7.375,0.576271186440678,20847.25,896.8333333333334,True,18,1,20851.0,-16.75,-43.0,-22.75
2024_11_27,1732732453,53082,20781.0,20785.0,2.0,4.0,34.0,7.0,0.5714285714285714,20784.5,814.2166666666667,True,56,1,20787.75,11.5,11.5,20.25
2024_12_13,1734108720,43582,21703.5,21712.25,4.375,8.75,35.0,16.0,0.546875,21705.5,712.0,True,48,-1,21697.75,14.25,-21.25,-7.5
2024_12_20,1734712691,54354,21720.75,21729.75,4.5,9.0,30.0,19.0,0.47368421052631576,21728.25,698.1833333333333,True,37,1,21734.75,42.75,-11.5,15.0
2024_12_30,1735575116,45046,21360.75,21373.0,6.125,12.25,33.0,20.875,0.5868263473053892,21370.0,671.9333333333333,True,229,1,21379.5,33.5,23.75,67.0
2025_01_08,1736367976,45937,21339.75,21348.25,4.25,8.5,33.0,14.75,0.576271186440678,21341.75,926.2666666666667,True,128,1,21353.25,-8.75,-29.0,5.0
2025_01_14,1736874596,32393,20846.5,20856.25,4.875,9.75,30.0,16.625,0.5864661654135338,20848.5,729.9333333333333,True,87,1,20862.25,1.0,-21.25,-28.75
