day,ts,i,chain_n,step_high,step_low,step_depth,chain_head_high,chain_descent,defense_pt,defense_lag_s,mod,race,resolve_s,defense_hold,sym_race,sym_resolve_s,net_30m
2024_01_02,1704205845,10043,2,16864.75,16853.75,11.0,16877.25,23.5,4.0,0,570.75,STAIR_BREAK,10,False,AGAINST,10,-75.75
2024_01_23,1706023100,11062,3,17470.0,17460.75,9.25,17481.75,21.0,2.0,5,618.3333333333334,NEW_LOW,10,False,CONT,145,-0.75
2024_01_25,1706204530,12959,4,17665.0,17653.5,11.5,17692.0,38.5,3.5,5,762.1666666666666,NEW_LOW,10,False,CONT,320,6.5
2024_02_02,1706891200,11984,3,17654.0,17644.0,10.0,17657.0,13.0,2.75,0,686.6666666666666,NEW_LOW,10,False,AGAINST,95,56.5
2024_02_27,1709048540,11335,2,18001.5,17990.0,11.5,18018.75,28.75,2.75,5,642.3333333333334,NEW_LOW,10,False,CONT,160,7.5
2024_03_13,1710348695,12568,1,18360.0,18349.25,10.75,18360.0,10.75,3.75,10,771.5833333333334,NEW_LOW,120,False,AGAINST,575,11.5
2024_03_15,1710529545,14731,1,18100.5,18088.5,12.0,18100.5,12.0,3.5,5,905.75,NEW_LOW,15,False,CONT,55,-6.75
2024_04_01,1711978560,10798,1,18574.0,18563.25,10.75,18574.0,10.75,4.75,0,576.0,STAIR_BREAK,20,False,AGAINST,90,-7.0
2024_04_05,1712339685,14131,6,18329.5,18316.5,13.0,18384.75,68.25,2.5,5,834.75,NEW_LOW,15,False,CONT,135,-13.5
2024_04_12,1712933125,11347,6,18231.0,18220.5,10.5,18306.75,86.25,2.25,5,645.4166666666666,NEW_LOW,15,False,CONT,315,1.5
2024_04_22,1713803375,13143,3,17272.0,17258.5,13.5,17294.5,36.0,2.5,5,749.5833333333334,NEW_LOW,5,False,CONT,55,5.5
2024_05_07,1715100920,12627,5,18242.0,18229.75,12.25,18263.5,33.75,3.5,5,775.3333333333334,STAIR_BREAK,230,True,AGAINST,300,18.75
2024_05_21,1716299130,9517,4,18709.75,18685.75,24.0,18712.75,27.0,4.25,5,585.5,NEW_LOW,40,False,AGAINST,320,26.75
2024_05_23,1716487245,14015,9,18721.25,18711.0,10.25,18809.25,98.25,2.5,5,840.75,NEW_LOW,20,False,CONT,120,-37.5
2024_06_04,1717511620,11217,1,18644.0,18615.25,28.75,18644.0,28.75,5.5,0,633.6666666666666,NEW_LOW,10,False,CONT,200,-11.0
2024_06_18,1718720750,10766,3,20186.0,20172.25,13.75,20210.5,38.25,4.25,10,625.8333333333334,STAIR_BREAK,75,True,AGAINST,75,-10.5
2024_06_25,1719325370,11215,3,19871.25,19862.25,9.0,19896.0,33.75,2.5,5,622.8333333333334,STAIR_BREAK,30,True,AGAINST,130,-5.25
2024_07_01,1719855010,13732,1,20015.75,20001.5,14.25,20015.75,14.25,2.75,5,810.1666666666666,NEW_LOW,10,False,AGAINST,930,-10.5
2024_07_12,1720795700,11641,1,20645.75,20632.75,13.0,20645.75,13.0,2.25,5,648.3333333333334,STAIR_BREAK,65,True,AGAINST,60,1.25
2024_07_17,1721243370,14808,1,20025.75,20005.5,20.25,20025.75,20.25,3.0,0,909.5,STAIR_BREAK,60,True,AGAINST,40,21.0
2024_07_25,1721914390,11114,2,19179.25,19153.0,26.25,19214.75,61.75,2.0,0,573.1666666666666,NEW_LOW,10,False,CONT,55,-172.0
2024_07_30,1722360730,13890,2,18901.25,18892.0,9.25,18908.25,16.25,6.75,5,812.1666666666666,NEW_LOW,10,False,CONT,55,31.25
2024_08_02,1722626365,15342,3,18544.75,18533.75,11.0,18546.0,12.25,2.0,5,919.4166666666666,NEW_LOW,5,False,CONT,125,-15.0
2024_08_12,1723469430,10983,1,18648.25,18639.0,9.25,18648.25,9.25,2.75,5,570.5,STAIR_BREAK,10,False,AGAINST,15,-82.0
2024_08_23,1724428615,12515,1,19747.0,19735.0,12.0,19747.0,12.0,3.5,0,716.9166666666666,NEW_LOW,5,False,CONT,65,-85.5
2024_08_28,1724861045,12528,1,19439.75,19421.25,18.5,19439.75,18.5,5.5,5,724.0833333333334,NEW_LOW,95,False,CONT,95,-0.25
2024_08_30,1725026610,11186,1,19626.0,19615.0,11.0,19626.0,11.0,3.5,0,603.5,NEW_LOW,20,False,CONT,50,-62.75
2024_09_06,1725648365,14813,1,18477.5,18451.25,26.25,18477.5,26.25,3.75,0,886.0833333333334,STAIR_BREAK,525,True,AGAINST,155,53.25
2024_09_19,1726753565,11203,1,20052.75,20035.5,17.25,20052.75,17.25,4.5,0,586.0833333333334,NEW_LOW,5,False,CONT,5,17.5
2024_09_26,1727358305,11133,1,20439.25,20424.75,14.5,20439.25,14.5,5.75,5,585.0833333333334,NEW_LOW,10,False,AGAINST,40,-30.25
2024_10_03,1727969005,12289,1,20004.0,19994.5,9.5,20004.0,9.5,3.25,5,683.4166666666666,STAIR_BREAK,15,False,AGAINST,35,53.0
2024_10_09,1728488645,12400,1,20420.75,20411.0,9.75,20420.75,9.75,2.0,0,704.0833333333334,NEW_LOW,25,False,AGAINST,240,-5.75
2024_10_23,1729690645,10764,1,20443.75,20425.5,18.25,20443.75,18.25,4.25,0,577.4166666666666,NEW_LOW,20,False,CONT,60,-78.5
2024_10_30,1730299095,11760,4,20690.5,20677.5,13.0,20696.25,18.75,4.0,0,638.25,STAIR_BREAK,115,False,AGAINST,115,-30.25
2024_11_06,1730923500,15168,1,20896.25,20885.0,11.25,20896.25,11.25,2.5,0,905.0,STAIR_BREAK,35,True,AGAINST,60,18.25
2024_11_13,1731527175,14717,5,21185.75,21174.25,11.5,21233.5,59.25,5.75,5,886.25,NEW_LOW,45,False,AGAINST,250,11.0
2024_11_21,1732210435,13263,1,20815.75,20803.25,12.5,20815.75,12.5,2.5,0,753.9166666666666,NEW_LOW,5,False,AGAINST,250,18.75
2024_12_09,1733759400,11467,3,21532.5,21521.5,11.0,21566.75,45.25,2.75,5,650.0,NEW_LOW,75,False,CONT,150,-34.75
2025_01_02,1735834480,10839,1,21262.75,21251.75,11.0,21262.75,11.0,2.25,0,674.6666666666666,NEW_LOW,10,False,CONT,30,41.75
2025_01_14,1736867055,9255,1,21025.75,21013.25,12.5,21025.75,12.5,6.25,0,604.25,STAIR_BREAK,25,False,AGAINST,115,-12.75
2025_01_27,1737992575,11124,1,21413.25,21404.5,8.75,21413.25,8.75,7.5,5,642.9166666666666,NEW_LOW,40,False,CONT,55,-143.0
2025_01_31,1738346540,11403,3,21916.5,21905.5,11.0,21933.0,27.5,2.25,0,782.3333333333334,STAIR_BREAK,70,True,AGAINST,90,-94.5
2025_02_07,1738945460,9610,3,21708.5,21690.0,18.5,21755.75,65.75,5.25,10,684.3333333333334,NEW_LOW,40,False,AGAINST,70,-72.0
2025_02_13,1739458795,9183,1,21929.25,21915.25,14.0,21929.25,14.0,4.25,0,599.9166666666666,NEW_LOW,35,False,AGAINST,165,54.0
2025_02_24,1740427805,13175,1,21561.0,21545.75,15.25,21561.0,15.25,2.25,0,910.0833333333334,STAIR_BREAK,320,True,AGAINST,320,-17.5
2025_02_27,1740687995,13693,2,20745.5,20730.75,14.75,20756.5,25.75,2.0,5,926.5833333333334,STAIR_BREAK,65,False,AGAINST,60,-117.5
2025_03_04,1741115050,13002,1,20560.25,20543.25,17.0,20560.25,17.0,4.75,0,844.1666666666666,NEW_LOW,25,False,AGAINST,115,8.75
2025_03_06,1741288080,12277,1,20094.25,20078.0,16.25,20094.25,16.25,2.25,0,848.0,NEW_LOW,10,False,AGAINST,130,-64.5
2025_03_11,1741703295,9984,9,19339.25,19313.5,25.75,19471.25,157.75,6.75,5,628.25,STAIR_BREAK,50,True,AGAINST,45,35.75
2025_03_13,1741875820,9773,4,19513.75,19497.75,16.0,19531.75,34.0,6.5,0,623.6666666666666,STAIR_BREAK,25,True,AGAINST,50,-18.0
2025_03_18,1742306570,7763,1,19474.25,19464.25,10.0,19474.25,10.0,2.0,5,602.8333333333334,NEW_LOW,5,False,CONT,35,13.0
2025_03_20,1742480485,5428,1,19832.75,19821.75,11.0,19832.75,11.0,4.25,5,621.4166666666666,NEW_LOW,10,False,AGAINST,105,32.25
2025_04_08,1744122140,9923,1,18346.25,18327.0,19.25,18346.25,19.25,6.5,5,622.3333333333334,NEW_LOW,10,False,CONT,10,-136.0
2025_04_09,1744220505,12634,2,18633.0,18598.75,34.25,18644.25,45.5,5.5,0,821.75,NEW_LOW,5,False,AGAINST,5,319.25
2025_04_14,1744643535,10187,2,19076.5,19058.75,17.75,19092.0,33.25,5.0,0,672.25,NEW_LOW,15,False,CONT,15,-171.75
2025_04_22,1745338025,10633,2,18436.0,18426.75,9.25,18434.0,7.25,6.75,0,727.0833333333334,STAIR_BREAK,5,False,CONT,135,39.0
2025_04_25,1745592980,10096,1,19347.5,19326.0,21.5,19347.5,21.5,2.0,0,656.3333333333334,NEW_LOW,5,False,CONT,25,41.25
2025_04_29,1745939245,9672,1,19589.0,19576.75,12.25,19589.0,12.25,4.0,5,667.4166666666666,NEW_LOW,5,False,AGAINST,65,-34.0
2025_05_01,1746109365,9043,1,19967.75,19956.25,11.5,19967.75,11.5,2.0,5,622.75,NEW_LOW,5,False,AGAINST,30,85.25
