day,ts,i,trigger_i,trigger_ts,shelf_px,poke_px,dwell_frac,bounce_pt,day_class,mod,outcome,resolve_min
2024_01_04,1704400140,1289,1288,1704400080,16481.0,16477.25,0.08333333333333333,10.0,other,929.0,HOLD,3
2024_01_16,1705416120,942,941,1705416060,16889.0,16870.25,0.08333333333333333,18.5,other,582.0,HOLD,1
2024_01_24,1706120460,1161,1160,1706120400,17775.0,17731.25,0.09166666666666666,5.25,other,801.0,HOLD,4
2024_01_30,1706632980,1063,1062,1706632920,17639.0,17638.0,0.08333333333333333,6.0,other,703.0,CRACK,11
2024_02_02,1706905320,1282,1281,1706905260,17763.0,17753.5,0.08333333333333333,8.5,other,922.0,CRACK,1
2024_02_08,1707413460,1111,1110,1707413400,17881.0,17882.25,0.15833333333333333,10.5,other,751.0,CRACK,10
2024_02_12,1707750720,972,971,1707750660,18029.0,18026.25,0.16666666666666666,6.5,other,612.0,CRACK,3
2024_02_15,1708028400,1280,1279,1708028340,17909.0,17890.75,0.11666666666666667,8.75,other,920.0,CRACK,2
2024_02_22,1708612320,932,931,1708612260,17893.0,17864.75,0.14166666666666666,28.25,other,572.0,HOLD,1
2024_02_27,1709053440,1084,1083,1709053380,17997.0,17998.0,0.10833333333333334,7.5,flushV,724.0,CRACK,12
2024_03_04,1709568540,1029,1028,1709568480,18301.0,18305.25,0.08333333333333333,10.0,other,669.0,HOLD,9
2024_03_11,1710184260,1271,1270,1710184200,18231.0,18225.75,0.08333333333333333,8.75,flushV,911.0,CRACK,2
2024_03_19,1710861780,1043,1042,1710861720,18117.0,18110.25,0.08333333333333333,8.75,flushV,683.0,CRACK,3
2024_03_22,1711123140,1079,1078,1711123080,18547.0,18549.25,0.08333333333333333,11.5,other,719.0,HOLD,3
2024_03_28,1711640700,1065,1064,1711640640,18505.0,18487.75,0.1,6.0,other,705.0,HOLD,3
2024_04_03,1712159460,1071,1070,1712159400,18415.0,18411.25,0.08333333333333333,10.75,other,711.0,CRACK,3
2024_04_10,1712759580,993,992,1712759520,18177.0,18171.25,0.08333333333333333,39.0,other,633.0,HOLD,1
2024_04_17,1713360960,936,935,1713360900,17917.0,17914.75,0.08333333333333333,32.5,other,576.0,HOLD,1
2024_04_23,1713890820,1127,1126,1713890760,17603.0,17601.25,0.08333333333333333,8.0,other,767.0,CRACK,6
2024_04_29,1714407960,1106,1105,1714407900,17887.0,17889.5,0.09166666666666666,11.5,flushV,746.0,HOLD,3
2024_05_03,1714755660,1141,1140,1714755600,17995.0,17968.75,0.10833333333333334,5.5,other,781.0,HOLD,5
2024_05_06,1715020980,1243,1242,1715020920,18133.0,18130.5,0.08333333333333333,7.5,other,883.0,HOLD,5
2024_05_09,1715274180,1143,1142,1715274120,18213.0,18210.25,0.10833333333333334,17.25,flushV,783.0,HOLD,1
2024_05_15,1715782140,969,968,1715782080,18511.0,18510.0,0.08333333333333333,11.75,other,609.0,CRACK,4
2024_05_17,1715962560,1096,1095,1715962500,18643.0,18640.5,0.09166666666666666,8.0,other,736.0,CRACK,6
2024_05_23,1716471060,931,930,1716471000,18989.0,18943.75,0.13333333333333333,26.5,other,571.0,CRACK,1
2024_05_29,1717002360,1146,1145,1717002300,18853.0,18841.0,0.08333333333333333,22.75,other,786.0,CRACK,1
2024_06_06,1717680660,931,930,1717680600,19097.0,19085.25,0.175,18.0,other,571.0,HOLD,1
2024_06_10,1718041860,1191,1190,1718041800,19107.0,19102.25,0.13333333333333333,8.0,other,831.0,CRACK,7
2024_06_14,1718388420,1207,1206,1718388360,19663.0,19655.25,0.08333333333333333,9.0,other,847.0,CRACK,2
2024_06_18,1718737380,1263,1262,1718737320,20187.0,20182.0,0.09166666666666666,9.5,other,903.0,HOLD,13
2024_06_26,1719428700,1265,1264,1719428640,19971.0,19936.25,0.11666666666666667,11.5,other,905.0,HOLD,1
2024_07_01,1719840660,931,930,1719840600,19979.0,19945.0,0.11666666666666667,40.75,other,571.0,HOLD,1
2024_07_08,1720462020,1207,1206,1720461960,20637.0,20631.25,0.08333333333333333,6.75,other,847.0,HOLD,10
2024_07_10,1720635840,1224,1223,1720635780,20873.0,20859.75,0.08333333333333333,10.25,other,864.0,HOLD,11
2024_07_16,1721152920,1202,1201,1721152860,20515.0,20506.5,0.08333333333333333,12.5,other,842.0,HOLD,3
2024_07_29,1722259860,931,930,1722259800,19299.0,19231.75,0.08333333333333333,31.5,other,571.0,HOLD,1
2024_08_16,1723830360,1186,1185,1723830300,19637.0,19637.25,0.08333333333333333,7.5,other,826.0,CRACK,1
2024_08_28,1724851920,932,931,1724851860,19641.0,19636.25,0.1,19.25,other,572.0,HOLD,2
2024_09_10,1725979140,999,998,1725979080,18759.0,18733.25,0.125,32.0,other,639.0,HOLD,1
2024_09_19,1726769460,1211,1210,1726769400,20167.0,20158.75,0.1,8.75,other,851.0,CRACK,4
2024_09_23,1727118480,1268,1267,1727118420,20071.0,20069.75,0.16666666666666666,5.0,other,908.0,CRACK,2
2024_09_27,1727443860,931,930,1727443800,20359.0,20342.25,0.09166666666666666,18.75,other,571.0,HOLD,2
2024_10_09,1728492780,1133,1132,1728492720,20409.0,20393.25,0.08333333333333333,13.75,other,773.0,CRACK,1
2024_10_14,1728929460,1211,1210,1728929400,20609.0,20607.0,0.14166666666666666,6.25,other,851.0,HOLD,8
2024_10_17,1729185720,1162,1161,1729185660,20479.0,20468.75,0.08333333333333333,8.5,flushV,802.0,HOLD,19
2024_10_24,1729783560,1046,1045,1729783500,20341.0,20331.0,0.08333333333333333,17.0,flushV,686.0,HOLD,1
2024_10_30,1730307600,1140,1139,1730307540,20651.0,20641.25,0.10833333333333334,8.25,flushV,780.0,CRACK,9
