day,ts,i,dir,peak_i,peak_ts,peak_px,mfe_pt,give_frac,stalled,mod,race,resolve_s,sym_race,sym_resolve_s,net_60m
2024_01_10,1704897655,10614,1,10494,1704897055,16862.5,46.5,0.23118279569892472,True,580.9166666666666,NEW_EXTREME,95,CONT,170.0,10.25
2024_01_16,1705420645,11897,1,11777,1705420045,17027.5,19.25,0.38961038961038963,False,657.4166666666666,GIVEBACK_50,110,AGAINST,155.0,-70.25
2024_02_02,1706887755,11295,-1,11175,1706887155,17581.5,26.5,1.471698113207547,False,629.25,NEW_EXTREME,120,CONT,145.0,-76.5
2024_02_21,1708539145,13269,-1,13149,1708538545,17431.5,23.75,1.8105263157894738,False,792.4166666666666,GIVEBACK_50,5,AGAINST,260.0,12.5
2024_03_08,1709916840,12420,1,12300,1709916240,18224.25,18.75,3.7733333333333334,False,714.0,GIVEBACK_50,5,CONT,60.0,-72.5
2024_04_01,1711979920,11070,-1,10950,1711979320,18581.75,23.75,0.8736842105263158,False,598.6666666666666,GIVEBACK_50,5,CONT,30.0,118.25
2024_04_09,1712671250,10733,-1,10613,1712670650,18337.25,10.5,2.0952380952380953,False,600.8333333333334,GIVEBACK_50,5,AGAINST,70.0,130.25
2024_04_18,1713447910,11030,1,10910,1713447310,17640.75,8.25,10.636363636363637,False,585.1666666666666,GIVEBACK_50,5,CONT,100.0,108.0
2024_04_24,1713985475,14957,1,14837,1713984875,17624.25,12.0,1.3541666666666667,False,904.5833333333334,GIVEBACK_50,5,CONT,55.0,
2024_05_01,1714574545,11452,-1,11332,1714573945,17463.5,8.5,3.764705882352941,False,642.4166666666666,GIVEBACK_50,5,AGAINST,110.0,-2.75
2024_05_16,1715880845,13449,-1,13329,1715880245,18684.25,17.0,1.2941176470588236,False,814.0833333333334,GIVEBACK_50,5,CONT,135.0,14.25
2024_05_23,1716492665,15099,-1,14979,1716492065,18639.25,23.75,1.0210526315789474,False,931.0833333333334,GIVEBACK_50,5,AGAINST,85.0,
2024_05_28,1716923830,14594,1,14474,1716923230,18880.5,16.75,0.8955223880597015,False,917.1666666666666,GIVEBACK_50,5,CONT,125.0,
2024_06_07,1717784370,13415,1,13295,1717783770,19048.25,16.25,2.953846153846154,False,859.5,GIVEBACK_50,5,CONT,60.0,-3.0
2024_06_24,1719240665,11704,1,11584,1719240065,19906.5,9.0,8.833333333333334,False,651.0833333333334,GIVEBACK_50,5,AGAINST,115.0,51.75
2024_06_27,1719498600,11476,-1,11356,1719498000,20068.75,32.75,0.7480916030534351,False,630.0,NEW_EXTREME,75,CONT,75.0,89.0
2024_07_01,1719843485,11427,1,11307,1719842885,19931.25,18.5,6.418918918918919,False,618.0833333333334,GIVEBACK_50,5,CONT,20.0,55.5
2024_07_11,1720719510,12871,1,12751,1720718910,20477.5,29.75,1.0588235294117647,False,818.5,GIVEBACK_50,5,AGAINST,60.0,4.0
2024_07_19,1721416525,14678,-1,14558,1721415925,19749.25,22.25,0.8426966292134831,False,915.4166666666666,GIVEBACK_50,5,CONT,20.0,
2024_07_29,1722266635,12268,1,12148,1722266035,19181.5,21.25,1.6,False,683.9166666666666,GIVEBACK_50,5,CONT,60.0,179.25
2024_08_05,1722886335,15501,-1,15381,1722885735,17940.0,31.25,2.112,False,932.25,NEW_EXTREME,30,CONT,30.0,
2024_08_12,1723478560,12809,-1,12689,1723477960,18677.5,9.0,5.805555555555555,False,722.6666666666666,GIVEBACK_50,5,CONT,70.0,107.0
2024_08_20,1724163855,11342,1,11222,1724163255,19849.75,21.25,1.5411764705882354,False,624.25,GIVEBACK_50,5,AGAINST,105.0,-12.0
2024_08_27,1724778120,13293,1,13173,1724777520,19646.75,63.75,0.396078431372549,False,782.0,NEW_EXTREME,1100,CONT,410.0,60.75
2024_09_03,1725375620,12058,1,11938,1725375020,19193.5,15.25,2.180327868852459,False,660.3333333333334,GIVEBACK_50,5,CONT,40.0,3.25
2024_09_09,1725889210,11189,-1,11069,1725888610,18610.5,20.5,3.0121951219512195,False,580.1666666666666,GIVEBACK_50,5,CONT,15.0,98.75
2024_09_20,1726855950,14232,1,14112,1726855350,19991.5,9.5,5.5,False,852.5,GIVEBACK_50,5,CONT,20.0,46.25
2024_09_25,1727281235,12855,1,12735,1727280635,20200.0,27.25,0.4954128440366973,False,740.5833333333334,NEW_EXTREME,5,CONT,295.0,-27.5
2024_10_02,1727890655,14060,1,13940,1727890055,20013.25,29.25,1.4188034188034189,False,817.5833333333334,NEW_EXTREME,145,CONT,40.0,23.0
2024_10_16,1729103620,14391,1,14271,1729103020,20376.75,25.0,0.8,False,873.6666666666666,GIVEBACK_50,5,CONT,1200.0,-5.75
