day,ts,i,trigger_i,trigger_ts,shelf_px,poke_px,dwell_frac,bounce_pt,day_class,mod,outcome,resolve_min
2024_01_05,1704482040,1214,1213,1704481980,16495.0,16491.0,0.09166666666666666,9.0,other,854.0,CRACK,2
2024_01_22,1705938060,1001,1000,1705938000,17525.0,17472.0,0.09166666666666666,13.5,other,641.0,CRACK,4
2024_01_25,1706200620,1057,1056,1706200560,17719.0,17717.25,0.08333333333333333,11.25,other,697.0,CRACK,5
2024_01_30,1706640060,1181,1180,1706640000,17583.0,17587.75,0.09166666666666666,7.25,other,821.0,CRACK,2
2024_02_05,1707144180,943,942,1707144120,17705.0,17691.25,0.08333333333333333,10.25,other,583.0,HOLD,2
2024_02_08,1707416220,1157,1156,1707416160,17873.0,17859.0,0.125,8.75,other,797.0,HOLD,8
2024_02_14,1707923100,965,964,1707923040,17777.0,17777.75,0.1,20.75,other,605.0,HOLD,1
2024_02_16,1708104240,1104,1103,1708104180,17861.0,17859.5,0.08333333333333333,14.0,other,744.0,HOLD,4
2024_02_22,1708633500,1285,1284,1708633440,18069.0,18066.5,0.1,8.25,other,925.0,CRACK,4
2024_02_28,1709146680,1198,1197,1709146620,17939.0,17939.0,0.08333333333333333,8.5,other,838.0,HOLD,3
2024_03_05,1709663100,1165,1164,1709663040,17941.0,17911.0,0.08333333333333333,6.0,other,805.0,HOLD,2
2024_03_12,1710260460,1101,1100,1710260400,18407.0,18385.25,0.08333333333333333,9.75,flushV,741.0,HOLD,1
2024_03_19,1710871860,1211,1210,1710871800,18251.0,18244.0,0.08333333333333333,5.75,flushV,851.0,HOLD,2
2024_03_25,1711382880,1088,1087,1711382820,18527.0,18513.5,0.09166666666666666,12.5,other,728.0,HOLD,5
2024_03_28,1711652880,1268,1267,1711652820,18473.0,18473.75,0.15833333333333333,12.5,other,908.0,HOLD,1
2024_04_05,1712335680,1128,1127,1712335620,18361.0,18350.5,0.08333333333333333,9.75,other,768.0,HOLD,2
2024_04_10,1712768760,1146,1145,1712768700,18143.0,18124.25,0.08333333333333333,13.25,other,786.0,CRACK,2
2024_04_17,1713362880,968,967,1713362820,17933.0,17857.5,0.09166666666666666,15.0,other,608.0,CRACK,1
2024_04_23,1713892740,1159,1158,1713892680,17603.0,17577.75,0.09166666666666666,12.75,other,799.0,HOLD,1
2024_04_29,1714409880,1138,1137,1714409820,17901.0,17890.5,0.1,5.0,flushV,778.0,CRACK,3
2024_05_03,1714762560,1256,1255,1714762500,17997.0,17996.0,0.08333333333333333,15.25,other,896.0,HOLD,1
2024_05_07,1715098440,1094,1092,1715098320,18253.0,18250.5,0.10833333333333334,7.5,other,734.0,CRACK,19
2024_05_09,1715276100,1175,1174,1715276040,18213.0,18211.75,0.10833333333333334,7.5,flushV,815.0,CRACK,13
2024_05_16,1715874180,1063,1062,1715874120,18731.0,18728.5,0.08333333333333333,11.75,other,703.0,HOLD,2
2024_05_17,1715974140,1289,1288,1715974080,18623.0,18623.0,0.10833333333333334,8.5,other,929.0,CRACK,21
2024_05_23,1716481440,1104,1103,1716481380,18915.0,18911.25,0.08333333333333333,7.5,other,744.0,HOLD,6
2024_05_30,1717093500,1225,1224,1717093440,18691.0,18662.0,0.09166666666666666,13.25,flushV,865.0,HOLD,5
2024_06_06,1717690320,1092,1091,1717690260,19067.0,19065.5,0.1,7.25,other,732.0,CRACK,3
2024_06_10,1718047740,1289,1288,1718047680,19107.0,19105.5,0.08333333333333333,10.5,other,929.0,CRACK,2
2024_06_17,1718633280,968,967,1718633220,19953.0,19956.5,0.125,9.25,other,608.0,HOLD,2
2024_06_19,1718804160,936,935,1718804100,20235.0,20237.0,0.20833333333333334,5.0,other,576.0,CRACK,55
2024_06_27,1719510300,1185,1184,1719510240,20047.0,20047.5,0.11666666666666667,11.0,other,825.0,CRACK,13
2024_07_01,1719854580,1163,1162,1719854520,20013.0,19977.5,0.10833333333333334,14.25,flushV,803.0,HOLD,2
2024_07_08,1720463940,1239,1238,1720463880,20635.0,20633.0,0.10833333333333334,6.75,other,879.0,CRACK,3
2024_07_11,1720704660,931,930,1720704600,20883.0,20871.5,0.18333333333333332,22.0,other,571.0,HOLD,1
2024_07_18,1721309880,938,937,1721309820,20081.0,20084.0,0.08333333333333333,21.0,other,578.0,HOLD,1
2024_08_12,1723488780,1253,1252,1723488720,18623.0,18623.0,0.08333333333333333,15.75,flushV,893.0,HOLD,2
2024_08_20,1724171940,1119,1118,1724171880,19807.0,19802.75,0.08333333333333333,10.0,other,759.0,CRACK,2
2024_08_30,1725041460,1211,1210,1725041400,19467.0,19454.0,0.1,19.25,other,851.0,HOLD,1
2024_09_10,1725994260,1251,1250,1725994200,18831.0,18814.0,0.08333333333333333,19.75,other,891.0,HOLD,2
2024_09_23,1727100180,963,962,1727100120,20081.0,20078.5,0.125,16.5,other,603.0,CRACK,1
2024_09_25,1727276520,1022,1021,1727276460,20227.0,20218.0,0.08333333333333333,12.75,other,662.0,HOLD,1
2024_09_27,1727459640,1194,1193,1727459580,20253.0,20255.5,0.08333333333333333,11.0,flushV,834.0,HOLD,3
2024_10_09,1728494760,1166,1164,1728494640,20409.0,20409.75,0.09166666666666666,10.25,other,806.0,HOLD,5
2024_10_15,1729001400,970,969,1729001340,20617.0,20602.0,0.1,20.5,other,610.0,CRACK,2
2024_10_18,1729264320,1032,1031,1729264260,20493.0,20490.25,0.1,7.5,other,672.0,CRACK,1
2024_10_24,1729794600,1230,1229,1729794540,20357.0,20361.25,0.10833333333333334,6.25,flushV,870.0,CRACK,6
2024_10_31,1730395140,1159,1158,1730395080,20087.0,20086.5,0.08333333333333333,10.0,other,799.0,HOLD,1
2024_11_07,1731002880,1148,1147,1731002820,21185.0,21170.0,0.08333333333333333,10.75,other,788.0,CRACK,3
2024_11_12,1731421860,931,930,1731421800,21201.0,21193.0,0.10833333333333334,22.5,other,571.0,CRACK,1
2024_11_15,1731694560,1156,1155,1731694500,20487.0,20459.5,0.08333333333333333,17.0,flushV,796.0,HOLD,1
2024_11_22,1732296720,1112,1111,1732296660,20831.0,20818.0,0.08333333333333333,8.75,other,752.0,CRACK,2
2024_11_29,1732902420,1127,1126,1732902360,20989.0,20986.75,0.08333333333333333,10.0,other,767.0,HOLD,3
2024_12_06,1733512800,1220,1219,1733512740,21627.0,21623.25,0.08333333333333333,7.25,other,860.0,CRACK,9
2024_12_11,1733945520,1232,1230,1733945400,21791.0,21796.0,0.1,5.75,other,872.0,HOLD,7
2024_12_20,1734725100,1265,1264,1734725040,21699.0,21696.5,0.08333333333333333,11.5,other,905.0,HOLD,1
2025_01_06,1736181660,1001,1000,1736181600,21871.0,21861.25,0.08333333333333333,15.25,other,701.0,CRACK,4
2025_01_16,1737052020,1107,1106,1737051960,21383.0,21366.25,0.08333333333333333,9.0,other,807.0,CRACK,1
2025_01_22,1737575460,1191,1190,1737575400,22029.0,22027.5,0.08333333333333333,8.25,other,891.0,CRACK,20
2025_01_28,1738092060,1161,1160,1738092000,21545.0,21545.75,0.08333333333333333,9.0,flushV,861.0,HOLD,5
2025_02_12,1739392200,1230,1229,1739392140,21823.0,21810.5,0.08333333333333333,10.25,other,930.0,CRACK,9
2025_02_17,1739808060,961,960,1739808000,22229.0,22231.5,0.1,9.0,other,661.0,HOLD,1
2025_02_19,1739986020,1047,1046,1739985960,22217.0,22209.75,0.08333333333333333,8.75,other,747.0,HOLD,10
2025_02_27,1740666660,871,870,1740666600,21353.0,21320.25,0.09166666666666666,35.25,other,571.0,HOLD,1
2025_03_20,1742477700,815,814,1742477640,19645.0,19648.75,0.11666666666666667,30.75,other,575.0,HOLD,1
