day,ts,i,chain_n,step_high,step_low,step_depth,chain_head_high,chain_descent,defense_pt,defense_lag_s,mod,race,resolve_s,defense_hold,sym_race,sym_resolve_s,net_30m
2024_01_11,1704992065,12225,3,16780.25,16767.25,13.0,16813.25,46.0,6.25,5,714.4166666666666,STAIR_BREAK,85,True,AGAINST,170,31.25
2024_01_24,1706107915,10911,1,17673.5,17660.5,13.0,17673.5,13.0,4.0,0,591.9166666666666,NEW_LOW,15,False,AGAINST,230,35.75
2024_01_31,1706716435,11701,3,17296.5,17286.5,10.0,17306.75,20.25,2.0,10,653.9166666666666,NEW_LOW,10,False,AGAINST,330,53.25
2024_02_12,1707767430,13197,2,17980.0,17956.5,23.5,17987.0,30.5,2.0,0,890.5,NEW_LOW,10,False,CONT,285,21.5
2024_03_08,1709920075,13067,5,18159.75,18146.25,13.5,18183.75,37.5,3.0,5,767.9166666666666,NEW_LOW,5,False,CONT,160,-75.0
2024_03_15,1710516075,12037,3,18101.5,18087.0,14.5,18125.0,38.0,2.75,0,681.25,NEW_LOW,15,False,AGAINST,430,-27.25
2024_03_21,1711029900,11313,3,18654.0,18639.0,15.0,18650.5,11.5,4.25,0,605.0,NEW_LOW,50,False,AGAINST,225,-3.25
2024_04_04,1712239075,10767,7,18522.0,18508.25,13.75,18566.0,57.75,2.25,5,597.9166666666666,NEW_LOW,15,False,AGAINST,135,-7.0
2024_04_10,1712776660,14299,2,18192.5,18169.75,22.75,18194.0,24.25,4.0,5,917.6666666666666,STAIR_BREAK,160,True,AGAINST,95,44.5
2024_04_18,1713463705,14189,4,17555.0,17543.75,11.25,17564.0,20.25,2.0,0,848.4166666666666,NEW_LOW,15,False,CONT,155,-6.25
2024_05_01,1714586500,13843,1,17499.5,17478.0,21.5,17499.5,21.5,3.75,0,841.6666666666666,NEW_LOW,10,False,CONT,10,27.75
2024_05_13,1715619410,12678,3,18303.0,18294.5,8.5,18309.25,14.75,2.25,10,776.8333333333334,NEW_LOW,185,False,CONT,205,-6.0
2024_05_23,1716482085,12983,1,18927.0,18916.5,10.5,18927.0,10.5,2.0,0,754.75,STAIR_BREAK,100,False,CONT,430,-89.25
2024_06_03,1717439745,14459,5,18558.0,18547.0,11.0,18566.5,19.5,3.5,5,875.75,STAIR_BREAK,30,True,AGAINST,40,7.25
2024_06_14,1718392115,14363,1,19673.0,19660.5,12.5,19673.0,12.5,5.5,5,908.5833333333334,NEW_LOW,295,False,AGAINST,930,0.0
2024_06_24,1719249125,13396,1,19825.5,19813.0,12.5,19825.5,12.5,2.5,5,792.0833333333334,NEW_LOW,5,False,CONT,105,3.5
2024_06_28,1719597100,13667,6,20040.5,20032.25,8.25,20072.5,40.25,3.25,5,831.6666666666666,NEW_LOW,10,False,AGAINST,150,5.75
2024_07_10,1720631345,12548,1,20867.25,20856.25,11.0,20867.25,11.0,2.5,10,789.0833333333334,NEW_LOW,30,False,CONT,210,2.75
2024_07_17,1721226990,11532,1,20172.0,20159.25,12.75,20172.0,12.75,2.5,5,636.5,NEW_LOW,5,False,CONT,40,-47.5
2024_07_23,1721742405,11062,2,20021.75,20005.75,16.0,20031.5,25.75,2.0,0,586.75,NEW_LOW,5,False,CONT,35,4.75
2024_07_29,1722263455,11632,1,19300.5,19277.25,23.25,19300.5,23.25,9.25,0,630.9166666666666,NEW_LOW,25,False,CONT,50,-85.5
2024_08_01,1722539480,15178,1,18931.5,18921.75,9.75,18931.5,9.75,3.75,5,911.3333333333334,STAIR_BREAK,25,False,AGAINST,35,50.25
2024_08_07,1723051590,13987,1,18237.75,18229.5,8.25,18237.75,8.25,3.75,5,806.5,STAIR_BREAK,5,False,CONT,85,-121.0
2024_08_15,1723734040,11914,1,19484.5,19471.75,12.75,19484.5,12.75,2.0,5,660.6666666666666,STAIR_BREAK,25,True,AGAINST,20,23.75
2024_08_27,1724773335,12336,1,19598.75,19589.0,9.75,19598.75,9.75,3.0,0,702.25,STAIR_BREAK,45,True,AGAINST,50,29.0
2024_08_29,1724953825,14147,3,19591.5,19583.0,8.5,19622.25,39.25,7.0,5,830.4166666666666,STAIR_BREAK,35,True,AGAINST,130,-37.0
2024_09_04,1725461535,12097,1,19052.25,19042.25,10.0,19052.25,10.0,4.5,5,652.25,STAIR_BREAK,20,False,AGAINST,175,3.25
2024_09_17,1726593030,12581,1,19650.5,19639.75,10.75,19650.5,10.75,4.25,0,790.5,NEW_LOW,10,False,CONT,25,1.75
2024_09_23,1727108050,12854,6,20074.25,20063.25,11.0,20123.0,59.75,2.75,0,734.1666666666666,NEW_LOW,50,False,CONT,65,-5.0
2024_09_26,1727373035,14079,1,20285.0,20275.75,9.25,20285.0,9.25,2.75,0,830.5833333333334,NEW_LOW,75,False,AGAINST,290,47.5
2024_10_07,1728308895,11206,1,20134.75,20124.75,10.0,20134.75,10.0,2.25,0,588.25,NEW_LOW,30,False,AGAINST,70,49.25
2024_10_17,1729175250,11399,3,20462.5,20447.75,14.75,20462.0,14.25,2.25,0,627.5,NEW_LOW,5,False,CONT,25,-44.75
2024_10_28,1730132285,12983,1,20553.5,20544.25,9.25,20553.5,9.25,2.5,5,738.0833333333334,STAIR_BREAK,80,True,AGAINST,120,-8.25
2024_11_04,1730752010,15197,1,20139.0,20129.5,9.5,20139.0,9.5,2.75,5,926.8333333333334,NEW_LOW,20,False,CONT,105,-54.75
2024_11_12,1731432915,13155,1,21167.5,21157.0,10.5,21167.5,10.5,3.25,15,755.25,STAIR_BREAK,50,False,CONT,365,-81.75
2024_11_21,1732200855,11347,3,20736.25,20722.25,14.0,20782.0,59.75,3.75,0,594.25,NEW_LOW,5,False,CONT,5,-127.0
2024_12_06,1733496945,10647,1,21613.25,21603.0,10.25,21613.25,10.25,2.25,5,595.75,NEW_LOW,10,False,CONT,95,18.5
2024_12_23,1734967115,11660,4,21542.0,21531.0,11.0,21562.25,31.25,3.75,5,618.5833333333334,NEW_LOW,15,False,CONT,25,15.25
2025_01_03,1735926735,11113,1,21470.25,21460.0,10.25,21470.25,10.25,3.0,5,772.25,STAIR_BREAK,95,True,AGAINST,100,14.25
2025_01_21,1737471990,9316,1,21615.5,21597.0,18.5,21615.5,18.5,7.0,0,606.5,NEW_LOW,30,False,CONT,35,2.0
2025_01_29,1738180340,12317,1,21571.75,21557.25,14.5,21571.75,14.5,5.25,5,892.3333333333334,STAIR_BREAK,25,False,CONT,95,-9.5
