day,ts,i,dir,peak_i,peak_ts,peak_px,mfe_pt,give_frac,stalled,mod,race,resolve_s,sym_race,sym_resolve_s,net_60m
2024_01_02,1704206495,10173,1,10053,1704205895,16868.0,8.0,10.5625,False,581.5833333333334,GIVEBACK_50,5,AGAINST,45.0,-90.5
2024_01_10,1704902160,11515,-1,11395,1704901560,16878.5,11.75,1.1702127659574468,False,656.0,GIVEBACK_50,70,AGAINST,245.0,9.25
2024_01_17,1705507395,12005,-1,11885,1705506795,16755.5,22.75,1.4395604395604396,False,663.25,GIVEBACK_50,5,AGAINST,55.0,-23.5
2024_02_07,1707323675,12161,-1,12041,1707323075,17813.75,11.5,1.7608695652173914,False,694.5833333333334,NEW_EXTREME,5,AGAINST,475.0,9.0
2024_02_21,1708547795,14999,-1,14879,1708547195,17411.0,8.0,8.21875,False,936.5833333333334,GIVEBACK_50,5,AGAINST,50.0,
2024_03_13,1710351875,13204,-1,13084,1710351275,18366.0,28.25,0.7787610619469026,False,824.5833333333334,GIVEBACK_50,180,AGAINST,75.0,-15.75
2024_04_03,1712171555,14816,1,14696,1712170955,18395.5,8.0,3.09375,False,912.5833333333334,GIVEBACK_50,5,AGAINST,95.0,
2024_04_11,1712842800,10826,1,10706,1712842200,18273.25,16.75,2.6417910447761193,False,580.0,GIVEBACK_50,5,AGAINST,10.0,2.0
2024_04_18,1713457280,12904,1,12784,1713456680,17690.75,19.0,1.0526315789473684,False,741.3333333333334,GIVEBACK_50,20,AGAINST,345.0,-118.5
2024_04_24,1713986535,15169,-1,15049,1713985935,17634.5,8.5,2.1470588235294117,False,922.25,GIVEBACK_50,5,AGAINST,45.0,
2024_05_01,1714577955,12134,-1,12014,1714577355,17444.0,8.75,2.7142857142857144,False,699.25,GIVEBACK_50,5,AGAINST,90.0,19.5
2024_05_16,1715881140,13508,-1,13388,1715880540,18686.75,14.0,1.3928571428571428,False,819.0,GIVEBACK_50,5,AGAINST,150.0,1.75
2024_05_24,1716576340,14141,-1,14021,1716575740,18884.75,18.0,0.7361111111111112,False,885.6666666666666,GIVEBACK_50,170,CONT,595.0,21.25
2024_05_29,1716996075,11847,1,11727,1716995475,18845.5,13.75,1.5272727272727273,False,681.25,NEW_EXTREME,60,CONT,215.0,9.5
2024_06_12,1718200460,10449,-1,10329,1718199860,19467.5,9.5,3.8157894736842106,False,594.3333333333334,GIVEBACK_50,5,AGAINST,100.0,-10.25
2024_06_25,1719330465,12234,1,12114,1719329865,19942.5,12.75,1.0784313725490196,False,707.75,GIVEBACK_50,115,CONT,380.0,-52.75
2024_06_27,1719498995,11555,1,11435,1719498395,20089.25,20.5,1.7682926829268293,False,636.5833333333334,GIVEBACK_50,5,CONT,125.0,-98.25
2024_07_02,1719928205,11026,-1,10906,1719927605,20031.5,15.25,4.049180327868853,False,590.0833333333334,GIVEBACK_50,5,CONT,20.0,-33.75
