day,ts,i,dir,peak_i,peak_ts,peak_px,mfe_pt,give_frac,stalled,mod,race,resolve_s,sym_race,sym_resolve_s,net_60m
2025_01_14,1736886100,13064,-1,12944,1736885500,20778.75,17.0,2.485294117647059,False,921.6666666666666,GIVEBACK_50,5,CONT,70.0,
2025_01_21,1737477690,10456,1,10336,1737477090,21645.5,23.25,1.5268817204301075,False,701.5,GIVEBACK_50,5,CONT,55.0,91.0
2025_01_29,1738165085,9266,-1,9146,1738164485,21486.25,8.5,4.735294117647059,False,638.0833333333334,GIVEBACK_50,5,CONT,105.0,22.75
2025_01_31,1738351095,12314,-1,12194,1738350495,21675.0,20.0,4.275,False,858.25,GIVEBACK_50,5,CONT,40.0,133.75
2025_02_04,1738696205,12734,-1,12614,1738695605,21619.0,22.0,1.6477272727272727,False,850.0833333333334,GIVEBACK_50,5,AGAINST,545.0,10.5
2025_02_10,1739205315,10150,1,10030,1739204715,21865.5,19.5,1.294871794871795,False,695.25,GIVEBACK_50,5,AGAINST,680.0,-8.25
2025_02_18,1739903660,11396,1,11276,1739903060,22170.75,17.25,1.6231884057971016,False,814.3333333333334,GIVEBACK_50,5,AGAINST,500.0,7.25
2025_02_28,1740754895,10024,1,9904,1740754295,20626.0,9.0,8.916666666666666,False,601.5833333333334,GIVEBACK_50,5,CONT,25.0,146.5
2025_03_05,1741195910,11840,-1,11720,1741195310,20425.0,9.0,6.555555555555555,False,751.8333333333334,GIVEBACK_50,5,CONT,210.0,-9.75
2025_03_11,1741700915,9508,-1,9388,1741700315,19480.75,51.5,1.9563106796116505,False,588.5833333333334,GIVEBACK_50,5,CONT,20.0,271.0
2025_03_14,1741967700,10643,1,10523,1741967100,19700.0,40.75,1.2147239263803682,False,715.0,GIVEBACK_50,5,CONT,140.0,24.75
2025_03_20,1742491205,7506,1,7397,1742490605,19738.0,8.25,5.303030303030303,False,800.0833333333334,GIVEBACK_50,5,AGAINST,95.0,-43.75
2025_04_03,1743693575,10634,-1,10514,1743692975,18734.25,15.0,7.633333333333334,False,679.5833333333334,GIVEBACK_50,5,CONT,65.0,-139.0
2025_04_07,1744038995,10978,1,10858,1744038395,17658.25,12.5,40.02,False,676.5833333333334,GIVEBACK_50,5,CONT,5.0,59.25
2025_04_08,1744133750,12245,1,12125,1744133150,17605.5,37.0,3.0405405405405403,False,815.8333333333334,GIVEBACK_50,5,AGAINST,10.0,-99.25
2025_04_16,1744815220,9991,1,9871,1744814620,18665.25,9.25,5.0,False,653.6666666666666,GIVEBACK_50,5,AGAINST,30.0,-22.5
2025_04_25,1745591015,9703,1,9583,1745590415,19394.25,8.0,17.375,False,623.5833333333334,GIVEBACK_50,5,CONT,45.0,100.5
2025_05_07,1746646620,13089,-1,12969,1746646020,19779.5,65.0,0.5384615384615384,False,937.0,GIVEBACK_50,5,AGAINST,50.0,
2025_05_09,1746805810,10161,-1,10041,1746805210,20119.25,21.75,1.7586206896551724,False,710.1666666666666,GIVEBACK_50,5,AGAINST,550.0,72.5
2025_05_19,1747664155,9726,-1,9606,1747663555,21390.75,8.0,6.8125,False,615.9166666666666,GIVEBACK_50,5,AGAINST,20.0,12.25
2025_05_21,1747849755,11644,1,11524,1747849155,21317.75,66.25,0.9320754716981132,False,829.25,GIVEBACK_50,5,CONT,20.0,-37.5
2025_05_27,1748370615,12227,-1,12107,1748370015,21460.25,21.25,0.4470588235294118,False,870.25,NEW_EXTREME,130,CONT,660.0,28.75
2025_05_30,1748614585,8791,-1,8671,1748613985,21335.75,12.75,3.4705882352941178,False,616.4166666666666,GIVEBACK_50,5,CONT,140.0,25.0
2025_06_05,1749143195,10441,1,10321,1749142595,21720.25,9.5,6.2631578947368425,False,786.5833333333334,GIVEBACK_50,5,CONT,45.0,-13.25
2025_06_18,1750264245,6172,1,6073,1750263645,21827.5,10.0,2.7,False,750.75,GIVEBACK_50,5,CONT,915.0,-53.0
2025_07_14,1752503915,8897,-1,8777,1752503315,22932.25,54.25,0.20276497695852536,True,638.5833333333334,GIVEBACK_50,385,AGAINST,245.0,-70.5
2025_07_25,1753454665,8565,1,8445,1753454065,23414.75,21.25,0.6705882352941176,False,644.4166666666666,NEW_EXTREME,290,AGAINST,645.0,-4.75
2025_08_04,1754315420,8956,-1,8836,1754314820,23152.25,10.25,7.121951219512195,False,590.3333333333334,GIVEBACK_50,5,CONT,75.0,-30.5
2025_08_08,1754660930,7947,-1,7827,1754660330,23567.5,10.5,7.190476190476191,False,588.8333333333334,GIVEBACK_50,5,CONT,70.0,-42.25
2025_08_14,1755191130,9612,-1,9492,1755190530,23935.0,8.0,2.25,False,785.5,GIVEBACK_50,5,AGAINST,440.0,8.25
2025_08_22,1755871730,8127,-1,8007,1755871130,23248.75,19.75,16.253164556962027,False,608.8333333333334,GIVEBACK_50,5,AGAINST,10.0,-72.25
