day,ts,i,trigger_i,trigger_ts,shelf_px,poke_px,dwell_frac,bounce_pt,day_class,mod,outcome,resolve_min
2024_01_11,1704983880,938,937,1704983820,17009.0,17012.25,0.1,19.75,other,578.0,CRACK,3
2024_01_22,1705944300,1105,1104,1705944240,17497.0,17489.5,0.08333333333333333,6.0,other,745.0,CRACK,1
2024_01_25,1706202540,1089,1088,1706202480,17723.0,17673.25,0.1,18.0,other,729.0,HOLD,1
2024_01_30,1706643900,1245,1244,1706643840,17583.0,17585.0,0.1,5.5,other,885.0,HOLD,7
2024_02_06,1707236040,1034,1033,1707235980,17641.0,17622.25,0.08333333333333333,8.0,other,674.0,HOLD,1
2024_02_08,1707418980,1203,1201,1707418860,17867.0,17861.75,0.10833333333333334,7.75,other,843.0,CRACK,2
2024_02_14,1707925920,1012,1011,1707925860,17773.0,17772.25,0.08333333333333333,16.0,other,652.0,HOLD,1
2024_02_19,1708356000,980,979,1708355940,17775.0,17778.5,0.13333333333333333,5.0,other,620.0,CRACK,26
2024_02_26,1708958160,936,935,1708958100,18003.0,18007.75,0.1,18.75,other,576.0,HOLD,1
2024_02_29,1709232960,1196,1195,1709232900,18037.0,18036.25,0.08333333333333333,6.5,other,836.0,CRACK,4
2024_03_06,1709735760,936,935,1709735700,18077.0,18074.0,0.09166666666666666,24.75,other,576.0,HOLD,3
2024_03_15,1710516120,1042,1041,1710516060,18095.0,18082.5,0.08333333333333333,11.5,flushV,682.0,HOLD,6
2024_03_20,1710945000,990,989,1710944940,18293.0,18294.0,0.08333333333333333,9.25,other,630.0,CRACK,2
2024_03_26,1711462320,972,971,1711462260,18569.0,18571.5,0.125,21.0,other,612.0,HOLD,1
2024_04_01,1711995480,1218,1217,1711995420,18459.0,18457.25,0.08333333333333333,8.75,other,858.0,HOLD,4
2024_04_08,1712598840,1194,1193,1712598780,18297.0,18284.5,0.10833333333333334,8.75,flushV,834.0,HOLD,2
2024_04_16,1713282120,1062,1061,1713282060,17887.0,17889.25,0.1,17.25,other,702.0,HOLD,1
2024_04_18,1713451380,1003,1002,1713451320,17685.0,17683.75,0.08333333333333333,21.25,flushV,643.0,HOLD,1
2024_04_24,1713965580,933,932,1713965520,17723.0,17713.0,0.1,17.75,other,573.0,HOLD,1
2024_05_01,1714580280,1098,1097,1714580220,17455.0,17453.75,0.08333333333333333,11.75,other,738.0,CRACK,1
2024_05_06,1715002260,931,930,1715002200,18061.0,18046.25,0.15,13.0,other,571.0,HOLD,3
2024_05_07,1715100360,1126,1125,1715100300,18251.0,18242.75,0.15,6.5,other,766.0,CRACK,4
2024_05_13,1715616540,1089,1088,1715616480,18295.0,18299.5,0.16666666666666666,6.0,flushV,729.0,CRACK,6
2024_05_16,1715885640,1254,1253,1715885580,18689.0,18687.25,0.09166666666666666,7.25,other,894.0,HOLD,10
2024_05_20,1716229980,1233,1232,1716229920,18745.0,18750.0,0.10833333333333334,9.75,other,873.0,HOLD,8
2024_05_24,1716576900,1255,1254,1716576840,18889.0,18870.0,0.11666666666666667,15.75,other,895.0,CRACK,7
2024_06_03,1717422720,952,951,1717422660,18689.0,18674.75,0.14166666666666666,14.5,other,592.0,HOLD,1
2024_06_07,1717770780,993,992,1717770720,19037.0,19033.5,0.08333333333333333,13.0,other,633.0,HOLD,2
2024_06_11,1718112840,934,933,1718112780,19057.0,19057.75,0.125,26.75,other,574.0,HOLD,1
2024_06_17,1718635980,1013,1012,1718635920,19947.0,19947.75,0.11666666666666667,11.75,other,653.0,HOLD,2
2024_06_21,1718995080,1238,1237,1718995020,19989.0,19972.75,0.08333333333333333,16.0,flushV,878.0,HOLD,1
2024_06_27,1719512220,1217,1216,1719512160,20047.0,20009.25,0.125,5.75,other,857.0,CRACK,1
2024_07_03,1720013580,933,932,1720013520,20245.0,20245.5,0.10833333333333334,17.75,other,573.0,HOLD,1
2024_07_09,1720535940,999,998,1720535880,20723.0,20710.5,0.11666666666666667,11.5,other,639.0,HOLD,2
2024_07_11,1720723620,1247,1246,1720723560,20459.0,20448.0,0.08333333333333333,14.0,other,887.0,CRACK,1
2024_07_23,1721743500,965,964,1721743440,19973.0,19972.5,0.08333333333333333,16.0,other,605.0,HOLD,1
2024_08_14,1723642500,935,934,1723642440,19109.0,19083.0,0.10833333333333334,42.75,other,575.0,HOLD,1
2024_08_23,1724419860,931,930,1724419800,19735.0,19714.5,0.1,28.0,other,571.0,CRACK,1
2024_09_02,1725285840,964,962,1725285720,19615.0,19612.5,0.11666666666666667,5.75,other,604.0,CRACK,3
2024_09_13,1726234680,938,937,1726234620,19451.0,19451.25,0.125,26.25,other,578.0,HOLD,1
