day,ts,i,dir,ref_px,poke_ext,poke_depth,ref_age_s,arm_ts,kind,mod,sym_race,sym_resolve_s,race,resolve_s,exceed_ref,exceed_poke,exceed_ref_first,mfe_beyond_ref
2024_01_17,1705507215,11969,1,16772.0,16777.5,5.5,4925,1705507205,BREAKOUT,660.25,CONT,115,RESUME,50,True,True,True,64.0
2024_02_01,1706806240,12487,1,17323.25,17325.5,2.25,225,1706806230,BREAKOUT,710.6666666666666,CONT,645,RESUME,5,True,True,True,67.5
2024_02_13,1707841075,11437,-1,17744.25,17743.0,1.25,2545,1707841065,RETURN,677.9166666666666,CONT,65,RESUME,15,True,True,True,32.0
2024_02_27,1709046225,10872,-1,17998.5,17997.25,1.25,1870,1709046215,RETURN,603.75,CONT,90,RESUME,45,True,True,True,19.25
2024_03_06,1709747665,13087,-1,18122.75,18120.5,2.25,3220,1709747660,BREAKOUT,774.4166666666666,AGAINST,140,RESUME,5,True,True,True,77.5
2024_03_12,1710271775,14251,1,18466.5,18470.25,3.75,950,1710271770,BREAKOUT,929.5833333333334,AGAINST,180,RESUME,155,True,True,True,23.25
2024_03_22,1711115245,10937,1,18515.0,18516.75,1.75,5170,1711115240,RETURN,587.4166666666666,CONT,305,RESUME,280,True,True,True,48.5
2024_04_05,1712335980,13390,1,18368.75,18371.5,2.75,410,1712335970,BREAKOUT,773.0,CONT,240,RESUME,5,True,True,True,36.75
2024_04_16,1713289700,14139,-1,17873.5,17872.75,0.75,530,1713289695,RETURN,828.3333333333334,CONT,85,RESUME,85,True,True,True,33.5
2024_04_30,1714488655,11120,-1,17859.25,17858.75,0.5,2800,1714488650,RETURN,650.9166666666666,CONT,90,RESUME,10,True,True,True,116.5
2024_05_09,1715265065,10862,1,18167.25,18167.5,0.25,295,1715265060,RETURN,631.0833333333334,CONT,240,RESUME,15,True,True,True,63.25
2024_05_23,1716477070,11980,-1,18877.75,18876.25,1.5,1655,1716477065,RETURN,671.1666666666666,AGAINST,270,RESUME,70,True,True,True,4.25
2024_06_03,1717429830,12476,-1,18603.25,18601.5,1.75,565,1717429825,RETURN,710.5,AGAINST,130,RESUME,35,True,True,True,129.25
2024_06_11,1718115705,10618,1,19068.75,19077.25,8.5,505,1718115695,BREAKOUT,621.75,AGAINST,25,REVERSE,25,True,True,True,67.75
2024_07_05,1720196445,12060,1,20610.25,20613.0,2.75,310,1720196440,BREAKOUT,740.75,AGAINST,715,RESUME,10,True,True,True,6.5
2024_07_15,1721050800,10574,1,20639.5,20646.0,6.5,360,1721050795,BREAKOUT,580.0,CONT,70,RESUME,15,True,True,True,37.0
2024_07_22,1721657205,11545,-1,19910.75,19908.0,2.75,1850,1721657200,BREAKOUT,606.75,AGAINST,30,REVERSE,30,True,True,False,12.0
2024_07_25,1721926670,13570,1,19337.25,19342.0,4.75,1730,1721926665,BREAKOUT,777.8333333333334,AGAINST,20,REVERSE,20,True,True,False,52.5
2024_07_30,1722355380,12820,-1,18941.0,18937.5,3.5,90,1722355370,BREAKOUT,723.0,CONT,55,RESUME,5,True,True,True,44.0
2024_08_05,1722870050,12244,-1,17939.5,17926.75,12.75,3145,1722870040,BREAKOUT,660.8333333333334,CONT,10,RESUME,5,True,True,True,47.0
2024_08_07,1723045465,12762,-1,18417.5,18414.25,3.25,4440,1723045460,BREAKOUT,704.4166666666666,CONT,20,RESUME,5,True,True,True,134.25
2024_08_08,1723135925,13572,-1,18397.0,18391.25,5.75,3315,1723135920,BREAKOUT,772.0833333333334,AGAINST,15,REVERSE,15,True,True,False,35.75
2024_08_09,1723220395,13167,1,18473.0,18474.25,1.25,115,1723220385,RETURN,739.9166666666666,CONT,35,RESUME,10,True,True,True,70.0
2024_08_22,1724340460,12072,1,19826.0,19826.5,0.5,400,1724340455,RETURN,687.6666666666666,AGAINST,80,RESUME,10,False,True,False,1.75
2024_08_30,1725027820,11428,1,19552.5,19555.0,2.5,2660,1725027815,BREAKOUT,623.6666666666666,AGAINST,120,RESUME,25,True,True,True,49.5
2024_09_04,1725458550,11500,1,18918.0,18927.0,9.0,1590,1725458540,BREAKOUT,602.5,AGAINST,10,REVERSE,10,True,True,True,144.5
2024_09_09,1725891545,11656,-1,18651.75,18646.75,5.0,1980,1725891540,BREAKOUT,619.0833333333334,CONT,140,RESUME,30,True,True,True,138.25
2024_09_13,1726250915,14101,1,19566.75,19570.25,3.5,1735,1726250910,BREAKOUT,848.5833333333334,AGAINST,145,RESUME,15,True,True,True,5.75
2024_09_26,1727360115,11495,-1,20396.0,20393.75,2.25,495,1727360110,BREAKOUT,615.25,AGAINST,30,REVERSE,30,True,True,False,201.0
2024_10_07,1728318845,13196,1,20146.0,20147.75,1.75,1550,1728318840,RETURN,754.0833333333334,AGAINST,525,RESUME,130,True,True,True,16.25
2024_10_17,1729172555,10860,1,20454.5,20457.5,3.0,95,1729172540,BREAKOUT,582.5833333333334,AGAINST,75,RESUME,5,True,True,True,49.25
