day,ts,i,chain_n,step_high,step_low,step_depth,chain_head_high,chain_descent,defense_pt,defense_lag_s,mod,race,resolve_s,defense_hold,sym_race,sym_resolve_s,net_30m
2024_01_18,1705602295,13530,1,16965.75,16956.0,9.75,16965.75,9.75,2.5,5,804.9166666666666,NEW_LOW,5,False,AGAINST,190,54.5
2024_01_24,1706112335,11795,1,17741.25,17730.0,11.25,17741.25,11.25,2.25,0,665.5833333333334,NEW_LOW,10,False,CONT,70,-21.5
2024_02_02,1706884225,10589,1,17516.0,17505.75,10.25,17516.0,10.25,4.5,5,570.4166666666666,NEW_LOW,5,False,CONT,35,90.0
2024_02_21,1708537385,12917,1,17460.75,17447.5,13.25,17460.75,13.25,2.5,5,763.0833333333334,NEW_LOW,15,False,CONT,35,27.0
2024_03_13,1710336855,10200,2,18405.75,18395.5,10.25,18406.5,11.0,2.75,0,574.25,NEW_LOW,20,False,CONT,65,-73.25
2024_03_15,1710518665,12555,7,18074.75,18065.0,9.75,18109.5,44.5,2.0,0,724.4166666666666,NEW_LOW,15,False,CONT,85,-12.75
2024_03_27,1711549910,11322,1,18429.5,18412.0,17.5,18429.5,17.5,2.25,0,631.8333333333334,NEW_LOW,5,False,AGAINST,90,6.0
2024_04_05,1712326850,11564,3,18229.5,18220.0,9.5,18250.75,30.75,4.25,5,620.8333333333334,NEW_LOW,10,False,CONT,175,46.25
2024_04_11,1712855360,13338,1,18378.75,18368.25,10.5,18378.75,10.5,5.75,5,789.3333333333334,STAIR_BREAK,60,True,AGAINST,80,33.0
2024_04_19,1713536560,11719,1,17402.25,17390.0,12.25,17402.25,12.25,4.0,0,622.6666666666666,NEW_LOW,5,False,CONT,10,9.75
2024_05_02,1714673470,14100,1,17634.0,17621.75,12.25,17634.0,12.25,2.25,5,851.1666666666666,NEW_LOW,40,False,CONT,375,18.75
2024_05_15,1715785510,11290,1,18581.25,18572.75,8.5,18581.25,8.5,3.25,10,665.1666666666666,STAIR_BREAK,145,True,AGAINST,155,20.0
2024_05_23,1716482415,13049,2,18926.5,18913.0,13.5,18927.0,14.0,2.25,15,760.25,NEW_LOW,60,False,CONT,175,-81.5
2024_06_04,1717510015,10896,4,18606.25,18590.5,15.75,18655.75,65.25,6.0,5,606.9166666666666,STAIR_BREAK,20,False,AGAINST,20,17.0
2024_06_17,1718646930,12445,1,20235.75,20225.5,10.25,20235.75,10.25,4.25,0,835.5,NEW_LOW,20,False,AGAINST,315,2.25
2024_06_25,1719323070,10755,1,19839.75,19829.5,10.25,19839.75,10.25,2.25,5,584.5,NEW_LOW,5,False,CONT,30,57.75
2024_07_01,1719840970,10924,2,19958.75,19945.0,13.75,19983.0,38.0,2.5,10,576.1666666666666,NEW_LOW,5,False,AGAINST,125,-29.25
2024_07_11,1720713045,11578,1,20527.25,20511.5,15.75,20527.25,15.75,2.25,0,710.75,NEW_LOW,10,False,CONT,35,-31.75
2024_07_17,1721238475,13829,1,20055.75,20042.5,13.25,20055.75,13.25,3.25,10,827.9166666666666,NEW_LOW,95,False,CONT,180,13.75
2024_07_23,1721750495,12680,4,20036.5,20012.75,23.75,20060.5,47.75,2.0,5,721.5833333333334,NEW_LOW,5,False,AGAINST,410,-51.75
2024_07_29,1722276175,14176,4,19246.0,19230.25,15.75,19280.75,50.5,2.5,0,842.9166666666666,NEW_LOW,30,False,AGAINST,165,-34.0
2024_08_02,1722623305,14730,1,18546.5,18524.5,22.0,18546.5,22.0,5.0,0,868.4166666666666,NEW_LOW,10,False,AGAINST,60,-16.25
2024_08_08,1723141555,14698,3,18552.0,18539.25,12.75,18553.25,14.0,2.5,5,865.9166666666666,NEW_LOW,5,False,CONT,55,-33.0
2024_08_20,1724178400,14251,1,19866.75,19857.25,9.5,19866.75,9.5,2.25,0,866.6666666666666,NEW_LOW,85,False,CONT,140,-9.25
2024_08_27,1724781750,14019,2,19690.75,19678.75,12.0,19690.5,11.75,2.75,5,842.5,NEW_LOW,175,False,CONT,535,-25.75
2024_08_30,1725025100,10884,2,19559.0,19541.0,18.0,19560.75,19.75,3.5,0,578.3333333333334,NEW_LOW,5,False,CONT,95,48.75
2024_09_04,1725475815,14953,1,18972.75,18956.5,16.25,18972.75,16.25,3.25,10,890.25,NEW_LOW,55,False,CONT,75,-33.25
2024_09_18,1726685965,13989,4,19768.75,19753.0,15.75,19821.75,68.75,4.0,0,899.4166666666666,NEW_LOW,5,False,CONT,10,-34.75
2024_09_24,1727201335,14191,3,20174.25,20162.5,11.75,20182.75,20.25,2.0,0,848.9166666666666,NEW_LOW,5,False,CONT,285,-16.5
2024_10_01,1727806540,14363,1,20051.5,20040.0,11.5,20051.5,11.5,2.75,5,855.6666666666666,STAIR_BREAK,35,False,AGAINST,35,15.25
2024_10_09,1728480900,10851,1,20272.5,20247.0,25.5,20272.5,25.5,3.5,0,575.0,NEW_LOW,10,False,AGAINST,75,28.75
2024_10_21,1729537065,14706,5,20466.25,20456.0,10.25,20494.0,38.0,3.75,5,897.75,NEW_LOW,95,False,CONT,395,17.5
2024_10_29,1730215995,12306,5,20606.75,20592.5,14.25,20606.0,13.5,2.25,0,693.25,NEW_LOW,80,False,CONT,125,31.25
2024_11_06,1730921890,14846,2,20890.25,20880.0,10.25,20893.75,13.75,3.5,5,878.1666666666666,NEW_LOW,65,False,CONT,180,17.5
2024_11_13,1731517210,12724,1,21173.75,21157.75,16.0,21173.75,16.0,2.5,0,720.1666666666666,STAIR_BREAK,190,True,AGAINST,170,23.25
2024_11_21,1732204650,12106,1,20699.75,20688.5,11.25,20699.75,11.25,6.0,5,657.5,STAIR_BREAK,20,True,AGAINST,55,54.25
2024_12_09,1733756015,10790,2,21635.0,21625.25,9.75,21646.75,21.5,2.5,5,593.5833333333334,STAIR_BREAK,50,False,AGAINST,55,-22.0
2024_12_30,1735578265,12754,1,21490.0,21479.5,10.5,21490.0,10.5,4.0,0,724.4166666666666,NEW_LOW,15,False,CONT,20,34.75
2025_01_08,1736350705,9849,1,21364.25,21348.25,16.0,21364.25,16.0,2.75,0,638.4166666666666,NEW_LOW,10,False,CONT,55,-35.75
2025_01_22,1737567525,10956,4,22073.0,22060.0,13.0,22091.75,31.75,2.0,0,758.75,NEW_LOW,135,False,CONT,300,-10.75
2025_01_29,1738181865,12622,2,21478.5,21465.25,13.25,21518.75,53.5,2.5,0,917.75,NEW_LOW,5,False,AGAINST,25,44.0
2025_02_06,1738866015,11494,1,21829.5,21818.5,11.0,21829.5,11.0,3.25,0,800.25,NEW_LOW,15,False,AGAINST,275,5.5
2025_02_12,1739391200,12131,4,21831.0,21822.5,8.5,21836.75,14.25,2.0,10,913.3333333333334,NEW_LOW,5,False,CONT,985,-29.25
2025_02_21,1740164150,11312,6,21794.75,21785.25,9.5,21848.75,63.5,3.5,0,835.8333333333334,NEW_LOW,10,False,CONT,80,-78.75
2025_02_27,1740685295,13153,3,20827.25,20804.25,23.0,20849.25,45.0,3.25,0,881.5833333333334,NEW_LOW,60,False,AGAINST,35,-43.5
2025_03_04,1741112560,12504,4,20427.0,20403.0,24.0,20445.0,42.0,2.5,0,802.6666666666666,NEW_LOW,5,False,CONT,40,71.5
2025_03_06,1741274185,9498,1,20426.5,20415.0,11.5,20426.5,11.5,3.0,0,616.4166666666666,NEW_LOW,10,False,CONT,25,74.75
2025_03_10,1741619445,10071,2,19607.25,19591.0,16.25,19613.75,22.75,4.25,0,670.75,NEW_LOW,25,False,CONT,50,60.5
2025_03_12,1741804070,11947,1,19625.25,19614.75,10.5,19625.25,10.5,9.0,5,867.8333333333334,STAIR_BREAK,15,True,AGAINST,25,58.0
2025_03_17,1742239510,12167,2,19922.5,19913.0,9.5,19925.0,12.0,2.0,0,925.1666666666666,NEW_LOW,25,False,CONT,90,-65.75
2025_03_19,1742407540,9395,3,19636.25,19616.0,20.25,19660.0,44.0,5.75,0,845.6666666666666,NEW_LOW,5,False,CONT,25,109.0
2025_04_04,1743776665,10050,3,18000.75,17968.75,32.0,18061.25,92.5,2.25,0,624.4166666666666,NEW_LOW,5,False,AGAINST,75,-151.0
2025_04_09,1744219020,12339,1,17645.75,17625.5,20.25,17645.75,20.25,2.5,0,797.0,NEW_LOW,5,False,CONT,90,1068.75
2025_04_14,1744641965,9873,2,19154.0,19138.75,15.25,19162.75,24.0,8.5,5,646.0833333333334,STAIR_BREAK,5,False,AGAINST,15,-107.75
2025_04_21,1745247410,9212,1,17934.0,17923.0,11.0,17934.0,11.0,3.0,0,656.8333333333334,NEW_LOW,15,False,CONT,75,-50.75
2025_04_24,1745513430,11379,1,19245.5,19232.25,13.25,19245.5,13.25,4.0,0,770.5,NEW_LOW,20,False,AGAINST,275,-26.0
2025_04_29,1745938305,9484,1,19557.0,19543.0,14.0,19557.0,14.0,2.5,0,651.75,STAIR_BREAK,30,True,AGAINST,30,-8.5
2025_04_30,1746041385,12900,1,19500.0,19479.0,21.0,19500.0,21.0,2.0,0,929.75,NEW_LOW,5,False,AGAINST,140,186.0
2025_05_05,1746463860,10979,1,20144.5,20134.75,9.75,20144.5,9.75,2.5,0,771.0,NEW_LOW,15,False,CONT,560,-10.75
2025_05_20,1747759270,10901,1,21463.5,21453.75,9.75,21463.5,9.75,2.0,5,761.1666666666666,STAIR_BREAK,100,True,AGAINST,230,7.75
2025_05_28,1748460130,12159,2,21472.0,21457.0,15.0,21473.5,16.5,2.0,0,922.1666666666666,NEW_LOW,235,False,CONT,810,-69.75
2025_06_06,1749225985,10332,4,21813.75,21803.5,10.25,21828.0,24.5,2.0,0,726.4166666666666,STAIR_BREAK,115,True,AGAINST,120,-20.75
2025_06_13,1749831900,11089,3,21849.75,21840.5,9.25,21852.0,11.5,2.75,10,745.0,NEW_LOW,65,False,CONT,100,-17.75
2025_07_09,1752068500,7621,1,23057.0,23043.0,14.0,23057.0,14.0,2.0,5,581.6666666666666,STAIR_BREAK,40,True,AGAINST,35,50.75
2025_07_23,1753277810,8208,2,23226.0,23215.25,10.75,23236.25,21.0,5.0,0,576.8333333333334,STAIR_BREAK,5,False,AGAINST,115,-56.25
2025_08_01,1754068935,11589,1,22870.0,22859.0,11.0,22870.0,11.0,6.75,0,802.25,STAIR_BREAK,10,False,CONT,165,1.25
2025_08_06,1754499540,11055,2,23381.75,23370.25,11.5,23384.25,14.0,2.25,0,779.0,NEW_LOW,10,False,AGAINST,105,4.75
2025_08_20,1755712455,11916,1,23293.5,23281.0,12.5,23293.5,12.5,4.5,0,834.25,NEW_LOW,35,False,CONT,75,-66.25
2025_09_02,1756835375,11594,4,23222.25,23210.5,11.75,23219.5,9.0,2.0,5,829.5833333333334,STAIR_BREAK,105,False,AGAINST,110,-43.5
2025_09_08,1757339850,8058,2,23875.5,23864.75,10.75,23874.25,9.5,2.75,5,597.5,NEW_LOW,45,False,CONT,50,-12.75
2025_09_18,1758203655,4913,2,24441.5,24431.0,10.5,24451.25,20.25,2.75,0,594.25,NEW_LOW,5,False,CONT,10,80.5
2025_10_10,1760109335,9218,1,25071.75,25043.25,28.5,25071.75,28.5,15.0,5,675.5833333333334,STAIR_BREAK,5,False,AGAINST,5,-178.25
2025_10_14,1760448675,9389,1,24615.75,24590.75,25.0,24615.75,25.0,2.25,0,571.25,NEW_LOW,5,False,AGAINST,10,-11.5
2025_10_17,1760728420,13258,1,25050.5,25040.5,10.0,25050.5,10.0,4.75,5,913.6666666666666,STAIR_BREAK,35,False,CONT,175,-41.0
2025_10_27,1761574520,8929,1,25865.75,25854.5,11.25,25865.75,11.25,2.75,0,615.3333333333334,NEW_LOW,5,False,CONT,95,30.25
2025_10_31,1761929330,10806,2,25992.75,25983.5,9.25,25997.5,14.0,2.0,5,768.8333333333334,STAIR_BREAK,30,False,AGAINST,30,-68.0
