day,ts,i,is_flush,open_px,v_low,v_peak,flush_pt,rec_frac,mod,low_break,peak_reclaim,first,close_frac
2024_01_08,1704727200,980,False,16512.0,16505.25,16644.25,6.75,20.59259259259259,620.0,False,True,PEAK_RECLAIM,2.131294964028777
2024_01_16,1705418400,980,False,16916.5,16858.25,16981.75,58.25,2.1201716738197427,620.0,False,True,PEAK_RECLAIM,0.8866396761133604
2024_01_23,1706021400,950,True,17487.75,17409.25,17477.0,78.5,0.8630573248407644,590.0,False,True,PEAK_RECLAIM,1.7712177121771218
2024_01_31,1706714400,980,False,17399.75,17347.25,17394.5,52.5,0.9,620.0,True,True,LOW_BREAK,-2.306878306878307
2024_02_08,1707405600,980,False,17835.5,17807.5,17863.25,28.0,1.9910714285714286,620.0,False,True,PEAK_RECLAIM,1.0358744394618835
2024_02_15,1708010400,980,False,17888.25,17838.5,17870.75,49.75,0.6482412060301508,620.0,True,True,LOW_BREAK,2.3410852713178296
2024_02_23,1708701600,980,False,18105.75,18097.0,18145.0,8.75,5.485714285714286,620.0,True,False,LOW_BREAK,-2.3125
2024_03_01,1709306400,980,False,18096.5,18093.5,18196.75,3.0,34.416666666666664,620.0,False,True,PEAK_RECLAIM,2.3365617433414045
2024_03_08,1709911200,980,False,18318.5,18288.0,18428.0,30.5,4.590163934426229,620.0,True,True,PEAK_RECLAIM,-1.7714285714285714
2024_03_15,1710510900,955,True,18152.25,18069.75,18128.75,82.5,0.7151515151515152,595.0,True,True,LOW_BREAK,-0.19491525423728814
2024_03_25,1711376400,980,False,18458.75,18415.0,18524.0,43.75,2.4914285714285715,620.0,False,True,PEAK_RECLAIM,0.8692660550458715
2024_04_03,1712154000,980,False,18240.75,18239.0,18392.25,1.75,87.57142857142857,620.0,False,True,PEAK_RECLAIM,0.8597063621533442
2024_04_10,1712758800,980,False,18140.0,18107.25,18208.25,32.75,3.0839694656488548,620.0,False,True,PEAK_RECLAIM,0.8341584158415841
2024_04_17,1713363600,980,False,17957.25,17903.0,17918.5,54.25,0.2857142857142857,620.0,True,False,LOW_BREAK,-16.032258064516128
2024_04_25,1714054800,980,False,17354.0,17308.0,17444.0,46.0,2.9565217391304346,620.0,False,True,PEAK_RECLAIM,1.9080882352941178
2024_05_02,1714659600,980,False,17582.75,17490.0,17527.5,92.75,0.40431266846361186,620.0,True,True,LOW_BREAK,4.22
2024_05_10,1715350800,980,False,18274.25,18256.5,18348.0,17.75,5.154929577464789,620.0,True,False,LOW_BREAK,-0.0273224043715847
2024_05_17,1715955600,980,False,18651.0,18634.25,18653.5,16.75,1.1492537313432836,620.0,True,True,PEAK_RECLAIM,0.22077922077922077
2024_05_24,1716560400,980,False,18762.25,18733.25,18820.75,29.0,3.0172413793103448,620.0,False,True,PEAK_RECLAIM,1.6085714285714285
2024_05_31,1717165200,980,False,18602.0,18561.25,18593.5,40.75,0.7914110429447853,620.0,True,True,LOW_BREAK,1.1627906976744187
2024_06_10,1718029200,980,False,18988.5,18977.5,19023.5,11.0,4.181818181818182,620.0,False,True,PEAK_RECLAIM,2.9347826086956523
2024_06_17,1718634000,980,False,19958.0,19904.0,19984.0,54.0,1.4814814814814814,620.0,False,True,PEAK_RECLAIM,3.6625
2024_06_24,1719238800,980,False,19922.0,19866.75,19995.5,55.25,2.330316742081448,620.0,True,False,LOW_BREAK,-0.945631067961165
2024_07_01,1719842880,968,True,19971.0,19858.0,19932.25,113.0,0.6570796460176991,608.0,True,True,LOW_BREAK,2.5723905723905722
