day,ts,i,dir,ref_px,poke_ext,poke_depth,ref_age_s,arm_ts,kind,mod,sym_race,sym_resolve_s,race,resolve_s,exceed_ref,exceed_poke,exceed_ref_first,mfe_beyond_ref
2024_01_12,1705075740,11751,1,16973.5,16974.25,0.75,1890,1705075725,RETURN,669.0,CONT,85,RESUME,10,True,True,True,21.0
2024_01_31,1706723515,13117,1,17361.5,17362.5,1.0,1490,1706723505,RETURN,771.9166666666666,CONT,485,RESUME,340,True,True,True,41.0
2024_02_13,1707835340,10290,-1,17638.5,17632.25,6.25,3080,1707835335,BREAKOUT,582.3333333333334,AGAINST,25,RESUME,10,True,True,True,7.25
2024_02_23,1708701730,11049,-1,18067.25,18063.75,3.5,555,1708701720,BREAKOUT,622.1666666666666,CONT,60,RESUME,5,True,True,True,107.75
2024_03_06,1709742975,12149,1,18091.0,18091.75,0.75,1830,1709742970,RETURN,696.25,CONT,390,RESUME,30,True,True,True,73.0
2024_03_12,1710258570,11610,1,18412.0,18415.5,3.5,4210,1710258565,BREAKOUT,709.5,CONT,100,RESUME,5,True,True,True,20.5
2024_03_20,1710951135,12430,-1,18268.75,18265.0,3.75,1995,1710951130,BREAKOUT,732.25,AGAINST,715,RESUME,5,True,True,True,13.5
2024_04_02,1712064680,10646,-1,18271.25,18270.5,0.75,80,1712064675,RETURN,571.3333333333334,AGAINST,35,REVERSE,35,True,True,False,61.0
2024_04_10,1712764825,11932,1,18147.0,18148.75,1.75,2490,1712764810,RETURN,720.4166666666666,CONT,190,RESUME,170,True,True,True,25.75
2024_04_29,1714410855,13496,1,17891.25,17893.75,2.5,630,1714410850,BREAKOUT,794.25,CONT,360,RESUME,125,True,True,True,40.0
2024_05_08,1715183480,11891,-1,18177.25,18176.25,1.0,1690,1715183470,RETURN,711.3333333333334,CONT,1215,RESUME,235,True,True,True,20.0
2024_05_22,1716389270,10555,1,18812.5,18813.0,0.5,4055,1716389245,RETURN,647.8333333333334,CONT,715,RESUME,455,True,True,True,25.5
2024_05_31,1717169715,12393,1,18323.75,18326.75,3.0,140,1717169705,BREAKOUT,695.25,CONT,125,RESUME,5,True,True,True,19.0
2024_06_07,1717768200,10181,1,19036.75,19039.75,3.0,1890,1717768190,BREAKOUT,590.0,CONT,85,RESUME,5,True,True,True,26.5
2024_07_05,1720187300,10231,1,20457.0,20461.5,4.5,4305,1720187295,BREAKOUT,588.3333333333334,CONT,140,RESUME,10,True,True,True,86.25
2024_07_12,1720802120,12925,1,20587.5,20591.75,4.25,865,1720802115,BREAKOUT,755.3333333333334,CONT,50,RESUME,10,True,True,True,67.5
2024_07_19,1721397540,10881,-1,19898.75,19893.5,5.25,905,1721397535,BREAKOUT,599.0,CONT,50,RESUME,5,True,True,True,113.25
2024_07_25,1721917375,11711,-1,18985.75,18985.5,0.25,105,1721917365,RETURN,622.9166666666666,AGAINST,5,REVERSE,5,False,False,False,-12.25
2024_07_26,1722002020,11268,-1,19091.25,19088.75,2.5,1135,1722002015,BREAKOUT,593.6666666666666,CONT,20,RESUME,5,True,True,True,41.75
2024_08_02,1722616060,13281,1,18599.0,18608.5,9.5,445,1722616050,BREAKOUT,747.6666666666666,AGAINST,85,RESUME,10,True,True,True,32.5
2024_08_07,1723042825,12234,1,18521.0,18526.0,5.0,245,1723042820,BREAKOUT,660.4166666666666,AGAINST,55,RESUME,5,True,True,True,25.25
