day,ts,i,dir,ref_px,poke_ext,poke_depth,ref_age_s,arm_ts,kind,mod,sym_race,sym_resolve_s,race,resolve_s,exceed_ref,exceed_poke,exceed_ref_first,mfe_beyond_ref
2024_01_05,1704475870,12414,-1,16452.0,16451.5,0.5,85,1704475865,RETURN,751.1666666666666,AGAINST,60,REVERSE,60,True,True,False,13.25
2024_01_29,1706546770,12254,1,17569.25,17570.75,1.5,5400,1706546750,RETURN,706.1666666666666,CONT,500,RESUME,165,True,True,True,37.0
2024_02_12,1707760125,11736,1,18085.5,18089.5,4.0,870,1707760095,BREAKOUT,768.75,CONT,440,RESUME,5,True,True,True,23.0
2024_02_22,1708616975,11873,-1,17905.75,17900.0,5.75,165,1708616950,BREAKOUT,649.5833333333334,AGAINST,120,RESUME,5,True,True,True,8.25
2024_03_06,1709739415,11437,-1,18034.5,18024.75,9.75,2155,1709739410,BREAKOUT,636.9166666666666,AGAINST,40,REVERSE,40,True,True,True,16.5
2024_03_11,1710165910,10643,1,18160.0,18165.0,5.0,335,1710165905,BREAKOUT,605.1666666666666,AGAINST,35,REVERSE,35,True,True,True,70.75
2024_03_15,1710521245,13071,1,18052.75,18056.5,3.75,1325,1710521235,BREAKOUT,767.4166666666666,AGAINST,55,RESUME,5,True,True,True,17.75
2024_04_01,1711998990,14884,1,18481.0,18481.75,0.75,1390,1711998975,RETURN,916.5,AGAINST,180,RESUME,45,True,True,False,31.0
2024_04_10,1712755935,10154,1,18151.25,18154.75,3.5,3465,1712755930,BREAKOUT,572.25,CONT,40,RESUME,5,True,True,True,53.5
2024_04_29,1714401340,11593,-1,17903.75,17902.0,1.75,145,1714401335,RETURN,635.6666666666666,CONT,20,RESUME,5,True,True,True,43.75
2024_05_08,1715183105,11816,-1,18177.25,18174.5,2.75,1315,1715183095,BREAKOUT,705.0833333333334,AGAINST,325,RESUME,20,True,True,True,11.5
2024_05_21,1716318830,13457,1,18779.25,18781.75,2.5,4295,1716318800,BREAKOUT,913.8333333333334,AGAINST,685,RESUME,130,True,True,True,29.0
2024_05_29,1717009650,14562,-1,18827.5,18826.0,1.5,2015,1717009645,RETURN,907.5,CONT,225,RESUME,25,True,True,True,30.0
2024_06_04,1717521055,13104,1,18608.75,18612.75,4.0,2110,1717521050,BREAKOUT,790.9166666666666,CONT,50,RESUME,5,True,True,True,36.75
2024_07_01,1719859690,14668,1,20008.5,20013.0,4.5,3585,1719859680,BREAKOUT,888.1666666666666,AGAINST,150,REVERSE,150,True,True,True,36.5
2024_07_10,1720639415,14162,-1,20860.0,20859.25,0.75,730,1720639400,RETURN,923.5833333333334,AGAINST,250,RESUME,105,False,True,False,1.25
2024_07_17,1721232120,12558,-1,20071.5,20070.75,0.75,770,1721232115,RETURN,722.0,CONT,475,RESUME,65,True,True,True,56.75
2024_07_24,1721827835,10915,1,19644.0,19646.0,2.0,195,1721827820,RETURN,570.5833333333334,CONT,45,RESUME,40,True,True,True,8.75
2024_07_25,1721934465,15129,1,19160.5,19162.0,1.5,110,1721934455,RETURN,907.75,AGAINST,20,REVERSE,20,True,True,False,81.5
2024_08_02,1722613960,12861,1,18577.5,18583.25,5.75,160,1722613950,BREAKOUT,712.6666666666666,CONT,25,RESUME,20,True,True,True,50.25
2024_08_06,1722970410,15027,1,18471.75,18475.75,4.0,1035,1722970395,BREAKOUT,893.5,AGAINST,145,RESUME,5,True,True,True,10.5
2024_08_07,1723057965,15262,-1,18112.0,18111.0,1.0,4535,1723057955,RETURN,912.75,CONT,15,RESUME,15,True,True,True,159.25
2024_08_09,1723211775,11443,1,18473.25,18478.0,4.75,1510,1723211765,BREAKOUT,596.25,AGAINST,5,REVERSE,5,True,True,False,89.75
2024_08_16,1723818320,11572,-1,19567.5,19563.25,4.25,500,1723818300,BREAKOUT,625.3333333333334,AGAINST,55,RESUME,5,True,True,True,70.5
2024_08_29,1724943890,12160,-1,19637.75,19637.25,0.5,310,1724943885,RETURN,664.8333333333334,CONT,100,RESUME,40,True,True,True,42.0
2024_09_03,1725380305,12995,-1,19188.75,19188.5,0.25,5385,1725380300,RETURN,738.4166666666666,CONT,120,RESUME,80,True,True,True,53.75
2024_09_06,1725648695,14879,1,18463.75,18467.0,3.25,2840,1725648690,BREAKOUT,891.5833333333334,AGAINST,50,REVERSE,50,True,True,False,67.75
2024_09_12,1726153420,11994,1,19307.0,19309.0,2.0,250,1726153415,RETURN,663.6666666666666,CONT,65,RESUME,50,True,True,True,80.25
2024_09_23,1727103745,11993,-1,20075.75,20075.0,0.75,1700,1727103740,RETURN,662.4166666666666,CONT,35,RESUME,35,True,True,True,24.5
2024_10_04,1728053340,11911,1,20088.5,20094.75,6.25,2865,1728053330,BREAKOUT,649.0,CONT,125,RESUME,30,True,True,True,69.5
2024_10_08,1728407040,13542,-1,20216.25,20214.25,2.0,895,1728407035,RETURN,784.0,CONT,60,RESUME,50,True,True,True,48.25
2024_10_22,1729609610,12024,1,20500.0,20501.75,1.75,1655,1729609595,RETURN,666.8333333333334,AGAINST,165,RESUME,30,True,True,True,2.75
2024_10_24,1729796890,14866,1,20363.25,20365.75,2.5,3685,1729796880,BREAKOUT,908.1666666666666,CONT,185,RESUME,10,True,True,True,42.75
2024_10_30,1730311605,14262,1,20595.25,20600.5,5.25,795,1730311590,BREAKOUT,846.75,CONT,70,RESUME,20,True,True,True,26.5
2024_11_05,1730820090,11442,1,20283.0,20284.5,1.5,320,1730820080,RETURN,621.5,CONT,90,RESUME,25,True,True,True,25.25
2024_11_07,1731001095,13216,1,21185.0,21186.25,1.25,940,1731001085,RETURN,758.25,CONT,570,RESUME,15,True,True,True,11.25
2024_11_12,1731424330,11438,1,21232.5,21233.25,0.75,4805,1731424320,RETURN,612.1666666666666,AGAINST,65,REVERSE,65,True,True,False,2.25
2024_11_21,1732208625,12901,-1,20726.75,20726.5,0.25,3760,1732208620,RETURN,723.75,CONT,15,RESUME,5,True,True,True,27.25
2024_12_03,1733254400,14092,1,21240.0,21242.25,2.25,2280,1733254395,BREAKOUT,873.3333333333334,CONT,1085,RESUME,5,True,True,True,21.5
2024_12_17,1734466660,14296,-1,22275.0,22271.5,3.5,1425,1734466625,BREAKOUT,917.6666666666666,CONT,330,RESUME,180,True,True,True,21.25
2024_12_23,1734974075,13052,-1,21673.0,21670.25,2.75,1160,1734974070,BREAKOUT,734.5833333333334,CONT,95,RESUME,35,True,True,True,29.25
2025_01_02,1735842980,12539,1,21025.0,21029.75,4.75,2840,1735842970,BREAKOUT,816.3333333333334,CONT,30,RESUME,5,True,True,True,78.25
2025_01_08,1736361580,12024,1,21385.75,21389.0,3.25,765,1736361560,BREAKOUT,819.6666666666666,AGAINST,55,REVERSE,55,True,True,True,13.25
2025_01_13,1736784875,10629,1,20766.0,20769.25,3.25,2515,1736784870,BREAKOUT,674.5833333333334,AGAINST,180,RESUME,45,True,True,True,58.25
2025_01_16,1737040265,9591,-1,21394.0,21392.75,1.25,1055,1737040260,RETURN,611.0833333333334,CONT,50,RESUME,50,True,True,True,53.75
2025_01_23,1737660235,12056,1,21939.0,21939.5,0.5,5390,1737660230,RETURN,863.9166666666666,CONT,185,RESUME,65,True,True,True,24.0
2025_02_03,1738595435,10527,-1,21171.75,21170.0,1.75,265,1738595430,RETURN,610.5833333333334,CONT,20,RESUME,5,True,True,True,58.25
2025_02_05,1738778270,11826,-1,21701.5,21700.75,0.75,2195,1738778265,RETURN,777.8333333333334,AGAINST,225,REVERSE,225,True,True,False,26.5
2025_02_13,1739469635,11351,-1,21952.0,21948.5,3.5,1805,1739469630,BREAKOUT,780.5833333333334,AGAINST,40,REVERSE,40,True,True,False,59.0
2025_02_25,1740512710,12977,-1,21199.25,21191.0,8.25,2830,1740512705,BREAKOUT,885.1666666666666,CONT,20,RESUME,5,True,True,True,29.0
2025_03_05,1741187975,10253,-1,20372.5,20371.75,0.75,1695,1741187970,RETURN,619.5833333333334,AGAINST,35,RESUME,10,True,True,True,62.5
2025_03_10,1741634325,13047,1,19367.0,19368.75,1.75,1390,1741634320,RETURN,918.75,CONT,15,RESUME,10,True,True,True,181.25
2025_03_17,1742229920,10249,-1,19662.25,19661.5,0.75,1030,1742229915,RETURN,765.3333333333334,AGAINST,115,RESUME,30,True,True,True,7.5
