**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

signal,z_bucket,horizon_min,n,hit_rate,mean_ticks,median_ticks,mean_dollars,pf_wr,q25_ticks,q75_ticks
cusp,"[0.8,1.2)",5,17378,0.4918287489929796,0.03826677408217286,0.0,0.01913338704108643,0.0019607496255411583,-22.0,22.0
cusp,"[1.2,1.5)",5,14388,0.49277175423964414,-0.017653600222407563,0.0,-0.008826800111203782,-0.0008693182012642353,-23.0,23.0
cusp,"[1.5,1.8)",5,13090,0.49442322383498855,0.5093964858670741,0.0,0.25469824293353704,0.024921792365738993,-23.0,24.0
cusp,"[1.8,2.2)",5,11775,0.49418259023354566,0.09061571125265393,0.0,0.045307855626326964,0.004376232994417917,-24.0,24.0
cusp,"[2.2,2.8)",5,5940,0.49882154882154883,-0.46784511784511784,0.0,-0.23392255892255892,-0.021864157415639296,-24.0,24.0
cusp,"[2.8,3.5)",5,414,0.5096618357487923,-3.746376811594203,1.0,-1.8731884057971016,-0.10911009497010205,-31.75,36.75
cusp,oob,5,13601,0.48665539298580984,-0.31990294831262406,0.0,-0.15995147415631203,-0.016387206604597915,-22.0,21.0
cusp,"[0.8,1.2)",15,17243,0.49324363509830077,-0.47897697616424056,0.0,-0.23948848808212028,-0.013913128440799727,-40.0,40.0
cusp,"[1.2,1.5)",15,14268,0.49264087468460893,-0.28952901597981495,-0.5,-0.14476450798990748,-0.008162031438935902,-40.0,40.0
cusp,"[1.5,1.8)",15,12944,0.49289245982694685,0.3617892459826947,-1.0,0.18089462299134734,0.010135464168764319,-41.0,42.0
cusp,"[1.8,2.2)",15,11667,0.49815719550869975,-1.1596811519670867,0.0,-0.5798405759835433,-0.031235210601041175,-40.5,42.0
cusp,"[2.2,2.8)",15,5891,0.5082328976404685,-0.832795790188423,2.0,-0.4163978950942115,-0.022734645078176463,-41.0,42.0
cusp,"[2.8,3.5)",15,406,0.4975369458128079,-10.623152709359607,-0.5,-5.311576354679803,-0.18060382731041413,-48.0,52.5
cusp,oob,15,13487,0.493438125602432,0.5486765032994736,0.0,0.2743382516497368,0.016019396458414548,-39.0,39.0
cusp,"[0.8,1.2)",30,17011,0.5014402445476457,0.1945211921697725,1.0,0.09726059608488626,0.003968568077313384,-57.0,57.0
cusp,"[1.2,1.5)",30,14084,0.48956262425447317,0.37326043737574555,-1.0,0.18663021868787277,0.007418560937473506,-57.0,56.0
cusp,"[1.5,1.8)",30,12786,0.49749726263100263,1.1953699358673548,0.0,0.5976849679336774,0.02354862566251703,-58.0,59.0
cusp,"[1.8,2.2)",30,11512,0.5003474635163307,-0.5350938151494093,1.0,-0.2675469075747047,-0.01023948084502313,-60.0,60.0
cusp,"[2.2,2.8)",30,5812,0.49673090158293187,-4.878183069511356,0.0,-2.439091534755678,-0.09095283618095606,-56.0,58.0
