**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

signal,z_bucket,horizon_min,n,hit_rate,mean_ticks,median_ticks,mean_dollars,pf_wr,q25_ticks,q75_ticks
cusp,"[0.8,1.2)",5,5025,0.4925373134328358,-0.9699502487562189,-1.0,-0.48497512437810947,-0.03933119220154613,-32.0,31.0
cusp,"[1.2,1.5)",5,4042,0.4821870361207323,-1.892380009896091,-1.0,-0.9461900049480455,-0.07439937749246184,-34.0,30.0
cusp,"[1.5,1.8)",5,3768,0.5055732484076433,1.4063163481953291,1.0,0.7031581740976646,0.05966804792361047,-30.0,33.0
cusp,"[1.8,2.2)",5,3519,0.49730036942313155,-0.6240409207161125,0.0,-0.31202046035805625,-0.024018900118125686,-33.0,32.0
cusp,"[2.2,2.8)",5,1576,0.5050761421319797,1.1681472081218274,1.0,0.5840736040609137,0.0479239880255109,-30.0,32.0
cusp,"[2.8,3.5)",5,102,0.5392156862745098,8.892156862745098,2.5,4.446078431372549,0.2695393759286775,-56.5,57.5
cusp,oob,5,3830,0.49634464751958224,-0.1409921671018277,0.0,-0.07049608355091384,-0.0057102371863334556,-31.0,32.0
cusp,"[0.8,1.2)",15,4983,0.4998996588400562,-2.3778848083483846,0.0,-1.1889424041741923,-0.05501030659807982,-56.5,52.0
cusp,"[1.2,1.5)",15,4011,0.4923959112440788,2.055846422338569,-1.0,1.0279232111692844,0.04977544910179632,-55.0,54.0
cusp,"[1.5,1.8)",15,3730,0.5048257372654156,0.5509383378016086,1.0,0.2754691689008043,0.013388407137877811,-52.0,56.0
cusp,"[1.8,2.2)",15,3485,0.48579626972740314,-3.5563845050215206,-2.0,-1.7781922525107603,-0.07756090539872462,-60.0,53.0
cusp,"[2.2,2.8)",15,1561,0.5118513773222293,2.4951953875720694,2.0,1.2475976937860347,0.05720202079539449,-57.0,60.0
cusp,"[2.8,3.5)",15,101,0.44554455445544555,7.742574257425742,-7.0,3.871287128712871,0.1324077209617338,-66.0,63.0
