,counter,skip_T0.5,skip_T1.0,adaptive_T0.5,adaptive_T1.0,stay_T0.5,stay_T1.0,BEST_MODE,BEST_PNL
UP,3137.999999999999,2834.3,7833.6,5.99999999999892,2831.999999999999,2494.6000000000004,7849.2,stay_T1.0,7849.2
DOWN,-1637.1000000000015,4018.7000000000003,5847.1,5320.899999999999,8769.899999999998,5024.3,6346.7,adaptive_T1.0,8769.899999999998
CHOP,-14902.200000000006,-12834.100000000002,-13672.000000000002,-15329.200000000006,-14184.200000000006,-12878.600000000002,-13498.100000000002,skip_T0.5,-12834.100000000002
QUIET,-4046.600000000001,-2910.5000000000005,-2686.9000000000005,-3387.600000000001,-2240.600000000001,-2468.4000000000005,-2730.4000000000005,adaptive_T1.0,-2240.600000000001
TRANSITIONAL,1058.5999999999972,-770.7000000000018,1461.4999999999982,-5899.400000000003,-2974.400000000003,386.9999999999989,1937.2999999999981,stay_T1.0,1937.2999999999981
UNKNOWN,1168.5,474.99999999999994,-102.70000000000005,185.49999999999994,-383.50000000000006,472.1,-108.50000000000006,counter,1168.5
ALL,-15220.799999999985,-9187.299999999987,-1319.3999999999878,-19103.79999999999,-8180.7999999999865,-6968.999999999991,-203.79999999998654,stay_T1.0,-203.79999999998654
