parent_tf,child_tf,parent_segments,child_peaks_total,child_per_parent_mean,child_per_parent_median,child_per_parent_max,n_empty_parents
1W,1D,19,81,4.2631578947368425,3.0,22,0
1W,4h,19,423,22.263157894736842,17.0,124,0
1W,1h,19,584,30.736842105263158,22.0,175,0
1W,15m,19,2948,155.1578947368421,105.0,891,0
1D,4h,77,448,5.818181818181818,5.0,23,0
1D,1h,77,614,7.974025974025974,6.0,33,0
1D,15m,77,3065,39.8051948051948,28.0,177,0
4h,1h,436,667,1.5298165137614679,1.0,7,29
4h,15m,436,3144,7.2110091743119265,6.0,34,0
1h,15m,609,3156,5.182266009852217,4.0,24,6
