regime,n,wr,pnl_total,pnl_mean,mfe_mean,bars_held_mean,mode_tag
CHOP,2438,35.64397046759639,-14902.200000000006,-6.112469237079576,100.39048400328137,53.091878589007386,counter
DOWN,884,35.52036199095023,-1637.1000000000015,-1.8519230769230786,107.60576923076923,36.9027149321267,counter
QUIET,269,33.08550185873606,-4046.600000000001,-15.043122676579928,80.29368029739777,93.58364312267658,counter
TRANSITIONAL,1451,36.04410751206065,1058.5999999999972,0.729565816678151,105.210544452102,59.650585802894554,counter
UNKNOWN,45,42.22222222222222,1168.5,25.966666666666665,128.0888888888889,74.28888888888889,counter
UP,730,40.136986301369866,3137.999999999999,4.2986301369863,121.52602739726028,49.23013698630137,counter
CHOP,1484,40.8355795148248,-12834.100000000002,-8.648315363881403,102.76246630727763,86.1455525606469,skip_T0.5
DOWN,482,44.81327800829876,4018.7000000000003,8.337551867219917,125.81742738589212,66.01659751037344,skip_T0.5
QUIET,200,32.5,-2910.5000000000005,-14.552500000000002,80.6525,118.245,skip_T0.5
TRANSITIONAL,928,38.03879310344828,-770.7000000000018,-0.8304956896551743,109.97521551724138,92.07435344827586,skip_T0.5
UNKNOWN,30,40.0,474.99999999999994,15.833333333333332,124.63333333333334,111.43333333333334,skip_T0.5
UP,438,44.29223744292237,2834.3,6.471004566210046,131.95319634703196,81.10045662100457,skip_T0.5
CHOP,1665,39.15915915915916,-13672.000000000002,-8.211411411411412,101.84444444444445,77.36816816816817,skip_T1.0
DOWN,556,42.805755395683455,5847.1,10.51636690647482,120.81384892086331,58.00179856115108,skip_T1.0
QUIET,221,33.4841628959276,-2686.9000000000005,-12.157918552036202,81.40497737556561,114.52488687782805,skip_T1.0
TRANSITIONAL,1040,37.69230769230769,1461.4999999999982,1.4052884615384598,108.24615384615385,82.66826923076923,skip_T1.0
UNKNOWN,33,36.36363636363637,-102.70000000000005,-3.1121212121212136,114.42424242424242,101.3030303030303,skip_T1.0
UP,486,45.67901234567901,7833.6,16.11851851851852,131.05349794238683,73.69753086419753,skip_T1.0
CHOP,2438,45.69319114027891,-15329.200000000006,-6.2876127973749,80.63269073010665,53.091878589007386,adaptive_T0.5
DOWN,884,50.452488687782804,5320.899999999999,6.019117647058822,88.59332579185521,36.9027149321267,adaptive_T0.5
QUIET,269,37.174721189591075,-3387.600000000001,-12.593308550185876,67.864312267658,93.58364312267658,adaptive_T0.5
TRANSITIONAL,1451,44.45210199862164,-5899.400000000003,-4.065747760165405,83.64576154376292,59.650585802894554,adaptive_T0.5
UNKNOWN,45,48.888888888888886,185.49999999999994,4.122222222222221,97.66666666666667,74.28888888888889,adaptive_T0.5
UP,730,46.849315068493155,5.99999999999892,0.008219178082190302,95.6417808219178,49.23013698630137,adaptive_T0.5
CHOP,2438,44.21657095980312,-14184.200000000006,-5.817965545529125,84.57321575061526,53.091878589007386,adaptive_T1.0
DOWN,884,48.98190045248869,8769.899999999998,9.920701357466061,95.20757918552036,36.9027149321267,adaptive_T1.0
QUIET,269,37.54646840148699,-2240.600000000001,-8.32936802973978,74.3996282527881,93.58364312267658,adaptive_T1.0
TRANSITIONAL,1451,43.00482425913164,-2974.400000000003,-2.04989662301861,88.52343211578221,59.650585802894554,adaptive_T1.0
UNKNOWN,45,42.22222222222222,-383.50000000000006,-8.522222222222224,92.2,74.28888888888889,adaptive_T1.0
UP,730,46.986301369863014,2831.999999999999,3.8794520547945193,101.76095890410959,49.23013698630137,adaptive_T1.0
CHOP,1469,36.691626957113684,-12878.600000000002,-8.766916269571139,110.88359428182437,88.29816201497617,stay_T0.5
DOWN,458,37.117903930131,5024.3,10.970087336244541,136.53056768558952,71.01091703056768,stay_T0.5
QUIET,216,33.7962962962963,-2468.4000000000005,-11.42777777777778,81.26851851851852,116.83796296296296,stay_T0.5
TRANSITIONAL,960,36.770833333333336,386.9999999999989,0.4031249999999989,115.50677083333333,90.33854166666667,stay_T0.5
UNKNOWN,31,38.70967741935484,472.1,15.229032258064517,131.66129032258064,107.83870967741936,stay_T0.5
UP,401,37.905236907730675,2494.6000000000004,6.220947630922694,143.8865336658354,88.60349127182045,stay_T0.5
CHOP,1664,36.71875,-13498.100000000002,-8.111838942307694,106.90865384615384,77.9501201923077,stay_T1.0
DOWN,532,39.285714285714285,6346.7,11.929887218045112,129.86466165413535,61.17669172932331,stay_T1.0
QUIET,226,32.743362831858406,-2730.4000000000005,-12.081415929203542,81.45132743362832,111.61946902654867,stay_T1.0
TRANSITIONAL,1053,36.65716999050333,1937.2999999999981,1.8397910731244047,113.08072174738841,82.11111111111111,stay_T1.0
UNKNOWN,35,34.285714285714285,-108.50000000000006,-3.1000000000000014,117.84285714285714,95.51428571428572,stay_T1.0
UP,427,41.21779859484778,7849.2,18.382201405152223,146.55737704918033,83.79625292740047,stay_T1.0
