regime,side,n,wr,pnl_total,pnl_mean,mode_tag
CHOP,Long,1219,36.17719442165709,-8426.600000000002,-6.912715340442988,counter
CHOP,Short,1219,35.11074651353569,-6475.600000000002,-5.312223133716163,counter
DOWN,Long,437,24.94279176201373,-16277.800000000001,-37.24897025171625,counter
DOWN,Short,447,45.86129753914989,14640.699999999999,32.75324384787472,counter
QUIET,Long,138,34.05797101449276,-913.2000000000003,-6.617391304347828,counter
QUIET,Short,131,32.06106870229007,-3133.4000000000005,-23.919083969465653,counter
TRANSITIONAL,Long,719,37.83031988873435,4951.399999999999,6.886509040333795,counter
TRANSITIONAL,Short,732,34.2896174863388,-3892.8000000000015,-5.318032786885248,counter
UNKNOWN,Long,23,52.17391304347826,1015.8,44.165217391304346,counter
UNKNOWN,Short,22,31.818181818181817,152.7,6.9409090909090905,counter
UP,Long,370,50.27027027027027,15720.5,42.48783783783784,counter
UP,Short,360,29.72222222222222,-12582.500000000002,-34.95138888888889,counter
CHOP,Long,673,39.9702823179792,-6725.700000000001,-9.99361069836553,skip_T0.5
CHOP,Short,811,41.55363748458693,-6108.400000000001,-7.5319358816276205,skip_T0.5
DOWN,Long,182,25.82417582417583,-12537.8,-68.88901098901098,skip_T0.5
DOWN,Short,300,56.333333333333336,16556.5,55.18833333333333,skip_T0.5
QUIET,Long,102,35.294117647058826,-696.8000000000003,-6.831372549019611,skip_T0.5
QUIET,Short,98,29.591836734693878,-2213.7000000000003,-22.588775510204083,skip_T0.5
TRANSITIONAL,Long,423,41.13475177304964,3547.2999999999997,8.386052009456264,skip_T0.5
TRANSITIONAL,Short,505,35.445544554455445,-4318.000000000001,-8.550495049504953,skip_T0.5
UNKNOWN,Long,15,53.333333333333336,670.5,44.7,skip_T0.5
UNKNOWN,Short,15,26.666666666666668,-195.5,-13.033333333333333,skip_T0.5
UP,Long,241,59.75103734439834,15234.6,63.21410788381743,skip_T0.5
UP,Short,197,25.380710659898476,-12400.300000000001,-62.94568527918782,skip_T0.5
CHOP,Long,784,38.52040816326531,-7419.600000000001,-9.463775510204083,skip_T1.0
CHOP,Short,881,39.727582292849036,-6252.400000000001,-7.096935300794552,skip_T1.0
DOWN,Long,218,25.229357798165136,-12045.2,-55.253211009174315,skip_T1.0
DOWN,Short,338,54.142011834319526,17892.3,52.935798816568045,skip_T1.0
QUIET,Long,111,35.13513513513514,-262.40000000000015,-2.363963963963965,skip_T1.0
