,counter,skip_T0.5,skip_T1.0,adaptive_T0.5,adaptive_T1.0,stay_T0.5,stay_T1.0
UP,730.0,438.0,486.0,730.0,730.0,401.0,427.0
DOWN,884.0,482.0,556.0,884.0,884.0,458.0,532.0
CHOP,2438.0,1484.0,1665.0,2438.0,2438.0,1469.0,1664.0
QUIET,269.0,200.0,221.0,269.0,269.0,216.0,226.0
TRANSITIONAL,1451.0,928.0,1040.0,1451.0,1451.0,960.0,1053.0
UNKNOWN,45.0,30.0,33.0,45.0,45.0,31.0,35.0
ALL,5817.0,3562.0,4001.0,5817.0,5817.0,3535.0,3937.0
