parent_tf,child_tf,n_segments,n_agree,pct_agree
1W,1D,15,11,73.33333333333333
1W,4h,19,14,73.6842105263158
1W,1h,19,18,94.73684210526316
1W,15m,19,19,100.0
1D,4h,72,53,73.61111111111111
1D,1h,74,52,70.27027027027027
1D,15m,77,60,77.92207792207792
4h,1h,160,128,80.0
4h,15m,417,296,70.9832134292566
1h,15m,552,481,87.1376811594203
