,counter,skip_T0.5,skip_T1.0,adaptive_T0.5,adaptive_T1.0,stay_T0.5,stay_T1.0
UP,40.136986301369866,44.29223744292237,45.67901234567901,46.849315068493155,46.986301369863014,37.905236907730675,41.21779859484778
DOWN,35.52036199095023,44.81327800829876,42.805755395683455,50.452488687782804,48.98190045248869,37.117903930131,39.285714285714285
CHOP,35.64397046759639,40.8355795148248,39.15915915915916,45.69319114027891,44.21657095980312,36.691626957113684,36.71875
QUIET,33.08550185873606,32.5,33.4841628959276,37.174721189591075,37.54646840148699,33.7962962962963,32.743362831858406
TRANSITIONAL,36.04410751206065,38.03879310344828,37.69230769230769,44.45210199862164,43.00482425913164,36.770833333333336,36.65716999050333
UNKNOWN,42.22222222222222,40.0,36.36363636363637,48.888888888888886,42.22222222222222,38.70967741935484,34.285714285714285
ALL,36.22141997593261,40.59517125210556,39.74006498375406,45.882757435104004,44.66219700876741,36.74681753889675,37.28727457454915
