ts,5m_vel_w,15m_vel_w,1h_vel_w,4h_vel_w,1D_vel_w,1h_mean_slope,4h_mean_slope,1h_vwap_slope,4h_vwap_slope,1h_z_se,4h_z_se
1770854400,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854405,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854410,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854415,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854420,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854425,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854430,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854435,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854440,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854445,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854450,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854455,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854460,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854465,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854470,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854475,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854480,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854485,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854490,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854495,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854500,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854505,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854510,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854515,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
1770854520,-2.0,-6.166666666666667,2.2916666666666665,7.069444444444445,180.0,,,,,-0.48531517827219894,-0.7833414165502846
