dr,entry,pts,mfe,secs,ts,fakeout
long,19690.25,-10.89,4.75,103,1726496095,False
short,19684.0,13.11,19.5,80,1726496175,False
short,19663.5,14.11,26.5,50,1726496413,False
short,19652.75,-10.89,123.5,12509,1726496615,False
short,19651.25,11.11,17.75,50,1726496610,False
short,19621.0,12.61,20.25,85,1726496843,False
long,19611.0,-10.89,11.5,161,1726496874,False
short,19597.75,1.11,4.25,12,1726497031,False
short,19595.5,1.11,9.5,29,1726497040,False
short,19588.5,-0.39,11.5,76,1726497050,False
short,19587.0,3.36,4.5,36,1726497052,False
long,19588.0,-10.89,1.75,51,1726497126,True
long,19578.5,0.36,4.25,3,1726497095,False
long,19581.25,1.11,2.0,1,1726497443,False
long,19582.25,-10.89,1.75,169,1726497452,True
