eid,frame_idx,p_exit,prompt_tokens,tainted
2025_01_21_1737469980_S,0,0.027748,5698,N
2025_01_21_1737469980_S,1,0.086081,7862,N
2025_01_21_1737469980_S,2,NaN,10023,Y
2025_01_21_1737471780_S,0,0.009928,5722,N
2025_01_21_1737471780_S,1,0.062655,7889,N
2025_01_21_1737471780_S,2,NaN,10042,Y
2025_01_21_1737475200_L,0,0.014138,5698,N
2025_01_21_1737475200_L,1,NaN,10675,Y
2025_01_21_1737489845_L,0,0.017965,5682,N
2025_01_21_1737489845_L,1,NaN,8504,Y
2025_01_23_1737653440_S,0,0.026584,5672,N
2025_01_23_1737653440_S,1,0.000415,7807,N
2025_01_23_1737653440_S,2,NaN,9977,Y
2025_01_23_1737654625_L,0,0.007452,5683,N
2025_01_23_1737654625_L,1,0.000022,7822,N
2025_01_23_1737654625_L,2,NaN,9996,Y
2025_01_31_1738334640_L,0,0.029390,5687,N
2025_01_31_1738334640_L,1,0.266070,7863,N
2025_01_31_1738334640_L,2,NaN,11434,Y
2025_01_31_1738341540_S,0,0.015312,5703,N
2025_01_31_1738341540_S,1,0.000047,7867,N
2025_01_31_1738341540_S,2,NaN,10714,Y
2025_01_31_1738347470_S,0,0.003587,5652,N
2025_01_31_1738347470_S,1,0.604533,7792,N
2025_01_31_1738347470_S,2,NaN,9964,Y
2025_01_31_1738349565_S,0,0.022593,5705,N
2025_01_31_1738349565_S,1,0.302647,7874,N
2025_01_31_1738349565_S,2,NaN,10042,Y
2025_01_31_1738349820_S,0,0.023225,5718,N
2025_01_31_1738349820_S,1,0.051084,7867,N
2025_01_31_1738349820_S,2,NaN,10013,Y
2025_01_31_1738350360_S,0,0.056227,5715,N
2025_01_31_1738350360_S,1,0.000198,7884,N
2025_01_31_1738350360_S,2,NaN,10066,Y
2025_01_31_1738352560_S,0,0.046948,5747,N
2025_01_31_1738352560_S,1,0.000092,7909,N
2025_01_31_1738352560_S,2,NaN,10073,Y
2025_01_31_1738353960_S,0,0.062145,5730,N
2025_01_31_1738353960_S,1,0.034202,7895,N
2025_01_31_1738353960_S,2,NaN,10069,Y
2025_01_31_1738354150_S,0,0.015582,5689,N
2025_01_31_1738354150_S,1,NaN,8540,Y
2025_01_31_1738354440_S,0,0.031385,5722,N
2025_01_31_1738354440_S,1,0.002683,7875,N
2025_01_31_1738354440_S,2,NaN,11432,Y
2025_01_31_1738355400_S,0,0.007255,5709,N
2025_01_31_1738355400_S,1,NaN,9288,Y
2025_03_13_1741873560_S,0,0.026293,5738,N
2025_03_13_1741873560_S,1,0.000113,7927,N
2025_03_13_1741873560_S,2,NaN,10110,Y
2025_03_13_1741884180_S,0,0.008514,5722,N
2025_03_13_1741884180_S,1,0.000027,7879,N
2025_03_13_1741884180_S,2,NaN,10038,Y
2025_03_13_1741885140_S,0,0.014858,5736,N
2025_03_13_1741885140_S,1,0.130548,7923,N
