timestamp,direction,entry_price,target_price,stop_price,z_score,band_touched,regime_bars,osc_coherence,term_pid,pid_class,tension_reason,oracle_label,oracle_label_name,oracle_mfe,oracle_mae,would_have_hit_target,would_have_hit_stop,theoretical_pnl
1769987385.0,LONG,25423.25,25428.820817965185,25420.488006844247,-1.008477872868838,1sig,3,0.7101046671723034,-1.1359413255228967,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1769987730.0,LONG,25448.25,25455.757098629812,25445.488006844247,-1.3590002231133522,1sig,3,0.6399431732448763,-0.6565378609285999,STABLE,,0,NOISE,0.0,0.0,False,True,-5.52
1769987745.0,LONG,25444.75,25453.936902546826,25441.988006844247,-1.6630929239793968,1sig,4,0.5687259699843493,-0.7422846992900218,TENSION,outer_roche,0,NOISE,0.0,0.0,True,False,18.37
1769987760.0,LONG,25446.5,25454.010349361983,25443.738006844247,-1.3595886988968577,1sig,5,0.5548041242311758,-0.6049720714487213,STABLE,,0,NOISE,0.0,0.0,True,False,15.02
1769987985.0,LONG,25420.75,25427.415520490802,25417.988006844247,-1.2066504359212002,1sig,3,0.6930262778902131,-1.5789581056558586,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,13.33
1769989815.0,LONG,25538.25,25544.818394134778,25535.488006844247,-1.1890677790233481,1sig,5,0.742377219213748,-1.7816212602404837,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1769990175.0,LONG,25534.0,25541.14367474875,25531.238006844247,-1.293210074375161,1sig,4,0.6497795187868362,-1.8402911058659661,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,14.29
1769990220.0,SHORT,25546.25,25540.151513707522,25549.011993155753,1.1040009783829772,1sig,7,0.5103487385171153,-0.35613538168759123,STABLE,,0,NOISE,0.0,0.0,True,False,12.2
1769990460.0,LONG,25516.5,25522.622415314865,25513.738006844247,-1.108332817934693,1sig,3,0.6237361996084227,-1.486501144545152,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1769990475.0,LONG,25507.25,25517.3247148383,25504.488006844247,-1.8238124191797067,1sig,4,0.661442536766634,-2.055002129838856,TENSION,outer_roche,0,NOISE,0.0,0.0,False,True,-5.52
1769990775.0,LONG,25497.75,25503.43556442984,25494.988006844247,-1.0292502749324377,1sig,6,0.6027218341666577,-1.7252246591777338,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,11.37
1769991495.0,LONG,25584.75,25592.926278938885,25581.988006844247,-1.4801410571663869,1sig,3,0.6453409418996713,-1.808579789546994,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,16.35
1769991900.0,LONG,25608.75,25614.92041593362,25605.988006844247,-1.117022307019021,1sig,20,0.682030418524693,-1.7301186465971496,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1769992110.0,LONG,25609.75,25616.797523715268,25606.988006844247,-1.2758039788386144,1sig,5,0.5373651360747245,-1.7767946645859003,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,14.1
1769992200.0,LONG,25607.5,25613.712286519363,25604.738006844247,-1.1246020842638247,1sig,11,0.8497958939001956,-1.6454037039448461,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1769993160.0,SHORT,25622.75,25617.165136219184,25625.511993155753,1.0110205684582145,1sig,4,0.5694737998830282,-0.3491603555822843,TENSION,coh_drop,0,NOISE,0.0,0.0,False,True,-5.52
1769993400.0,LONG,25612.0,25618.27866922251,25609.238006844247,-1.1366192579861192,1sig,5,0.6866801864114275,-1.710687025091583,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,12.56
1769993655.0,LONG,25624.75,25631.2206476936,25621.988006844247,-1.1713728689229292,1sig,5,0.7428623895497062,-1.669713978386975,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1769993670.0,LONG,25619.25,25629.310535637356,25616.488006844247,-1.8212455770214446,1sig,6,0.6184234449539411,-2.040597330130425,TENSION,outer_roche,0,NOISE,0.0,0.0,False,True,-5.52
1769993685.0,LONG,25618.75,25627.112993804974,25615.988006844247,-1.5139418045906121,1sig,7,0.6314452680190693,-1.6955101478091394,TENSION,outer_roche,0,NOISE,0.0,0.0,False,True,-5.52
1769993700.0,LONG,25616.75,25624.795584920055,25613.988006844247,-1.456481690278034,1sig,8,0.7126286865119947,-1.7167488222765013,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1769993715.0,LONG,25613.0,25621.799064184528,25610.238006844247,-1.5928830537105783,1sig,9,0.8095825976310419,-1.823721799541798,TENSION,outer_roche,0,NOISE,0.0,0.0,False,True,-5.52
1769993730.0,LONG,25612.5,25619.47740066519,25609.738006844247,-1.263109695014446,1sig,10,0.8309007654937649,-1.5656001757679965,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1769993745.0,LONG,25609.25,25616.72144232741,25606.488006844247,-1.3525454094351985,1sig,11,0.8846834337123272,-1.6941598476017499,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1769993790.0,LONG,25604.0,25611.859265018764,25601.238006844247,-1.4227524428137803,1sig,14,0.6384616981186554,-1.8225108281282023,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1769993805.0,LONG,25600.25,25609.27584620256,25597.488006844247,-1.633937105122721,1sig,15,0.6130472862224601,-1.8592054850231485,TENSION,outer_roche,0,NOISE,0.0,0.0,False,True,-5.52
1769994015.0,LONG,25600.0,25607.331407251382,25597.238006844247,-1.3271950432085036,1sig,5,0.5142156026485086,-1.8443045227206678,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,14.66
1769994045.0,LONG,25597.25,25606.171177935434,25594.488006844247,-1.614989145945731,1sig,7,0.5973470168629359,-2.0679170637733386,TENSION,outer_roche,0,NOISE,0.0,0.0,True,False,17.84
1769994255.0,LONG,25628.0,25634.507758184103,25625.238006844247,-1.178090932366496,1sig,10,0.6023536574142817,-1.6704672009640948,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1769994270.0,LONG,25627.25,25634.658711841825,25624.488006844247,-1.3411893918693878,1sig,11,0.6820846069015306,-1.7032143878352721,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1769994285.0,LONG,25629.5,25635.305986752956,25626.738006844247,-1.0510501702118624,1sig,12,0.7916852712415472,-1.4674972407744262,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1769994450.0,LONG,25584.5,25591.598666503334,25581.738006844247,-1.2850622907134555,1sig,6,0.6257487308723882,-1.804775352360731,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1769994465.0,LONG,25578.25,25586.57362101595,25575.488006844247,-1.5068142002109814,1sig,7,0.5629505444242755,-1.797757482004996,TENSION,outer_roche,0,NOISE,0.0,0.0,False,True,-5.52
1769994480.0,LONG,25576.5,25582.177826848998,25573.738006844247,-1.0278495508164867,1sig,8,0.5819301861497211,-1.4181318455293443,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1769995185.0,LONG,25506.0,25512.266037130088,25503.238006844247,-1.1343324868558338,1sig,3,0.6886484150919555,-1.6564238655915169,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,12.53
1769995785.0,LONG,25526.75,25536.195419229865,25523.988006844247,-1.709891860193722,1sig,11,0.6284689358759684,-2.1066304740235444,TENSION,outer_roche,0,NOISE,0.0,0.0,False,True,-5.52
1769996400.0,LONG,25482.5,25492.031632667567,25479.738006844247,-1.7254989657944997,1sig,3,0.6363441466504044,-2.027242085567417,TENSION,outer_roche,0,NOISE,0.0,0.0,False,True,-5.52
1769996415.0,LONG,25485.5,25491.685095012625,25482.738006844247,-1.1196796414470307,1sig,4,0.6326241292928526,-1.4386759558540216,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1769996430.0,LONG,25481.25,25488.335226694835,25478.488006844247,-1.2826292998006188,1sig,5,0.766356583265677,-1.6739045815710272,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
