feature,regime_2d,n,mean,std,median,p10,p90
L1_1D_vol_velocity_1b,FLAT_CHOPPY,18315,196426.292001092,896189.1566992643,32272.0,-554277.0,1283100.0
L1_1D_vol_velocity_1b,FLAT_SMOOTH,9606,-326202.8775765147,1026216.9091755894,-81614.0,-1870567.0,940803.0
L1_1D_vol_velocity_1b,UP_CHOPPY,3924,112898.30886850152,1253843.8828143321,291695.0,-1504525.0,1424517.0
L1_1D_vol_velocity_1b,UP_SMOOTH,7146,-55545.742233417295,989082.1209484652,-57465.0,-1514060.0,1550344.0
L1_1D_vol_accel_1b,DOWN_CHOPPY,2988,411528.1485943775,1769596.9582540668,-77214.0,-1565366.0,2899894.0
L1_1D_vol_accel_1b,DOWN_SMOOTH,4662,-82850.84427284428,1876185.5725855133,-114645.0,-2253938.0,2781955.0
L1_1D_vol_accel_1b,FLAT_CHOPPY,18315,97870.81485121485,1765540.1798013714,-160281.0,-1663018.0,2781955.0
L1_1D_vol_accel_1b,FLAT_SMOOTH,9510,-222829.7097791798,1466938.632170351,-351024.0,-1807736.0,2033229.0
L1_1D_vol_accel_1b,UP_CHOPPY,3924,406979.63914373086,1944898.9804715677,189730.0,-1624823.0,2631481.0
L1_1D_vol_accel_1b,UP_SMOOTH,6978,-293882.75838349096,1716633.7439937764,-647518.0,-2241669.0,2899894.0
L1_1D_bar_range,DOWN_CHOPPY,2988,421.3955823293173,257.5577364141322,404.75,135.5,585.5
L1_1D_bar_range,DOWN_SMOOTH,4662,350.2065637065637,219.11376289922572,317.0,97.25,606.25
L1_1D_bar_range,FLAT_CHOPPY,18315,390.51803166803165,364.0500901499343,303.75,141.75,645.75
L1_1D_bar_range,FLAT_SMOOTH,9882,274.3811475409836,202.70019610334035,228.0,76.25,528.75
L1_1D_bar_range,UP_CHOPPY,3924,364.12461773700306,289.5214340914156,264.25,131.0,673.75
L1_1D_bar_range,UP_SMOOTH,7146,406.2080184718724,365.1680960465532,370.5,89.75,674.0
L1_1D_body,DOWN_CHOPPY,2988,-37.94879518072289,288.60512837745256,-60.75,-317.5,407.0
L1_1D_body,DOWN_SMOOTH,4662,-66.11357786357786,257.38358526247595,-31.25,-427.5,245.5
L1_1D_body,FLAT_CHOPPY,18315,6.71968331968332,347.2350391420028,15.25,-325.75,218.25
L1_1D_body,FLAT_SMOOTH,9882,66.60230722525804,187.15169898262025,30.25,-115.5,264.5
L1_1D_body,UP_CHOPPY,3924,36.452599388379205,256.1590780775517,47.5,-196.0,234.5
L1_1D_body,UP_SMOOTH,7146,52.572418136020154,358.71003382857197,29.25,-317.5,383.75
L1_4h_price_velocity_1b,DOWN_CHOPPY,2988,-32.6214859437751,108.66055850102069,-12.25,-139.25,96.25
L1_4h_price_velocity_1b,DOWN_SMOOTH,4662,-78.14634277134277,132.76349898509105,-44.25,-230.25,40.5
L1_4h_price_velocity_1b,FLAT_CHOPPY,18315,-3.0105924105924107,121.01536663581297,2.5,-116.5,108.5
L1_4h_price_velocity_1b,FLAT_SMOOTH,9786,-0.3450337216431637,102.42968636241345,3.25,-88.75,82.25
L1_4h_price_velocity_1b,UP_CHOPPY,3924,45.156281855249745,93.96526433620127,27.0,-38.5,178.5
L1_4h_price_velocity_1b,UP_SMOOTH,7146,66.01402882731598,176.3937536307888,27.25,-32.0,226.75
