**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

feature,n_transitions,pre_mean,post_mean,delta_mean,abs_delta_mean
L0_time_of_day,162,0.3606373421067673,0.4200640950074303,0.059426752900663016,0.10829137433794393
L1_1D_price_velocity_1b,162,1.5802469135802468,21.434413580246915,19.854166666666668,55.64274691358025
L1_1D_price_accel_1b,160,-42.7828125,21.9421875,64.725,109.0015625
L1_1D_vol_velocity_1b,162,15429.308641975309,-43267.06172839506,-58696.37037037037,106361.70987654322
L1_1D_vol_accel_1b,160,21390.05,-30443.34375,-51833.39375,132881.15625
L1_1D_bar_range,162,377.554012345679,369.275462962963,-8.278549382716049,25.46682098765432
L1_1D_body,162,5.405864197530864,26.285493827160494,20.87962962962963,53.76851851851852
L1_4h_price_velocity_1b,162,2.1797196502057608,4.464763374485597,2.2850437242798356,61.92804783950617
L1_4h_price_accel_1b,162,1.7563014403292183,7.656442901234568,5.90014146090535,127.69335133744856
L1_4h_vol_velocity_1b,162,-6088.490483539093,-79095.41538065845,-73006.92489711933,133883.55092592593
L1_4h_vol_accel_1b,162,191742.39274691357,57518.358539094654,-134224.0342078189,189339.75643004113
L1_4h_bar_range,162,119.92965534979425,95.33937757201646,-24.59027777777778,49.15817901234568
L1_4h_body,162,-0.5294495884773663,1.5885416666666667,2.117991255144033,54.63921039094651
L1_1h_price_velocity_1b,162,-0.28813014403292186,4.839634773662552,5.127764917695474,36.061149691358025
L1_1h_price_accel_1b,162,0.31520061728395077,4.801118827160493,4.485918209876544,39.28568672839506
L1_1h_vol_velocity_1b,162,1576.1170267489713,-2457.26774691358,-4033.3847736625507,15261.19598765432
L1_1h_vol_accel_1b,162,4270.745627572017,2027.967592592593,-2242.778034979424,12972.774948559672
L1_1h_bar_range,162,49.23829732510288,64.69521604938272,15.456918724279834,25.71630658436214
L1_1h_body,162,-0.35365226337448563,1.69360853909465,2.0472608024691357,30.331725823045264
L1_15m_price_velocity_1b,162,0.21855709876543214,1.9164094650205763,1.6978523662551444,9.486818415637861
L1_15m_price_accel_1b,162,-6.430041152263009e-05,0.5955504115226339,0.5956147119341564,4.270126028806585
L1_15m_vol_velocity_1b,162,-373.67515432098764,187.76260288065842,561.437757201646,915.5570987654321
