**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

feature,regime_a,regime_b,pair,cohen_d,abs_d
L1_1D_price_accel_1b,FLAT_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY__vs__FLAT_SMOOTH,-0.05409969720550063,0.05409969720550063
L1_1D_price_accel_1b,FLAT_CHOPPY,UP_CHOPPY,FLAT_CHOPPY__vs__UP_CHOPPY,-0.13558765230257833,0.13558765230257833
L1_1D_price_accel_1b,FLAT_CHOPPY,UP_SMOOTH,FLAT_CHOPPY__vs__UP_SMOOTH,0.012059866752030473,0.012059866752030473
L1_1D_price_accel_1b,FLAT_SMOOTH,UP_CHOPPY,FLAT_SMOOTH__vs__UP_CHOPPY,-0.15880844633104238,0.15880844633104238
L1_1D_price_accel_1b,FLAT_SMOOTH,UP_SMOOTH,FLAT_SMOOTH__vs__UP_SMOOTH,0.08368381832268192,0.08368381832268192
L1_1D_price_accel_1b,UP_CHOPPY,UP_SMOOTH,UP_CHOPPY__vs__UP_SMOOTH,0.17257771694350924,0.17257771694350924
L1_1D_vol_velocity_1b,DOWN_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY__vs__DOWN_SMOOTH,0.31651228123610214,0.31651228123610214
L1_1D_vol_velocity_1b,DOWN_CHOPPY,FLAT_CHOPPY,DOWN_CHOPPY__vs__FLAT_CHOPPY,0.009386957443277494,0.009386957443277494
L1_1D_vol_velocity_1b,DOWN_CHOPPY,FLAT_SMOOTH,DOWN_CHOPPY__vs__FLAT_SMOOTH,0.5402303536099865,0.5402303536099865
L1_1D_vol_velocity_1b,DOWN_CHOPPY,UP_CHOPPY,DOWN_CHOPPY__vs__UP_CHOPPY,0.08423992819499396,0.08423992819499396
L1_1D_vol_velocity_1b,DOWN_CHOPPY,UP_SMOOTH,DOWN_CHOPPY__vs__UP_SMOOTH,0.27560285914070903,0.27560285914070903
L1_1D_vol_velocity_1b,DOWN_SMOOTH,FLAT_CHOPPY,DOWN_SMOOTH__vs__FLAT_CHOPPY,-0.35249561683946895,0.35249561683946895
L1_1D_vol_velocity_1b,DOWN_SMOOTH,FLAT_SMOOTH,DOWN_SMOOTH__vs__FLAT_SMOOTH,0.1571040463151091,0.1571040463151091
L1_1D_vol_velocity_1b,DOWN_SMOOTH,UP_CHOPPY,DOWN_SMOOTH__vs__UP_CHOPPY,-0.20829472016978987,0.20829472016978987
L1_1D_vol_velocity_1b,DOWN_SMOOTH,UP_SMOOTH,DOWN_SMOOTH__vs__UP_SMOOTH,-0.0858637506799227,0.0858637506799227
L1_1D_vol_velocity_1b,FLAT_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY__vs__FLAT_SMOOTH,0.554250204738279,0.554250204738279
L1_1D_vol_velocity_1b,FLAT_CHOPPY,UP_CHOPPY,FLAT_CHOPPY__vs__UP_CHOPPY,0.08620689982545106,0.08620689982545106
L1_1D_vol_velocity_1b,FLAT_CHOPPY,UP_SMOOTH,FLAT_CHOPPY__vs__UP_SMOOTH,0.2729323374845279,0.2729323374845279
L1_1D_vol_velocity_1b,FLAT_SMOOTH,UP_CHOPPY,FLAT_SMOOTH__vs__UP_CHOPPY,-0.40023821969397927,0.40023821969397927
L1_1D_vol_velocity_1b,FLAT_SMOOTH,UP_SMOOTH,FLAT_SMOOTH__vs__UP_SMOOTH,-0.2678332785480345,0.2678332785480345
L1_1D_vol_velocity_1b,UP_CHOPPY,UP_SMOOTH,UP_CHOPPY__vs__UP_SMOOTH,0.15449242923864798,0.15449242923864798
L1_1D_vol_accel_1b,DOWN_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY__vs__DOWN_SMOOTH,0.2693732986951788,0.2693732986951788
L1_1D_vol_accel_1b,DOWN_CHOPPY,FLAT_CHOPPY,DOWN_CHOPPY__vs__FLAT_CHOPPY,0.17759788570429916,0.17759788570429916
L1_1D_vol_accel_1b,DOWN_CHOPPY,FLAT_SMOOTH,DOWN_CHOPPY__vs__FLAT_SMOOTH,0.4106705781563351,0.4106705781563351
L1_1D_vol_accel_1b,DOWN_CHOPPY,UP_CHOPPY,DOWN_CHOPPY__vs__UP_CHOPPY,0.0024308797338359763,0.0024308797338359763
L1_1D_vol_accel_1b,DOWN_CHOPPY,UP_SMOOTH,DOWN_CHOPPY__vs__UP_SMOOTH,0.40712106360506367,0.40712106360506367
L1_1D_vol_accel_1b,DOWN_SMOOTH,FLAT_CHOPPY,DOWN_SMOOTH__vs__FLAT_CHOPPY,-0.10104419957135788,0.10104419957135788
L1_1D_vol_accel_1b,DOWN_SMOOTH,FLAT_SMOOTH,DOWN_SMOOTH__vs__FLAT_SMOOTH,0.08677875632197725,0.08677875632197725
L1_1D_vol_accel_1b,DOWN_SMOOTH,UP_CHOPPY,DOWN_SMOOTH__vs__UP_CHOPPY,-0.2567386231615383,0.2567386231615383
L1_1D_vol_accel_1b,DOWN_SMOOTH,UP_SMOOTH,DOWN_SMOOTH__vs__UP_SMOOTH,0.11840761262395799,0.11840761262395799
L1_1D_vol_accel_1b,FLAT_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY__vs__FLAT_SMOOTH,0.19209307082558932,0.19209307082558932
L1_1D_vol_accel_1b,FLAT_CHOPPY,UP_CHOPPY,FLAT_CHOPPY__vs__UP_CHOPPY,-0.17187205477091158,0.17187205477091158
L1_1D_vol_accel_1b,FLAT_CHOPPY,UP_SMOOTH,FLAT_CHOPPY__vs__UP_SMOOTH,0.22358005879675766,0.22358005879675766
L1_1D_vol_accel_1b,FLAT_SMOOTH,UP_CHOPPY,FLAT_SMOOTH__vs__UP_CHOPPY,-0.38849122894790694,0.38849122894790694
L1_1D_vol_accel_1b,FLAT_SMOOTH,UP_SMOOTH,FLAT_SMOOTH__vs__UP_SMOOTH,0.04504318215312295,0.04504318215312295
L1_1D_vol_accel_1b,UP_CHOPPY,UP_SMOOTH,UP_CHOPPY__vs__UP_SMOOTH,0.38890956199668447,0.38890956199668447
