shape,Lq1,Lq2,Lq3,Lq4,Lq5
FLATLINE,2.6469465648854964,-10.835,-4.288461538461538,11.208333333333334,4.333333333333333
GENTLE_CONCAVE_DOWN,-2.0405405405405403,-60.916666666666664,-26.25,,-2.0
GENTLE_CONCAVE_UP,14.0,-144.66666666666666,2.4761904761904763,8.26171875,13.375
GENTLE_CONVEX_DOWN,51.75,14.5,3.065068493150685,0.6274509803921569,-2.0454545454545454
GENTLE_CONVEX_UP,9.886363636363637,0.07142857142857142,,,
GENTLE_LINEAR_DOWN,3.6964285714285716,-0.25,11.509615384615385,-0.5674603174603174,4.703333333333333
GENTLE_LINEAR_UP,-5.972222222222222,-19.75,-1.09375,-6.102112676056338,2.8504901960784315
NOISE,-15.39080459770115,4.680288461538462,2.860576923076923,-2.046875,16.125
STEEP_CONCAVE_DOWN,-61.25,,,,-7.083333333333333
STEEP_CONCAVE_UP,,,29.083333333333332,-58.68181818181818,28.05
STEEP_CONVEX_DOWN,,,79.375,-2.7916666666666665,-41.82142857142857
STEEP_LINEAR_DOWN,43.25,,-194.25,-17.641304347826086,-7.9338235294117645
STEEP_LINEAR_UP,-44.25,,,32.142857142857146,15.208333333333334
