**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

shape,Lq1,Lq2,Lq3,Lq4,Lq5
FLATLINE,-0.5117673179396093,0.631074168797954,0.687962962962963,1.038709677419355,-0.44
GENTLE_CONCAVE_DOWN,0.9069506726457399,-1.7159090909090908,5.225,4.361111111111111,1.3333333333333333
GENTLE_CONCAVE_UP,-1.4785714285714286,2.9502487562189055,-0.18913398692810457,0.4137096774193548,-0.1483957219251337
GENTLE_CONVEX_DOWN,0.36507936507936506,-2.0472350230414746,-0.03360957642725598,-0.6131656804733728,0.558641975308642
GENTLE_CONVEX_UP,0.47848360655737704,-0.6730769230769231,2.4166666666666665,-11.75,-2.1184210526315788
GENTLE_LINEAR_DOWN,-1.7191176470588236,1.1845238095238095,-2.332089552238806,-1.35,0.646875
GENTLE_LINEAR_UP,-0.8125,1.8642857142857143,0.22767857142857142,0.5614406779661016,-0.9757462686567164
NOISE,1.181578947368421,0.29376854599406527,-0.6793785310734464,2.0359848484848486,-0.20520231213872833
STEEP_CONCAVE_DOWN,0.32134146341463415,-2.7454545454545456,-4.545454545454546,5.480769230769231,0.15
STEEP_CONCAVE_UP,9.95,-0.35853658536585364,-1.1772853185595569,0.33225616921269097,0.5974358974358974
STEEP_CONVEX_DOWN,8.01923076923077,-1.9613636363636364,-0.5665024630541872,0.6910150891632373,2.705223880597015
STEEP_CONVEX_UP,-1.1163419913419914,-3.548780487804878,-4.885714285714286,0.17,1.028301886792453
STEEP_LINEAR_DOWN,2.151431718061674,-0.1206896551724138,-0.6590136054421769,-0.5927835051546392,0.8380977130977131
STEEP_LINEAR_UP,-1.2140371229698377,-1.3699460916442048,3.3543771043771042,1.7877668308702792,-0.03910463861920173
