shape,Lq1,Lq2,Lq3,Lq4,Lq5
FLATLINE,-1.7400849858356942,-0.8584656084656085,1.6181506849315068,2.7941176470588234,-3.2954545454545454
GENTLE_CONCAVE_DOWN,-3.8482142857142856,-0.7027027027027027,-7.825,-2.0,-0.6785714285714286
GENTLE_CONCAVE_UP,-5.714285714285714,-2.215909090909091,-3.872670807453416,1.5897727272727273,0.4342105263157895
GENTLE_CONVEX_DOWN,-2.75,13.823529411764707,0.21818181818181817,-1.7166666666666666,-1.5640243902439024
GENTLE_CONVEX_UP,2.5940860215053765,1.6630434782608696,-7.328947368421052,20.365384615384617,2.05
GENTLE_LINEAR_DOWN,1.1957831325301205,4.198863636363637,2.84,1.2602739726027397,1.151639344262295
GENTLE_LINEAR_UP,-2.61144578313253,1.6162790697674418,5.467391304347826,1.8968253968253967,-3.168639053254438
NOISE,-5.006410256410256,-1.1253709198813056,-1.7171052631578947,-3.115740740740741,-0.7819148936170213
STEEP_CONCAVE_DOWN,7.2407407407407405,3.359375,-25.180555555555557,10.0,30.666666666666668
STEEP_CONCAVE_UP,-4.666666666666667,69.82142857142857,0.13157894736842105,-1.6058394160583942,0.6904761904761905
STEEP_CONVEX_DOWN,7.583333333333333,1.9375,5.900602409638554,-7.155038759689923,-5.192934782608695
STEEP_CONVEX_UP,-2.64,-46.825,26.175,4.583333333333333,-17.27777777777778
STEEP_LINEAR_DOWN,5.23404255319149,-4.811797752808989,4.266393442622951,-0.419811320754717,1.0326797385620916
STEEP_LINEAR_UP,4.654761904761905,5.162621359223301,9.441964285714286,2.5220588235294117,-0.03888888888888889
