shape,Sq1,Sq2,Sq3,Sq4,Sq5
FLATLINE,0.4867886178861789,-0.02727272727272727,-5.579601990049751,-0.12898089171974522,3.097902097902098
GENTLE_CONCAVE_DOWN,-0.7760416666666666,-6.173611111111111,1.9078947368421053,-3.0277777777777777,-15.0
GENTLE_CONCAVE_UP,2.152482269503546,-0.7275449101796407,-3.4841772151898733,-6.59765625,22.3
GENTLE_CONVEX_DOWN,-2.215,3.611111111111111,-2.971590909090909,-1.2833333333333334,-1.8804347826086956
GENTLE_CONVEX_UP,3.1315789473684212,2.3,0.36666666666666664,4.911764705882353,2.1875
GENTLE_LINEAR_DOWN,2.418918918918919,0.7780373831775701,5.243333333333333,-7.551136363636363,17.475
GENTLE_LINEAR_UP,0.140625,-3.3589285714285713,-5.2105263157894735,13.362903225806452,-0.5833333333333334
NOISE,-0.2981099656357388,-3.980295566502463,-2.0664893617021276,1.7793103448275862,-7.196808510638298
STEEP_CONCAVE_DOWN,38.0,-26.875,-1.9411764705882353,-0.04375,14.453947368421053
STEEP_CONCAVE_UP,4.875,-0.2857142857142857,5.690217391304348,-0.7226890756302521,0.9614285714285714
STEEP_CONVEX_DOWN,,6.25,7.275,-2.3383838383838382,-3.76875
STEEP_CONVEX_UP,2.75,0.9166666666666666,-7.043478260869565,7.380434782608695,-9.965909090909092
STEEP_LINEAR_DOWN,-5.0,1.4144736842105263,-3.25,1.3577844311377245,3.5965346534653464
STEEP_LINEAR_UP,6.15625,8.094594594594595,-1.25,-0.1781437125748503,8.481481481481481
