feature,coef,se,t_stat,sig
intercept,0.1797,0.204,0.88,
shape_GENTLE_CONCAVE_DOWN,-0.0388,0.6473,-0.06,
shape_GENTLE_CONCAVE_UP,0.0962,0.4693,0.2,
shape_GENTLE_CONVEX_DOWN,0.0657,0.4703,0.14,
shape_GENTLE_CONVEX_UP,-0.1623,0.5987,-0.27,
shape_GENTLE_LINEAR_DOWN,0.1637,0.5464,0.3,
shape_GENTLE_LINEAR_UP,-0.2787,0.5453,-0.51,
shape_NOISE,-0.248,0.2098,-1.18,
shape_STEEP_CONCAVE_DOWN,0.2117,0.3145,0.67,
shape_STEEP_CONCAVE_UP,-0.3191,0.2602,-1.23,
shape_STEEP_CONVEX_DOWN,-0.3336,0.2608,-1.28,
shape_STEEP_CONVEX_UP,-0.1365,0.3137,-0.44,
shape_STEEP_LINEAR_DOWN,-0.013,0.2675,-0.05,
shape_STEEP_LINEAR_UP,-0.1639,0.2672,-0.61,
length_min_z,0.0358,0.0464,0.77,
mean_sigma_z,0.3795,0.0463,8.19,***
r_z,0.0138,0.081,0.17,
