shape,n,mean,se,ci95_lo,ci95_hi,mfe_mean,mae_mean
NOISE,369,-0.414,3.597,-7.464,6.636,34.47,-35.651
FLATLINE,305,-3.066,3.216,-9.369,3.236,30.789,-35.058
GENTLE_LINEAR_UP,209,-1.469,4.542,-10.371,7.433,36.126,-40.234
GENTLE_CONCAVE_UP,194,4.528,5.059,-5.387,14.444,42.554,-41.394
GENTLE_LINEAR_DOWN,179,3.73,4.167,-4.437,11.898,39.289,-40.074
GENTLE_CONVEX_DOWN,148,1.872,3.991,-5.951,9.694,33.559,-34.166
STEEP_LINEAR_DOWN,59,-14.008,11.901,-37.335,9.318,51.614,-65.894
GENTLE_CONCAVE_DOWN,43,-6.709,8.807,-23.972,10.553,32.401,-39.919
GENTLE_CONVEX_UP,40,8.169,7.206,-5.954,22.292,27.825,-31.731
STEEP_LINEAR_UP,39,19.763,23.837,-26.958,66.484,94.724,-49.109
STEEP_CONCAVE_UP,19,-22.0,23.71,-68.473,24.473,54.039,-76.145
STEEP_CONVEX_DOWN,17,0.471,29.097,-56.559,57.5,61.853,-58.147
