shape,n,mfe_mean,mfe_p90,mae_mean,mae_p10
NOISE,369,34.47,70.5,-35.651,-85.05
FLATLINE,305,30.789,64.0,-35.058,-86.8
GENTLE_LINEAR_UP,209,36.126,84.15,-40.234,-92.0
GENTLE_CONCAVE_UP,194,42.554,84.4,-41.394,-106.9
GENTLE_LINEAR_DOWN,179,39.289,100.6,-40.074,-102.6
GENTLE_CONVEX_DOWN,148,33.559,78.2,-34.166,-77.575
STEEP_LINEAR_DOWN,59,51.614,115.15,-65.894,-160.6
GENTLE_CONCAVE_DOWN,43,32.401,72.3,-39.919,-94.4
GENTLE_CONVEX_UP,40,27.825,49.775,-31.731,-65.125
STEEP_LINEAR_UP,39,94.724,164.95,-49.109,-107.35
STEEP_CONCAVE_UP,19,54.039,130.55,-76.145,-158.7
STEEP_CONVEX_DOWN,17,61.853,145.9,-58.147,-147.0
STEEP_CONCAVE_DOWN,4,24.688,45.225,-49.0,-64.225
