shape,n,mean,se,ci95_lo,ci95_hi,mfe_mean,mae_mean
FLATLINE,3190,0.227,0.44,-0.636,1.09,14.543,-15.019
STEEP_LINEAR_DOWN,2698,0.443,0.573,-0.68,1.566,17.414,-17.801
STEEP_LINEAR_UP,2635,0.386,0.546,-0.685,1.457,15.449,-15.749
STEEP_CONCAVE_UP,2408,0.065,0.598,-1.107,1.237,17.512,-17.742
STEEP_CONVEX_DOWN,2202,0.46,0.642,-0.798,1.718,18.512,-18.25
NOISE,1523,0.273,0.571,-0.846,1.391,13.573,-14.014
GENTLE_CONCAVE_UP,1380,0.344,0.404,-0.447,1.135,9.126,-9.4
GENTLE_CONVEX_DOWN,1323,-0.42,0.486,-1.373,0.532,9.328,-9.977
GENTLE_LINEAR_DOWN,679,-0.677,0.665,-1.981,0.627,9.038,-10.108
GENTLE_LINEAR_UP,665,-0.406,0.623,-1.627,0.814,9.045,-9.678
STEEP_CONVEX_UP,641,-1.2,1.133,-3.42,1.02,18.168,-19.894
STEEP_CONCAVE_DOWN,613,0.317,1.457,-2.538,3.173,21.694,-22.73
GENTLE_CONVEX_UP,317,0.005,0.966,-1.888,1.897,9.831,-10.258
GENTLE_CONCAVE_DOWN,298,0.786,0.863,-0.906,2.478,9.619,-10.491
