shape,Lq1,Lq2,Lq3,Lq4,Lq5
FLATLINE,0.1215113782739373,0.07575597377881159,0.19940476190476192,0.3047360248447205,-0.15625
GENTLE_CONCAVE_DOWN,-0.19489795918367347,0.02100840336134454,0.2826086956521739,-0.1875,-2.75
GENTLE_CONCAVE_UP,0.2571428571428571,-0.64453125,-0.28242320819112626,0.17266187050359713,0.49516129032258066
GENTLE_CONVEX_DOWN,0.7211538461538461,0.363013698630137,-0.44476744186046513,-0.06462585034013606,0.2779605263157895
GENTLE_CONVEX_UP,-0.22563176895306858,-0.2725806451612903,-0.109375,-1.6136363636363635,0.2
GENTLE_LINEAR_DOWN,0.26728723404255317,-0.4166666666666667,-1.671875,0.07553956834532374,0.3776595744680851
GENTLE_LINEAR_UP,-0.5566298342541437,-1.0,-1.3083333333333333,-0.04563492063492063,-0.08098591549295775
NOISE,-1.2330769230769232,-0.196804932735426,0.003826530612244898,-0.0422979797979798,0.03365384615384615
STEEP_CONCAVE_DOWN,0.49067495559502666,0.2769028871391076,-0.605,0.4039473684210526,0.16491596638655462
STEEP_CONCAVE_UP,-0.36733333333333335,-0.13977832512315272,-0.4730309331946972,0.2052312464749013,0.12201979307242465
STEEP_CONVEX_DOWN,-0.05,-0.130648899188876,-0.2148890569843671,-0.04457134381489172,0.06060606060606061
STEEP_CONVEX_UP,-0.09491131756756757,-0.17276422764227642,-0.009887005649717515,0.7957142857142857,0.7315270935960592
STEEP_LINEAR_DOWN,0.4362534219788815,0.48543928923988156,0.6462485345838218,-0.1704913606911447,0.15767851807588887
STEEP_LINEAR_UP,-0.22191011235955055,-0.027162447257383968,0.1732832618025751,0.5841410877759827,0.011904761904761904
