**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

shape,Sq1,Sq2,Sq3,Sq4,Sq5
FLATLINE,0.2220253164556962,0.052506596306068604,-0.20280682443588333,0.3575498575498576,0.14471153846153847
GENTLE_CONCAVE_DOWN,-0.005119453924914676,-0.5126582278481012,-0.7638888888888888,0.4166666666666667,
GENTLE_CONCAVE_UP,-0.0023510971786833857,0.4786931818181818,-1.0285714285714285,-2.7,-1.0
GENTLE_CONVEX_DOWN,-0.03526645768025078,0.6910919540229885,-2.1693548387096775,-1.5681818181818181,-22.0
GENTLE_CONVEX_UP,-0.14701704545454544,-0.11079545454545454,-1.45,-4.0625,
GENTLE_LINEAR_DOWN,0.1834975369458128,0.09552845528455285,-1.1363636363636365,1.3076923076923077,2.5
GENTLE_LINEAR_UP,-0.08077830188679246,-1.331896551724138,0.30113636363636365,-4.34375,4.25
NOISE,0.0011661284535342661,0.17321657411362665,-0.3122351694915254,-0.4551428571428571,-0.18043087971274685
STEEP_CONCAVE_DOWN,0.18946540880503146,-0.03737300435413643,0.5061863173216885,0.19319938176197837,1.0598006644518272
STEEP_CONCAVE_UP,-0.1510989010989011,-0.2267008387698043,0.047218762972187626,-0.7805453054530546,0.6053973650658734
STEEP_CONVEX_DOWN,0.031384350816852966,-0.046638018200202226,-0.03032258064516129,-0.007013201320132013,-0.346298495645289
STEEP_CONVEX_UP,-0.11317567567567567,-0.11964038727524205,0.07833583208395802,-0.4420230263157895,0.6935920577617328
STEEP_LINEAR_DOWN,0.17582644628099173,0.14763189448441247,-0.11097131353799698,-0.0713961922030825,0.8974911799294394
STEEP_LINEAR_UP,0.14604874446085672,-0.08266666666666667,-0.40785064624222117,0.315296803652968,0.36827478879502
