shape,n,mfe_mean,mfe_p90,mae_mean,mae_p10
FLATLINE,967,25.162,54.5,-26.732,-65.2
NOISE,921,24.321,55.0,-26.895,-60.75
GENTLE_CONCAVE_UP,550,20.891,44.325,-23.789,-50.475
STEEP_LINEAR_DOWN,497,35.231,76.75,-36.118,-75.5
STEEP_LINEAR_UP,488,32.527,78.8,-30.019,-73.625
GENTLE_CONVEX_DOWN,474,18.435,42.425,-21.132,-46.6
GENTLE_LINEAR_UP,381,16.963,36.5,-20.094,-43.0
STEEP_CONCAVE_UP,349,35.208,83.45,-37.648,-88.45
GENTLE_LINEAR_DOWN,347,19.777,46.55,-20.362,-49.6
STEEP_CONVEX_DOWN,321,36.791,85.75,-39.752,-89.75
GENTLE_CONVEX_UP,176,19.249,43.25,-17.864,-42.25
GENTLE_CONCAVE_DOWN,118,17.583,39.075,-21.922,-50.525
STEEP_CONCAVE_DOWN,104,46.101,96.55,-42.151,-101.175
STEEP_CONVEX_UP,94,34.947,82.2,-41.527,-79.175
