feature,coef,se,t_stat,sig
intercept,-2.8849,4.3379,-0.67,
shape_GENTLE_CONCAVE_DOWN,2.117,11.2451,0.19,
shape_GENTLE_CONCAVE_UP,10.4775,7.0379,1.49,
shape_GENTLE_CONVEX_DOWN,8.5397,7.4307,1.15,
shape_GENTLE_CONVEX_UP,17.6541,11.601,1.52,
shape_GENTLE_LINEAR_DOWN,8.7976,7.4845,1.18,
shape_GENTLE_LINEAR_UP,2.5465,7.4034,0.34,
shape_NOISE,-5.8627,6.0932,-0.96,
shape_STEEP_CONCAVE_DOWN,-15.4377,35.1059,-0.44,
shape_STEEP_CONCAVE_UP,-10.3211,17.9305,-0.58,
shape_STEEP_CONVEX_DOWN,9.5652,18.3569,0.52,
shape_STEEP_LINEAR_DOWN,-5.7845,11.9187,-0.49,
shape_STEEP_LINEAR_UP,25.7784,13.3977,1.92,
length_min_z,3.5337,2.2974,1.54,
mean_sigma_z,-2.1696,2.2472,-0.97,
r_z,-7.2304,2.7695,-2.61,**
