shape,n,mfe_mean,mfe_p90,mae_mean,mae_p10
NOISE,25217,2.782,7.0,-2.734,-7.25
STEEP_LINEAR_UP,9630,2.543,6.5,-2.74,-7.0
STEEP_LINEAR_DOWN,9560,2.95,7.5,-2.869,-7.5
STEEP_CONCAVE_UP,9523,2.542,6.5,-2.826,-7.0
STEEP_CONVEX_DOWN,8881,2.841,7.25,-2.949,-7.5
STEEP_CONCAVE_DOWN,5619,2.796,7.0,-2.977,-8.0
STEEP_CONVEX_UP,5593,2.693,7.0,-2.776,-7.0
FLATLINE,5525,2.69,6.75,-2.795,-7.25
GENTLE_LINEAR_UP,61,0.857,2.25,-1.324,-3.25
GENTLE_LINEAR_DOWN,54,0.94,3.1,-1.551,-4.25
GENTLE_CONCAVE_UP,53,1.387,3.6,-1.085,-2.75
GENTLE_CONVEX_DOWN,51,1.01,2.75,-0.941,-2.5
GENTLE_CONVEX_UP,39,0.737,1.8,-1.16,-3.1
GENTLE_CONCAVE_DOWN,38,1.02,2.75,-1.099,-3.65
