**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

shape,Sq1,Sq2,Sq3,Sq4,Sq5
FLATLINE,2.413265306122449,-4.572784810126582,-14.525,-14.98076923076923,22.25
GENTLE_CONCAVE_DOWN,1.2,-26.9375,-13.1,3.861111111111111,1.875
GENTLE_CONCAVE_UP,8.595238095238095,2.4594594594594597,10.932291666666666,7.904545454545454,-10.681818181818182
GENTLE_CONVEX_DOWN,11.416666666666666,6.833333333333333,18.84285714285714,-15.5,-6.1923076923076925
GENTLE_CONVEX_UP,9.636363636363637,-6.416666666666667,10.2,5.0,31.678571428571427
GENTLE_LINEAR_DOWN,-7.076923076923077,-13.916666666666666,14.470930232558139,-1.8620689655172413,18.942857142857143
GENTLE_LINEAR_UP,-5.71,8.514285714285714,-1.1150793650793651,-5.448412698412699,-2.119565217391304
NOISE,2.8925925925925924,-4.880681818181818,7.4875,-10.927884615384615,0.15441176470588236
STEEP_CONCAVE_DOWN,,,,,-20.625
STEEP_CONCAVE_UP,,,-86.75,66.25,-23.38235294117647
STEEP_CONVEX_DOWN,,,,-1.75,0.609375
STEEP_LINEAR_DOWN,,,,43.25,-14.995689655172415
STEEP_LINEAR_UP,,,,-7.625,21.243243243243242
