parent_shape,FLATLINE,GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,GENTLE_CONVEX_UP,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_UP,NOISE,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,STEEP_CONVEX_UP,STEEP_LINEAR_DOWN,STEEP_LINEAR_UP
FLATLINE,-8.61413043478261,-6.068181818181818,-10.7890625,4.592592592592593,4.975806451612903,1.6370967741935485,-7.9222222222222225,-2.1121495327102804,-15.678571428571429,-17.5,-11.229166666666666,14.229166666666666,-7.004545454545455,6.921568627450981
GENTLE_CONCAVE_DOWN,-30.818181818181817,-1.5,-20.75,-15.125,,2.1964285714285716,-53.0,-13.46875,0.9444444444444444,-10.75,1.75,,9.854166666666666,53.25
GENTLE_CONCAVE_UP,-6.927631578947368,-13.75,-1.8091216216216217,0.4088235294117647,-2.0416666666666665,-12.178571428571429,-3.00531914893617,-2.4668367346938775,18.339285714285715,-10.291666666666666,-11.791666666666666,-29.75,-2.132716049382716,-3.46
GENTLE_CONVEX_DOWN,4.508928571428571,10.475,5.838235294117647,-0.7555555555555555,10.131578947368421,14.14864864864865,4.8273809523809526,3.730769230769231,-30.3125,7.833333333333333,7.133720930232558,13.7,17.053571428571427,5.5
GENTLE_CONVEX_UP,26.0,,3.5,-22.25,-0.9375,2.25,-1.325,-4.035714285714286,,24.5,-43.25,-0.5833333333333334,11.0,-15.583333333333334
GENTLE_LINEAR_DOWN,-0.5544217687074829,-12.11111111111111,1.2961538461538462,-6.5772357723577235,5.263888888888889,1.2894736842105263,-6.20625,-6.756696428571429,14.25,-16.862068965517242,6.036666666666667,-5.357142857142857,3.201492537313433,5.978021978021978
GENTLE_LINEAR_UP,3.7559808612440193,9.958333333333334,4.013812154696133,4.859375,0.3522727272727273,2.736111111111111,0.7741228070175439,1.421383647798742,15.305555555555555,-0.6598837209302325,-13.826923076923077,-5.05,-2.274390243902439,-7.763392857142857
NOISE,2.545774647887324,8.147727272727273,-26.02,2.537037037037037,-1.1770833333333333,6.202830188679245,0.7868852459016393,0.09727272727272727,-13.858695652173912,42.1,26.176470588235293,-39.30952380952381,0.3283582089552239,5.592391304347826
STEEP_CONCAVE_DOWN,-91.3125,,23.375,-33.75,,4.375,,-99.35,,-7.5,-10.3125,,41.0,17.25
STEEP_CONCAVE_UP,13.607142857142858,17.75,-40.05,7.15625,-33.625,34.125,-17.166666666666668,35.375,8.5,-5.12,-7.975,-0.5625,-18.333333333333332,-18.73076923076923
STEEP_CONVEX_DOWN,11.014705882352942,21.75,4.05,-22.833333333333332,,1.5625,10.125,-7.875,91.5,16.678571428571427,-21.391304347826086,-18.1875,-2.3958333333333335,2.9375
STEEP_CONVEX_UP,103.875,,,,,,,59.5,,241.5,,27.0,,12.625
STEEP_LINEAR_DOWN,-24.584558823529413,-27.333333333333332,-24.333333333333332,-9.972222222222221,-1.875,0.625,22.125,-45.843023255813954,-17.6875,-4.0,-11.231481481481481,-0.65625,-7.705882352941177,-7.493589743589744
STEEP_LINEAR_UP,20.842105263157894,-23.4,21.602941176470587,18.6,14.0,-0.7142857142857143,6.75,44.87903225806452,42.67857142857143,11.188356164383562,2.5760869565217392,30.725,59.891304347826086,24.89
