shape,Lq1,Lq2,Lq3,Lq4,Lq5
FLATLINE,-0.04549878345498783,-0.2680487804878049,0.31794425087108014,0.1951219512195122,-0.8333333333333334
GENTLE_CONCAVE_DOWN,0.017857142857142856,-0.21428571428571427,0.9,-0.25,-0.75
GENTLE_CONCAVE_UP,0.0,0.125,0.125,0.703125,-0.029411764705882353
GENTLE_CONVEX_DOWN,0.71875,-0.55,0.125,-0.359375,0.1527777777777778
GENTLE_CONVEX_UP,-0.5,-0.5526315789473685,-1.0625,0.875,-0.625
GENTLE_LINEAR_DOWN,-0.9615384615384616,-1.1785714285714286,0.75,-0.375,-0.27
GENTLE_LINEAR_UP,-1.625,-0.171875,0.5,-0.5227272727272727,0.14285714285714285
NOISE,0.2877959927140255,-0.030667701863354036,0.13134328358208955,0.15096426043878272,-0.012126578380043117
STEEP_CONCAVE_DOWN,-0.006085395051875499,-0.22724935732647814,-0.18971631205673758,-0.033375314861460954,0.18961352657004832
STEEP_CONCAVE_UP,-0.18811881188118812,-0.27627772420443586,-0.1101565483008782,-0.19855656260490098,-0.3734209196563921
STEEP_CONVEX_DOWN,-0.3483466362599772,-0.10246727089627392,-0.1657399486740804,0.06674434087882823,0.06201318154583583
STEEP_CONVEX_UP,-0.23675650557620817,0.08952340060111635,-0.04914933837429111,0.17164179104477612,-0.787292817679558
STEEP_LINEAR_DOWN,0.11063873911240149,0.13938953488372094,-0.19923285198555957,0.04994036970781157,0.19459152798789714
STEEP_LINEAR_UP,-0.03177257525083612,-0.27028218694885364,0.1563612099644128,-0.35,-0.13346354166666666
