shape,n,mfe_mean,mfe_p90,mae_mean,mae_p10
STEEP_CONCAVE_UP,10803,6.185,14.75,-6.522,-15.5
NOISE,10437,5.808,14.0,-6.021,-14.5
STEEP_CONVEX_DOWN,10416,6.439,15.25,-6.64,-16.5
STEEP_LINEAR_UP,9757,6.193,14.75,-6.392,-15.5
STEEP_LINEAR_DOWN,9622,6.909,16.5,-6.779,-16.5
FLATLINE,9002,6.301,15.0,-6.394,-15.5
STEEP_CONVEX_UP,3292,6.029,14.5,-6.226,-14.75
STEEP_CONCAVE_DOWN,3261,6.974,16.25,-6.885,-16.25
GENTLE_CONCAVE_UP,860,3.06,7.025,-3.174,-7.75
GENTLE_CONVEX_DOWN,855,3.042,7.0,-2.956,-6.75
GENTLE_LINEAR_UP,593,2.742,6.25,-3.267,-7.75
GENTLE_LINEAR_DOWN,589,3.115,7.05,-3.203,-7.8
GENTLE_CONVEX_UP,474,2.698,6.75,-3.133,-7.25
GENTLE_CONCAVE_DOWN,396,2.958,7.0,-3.205,-7.75
