shape,n,mfe_mean,mfe_p90,mae_mean,mae_p10
FLATLINE,3190,14.543,33.5,-15.019,-35.25
STEEP_LINEAR_DOWN,2698,17.414,40.25,-17.801,-41.65
STEEP_LINEAR_UP,2635,15.449,36.0,-15.749,-36.75
STEEP_CONCAVE_UP,2408,17.512,41.5,-17.742,-42.0
STEEP_CONVEX_DOWN,2202,18.512,43.5,-18.25,-43.75
NOISE,1523,13.573,31.7,-14.014,-35.0
GENTLE_CONCAVE_UP,1380,9.126,20.5,-9.4,-21.275
GENTLE_CONVEX_DOWN,1323,9.328,20.0,-9.977,-21.45
GENTLE_LINEAR_DOWN,679,9.038,19.3,-10.108,-22.05
GENTLE_LINEAR_UP,665,9.045,19.05,-9.678,-22.0
STEEP_CONVEX_UP,641,18.168,41.75,-19.894,-46.75
STEEP_CONCAVE_DOWN,613,21.694,51.15,-22.73,-54.6
GENTLE_CONVEX_UP,317,9.831,22.55,-10.258,-22.9
GENTLE_CONCAVE_DOWN,298,9.619,21.25,-10.491,-23.15
