rule,total_pnl,mean_pnl,median_pnl,days_pos,n_long,n_short,n_flat,n_days,alpha_vs_long,alpha_per_day
Always LONG (= drift),7907.0,247.09375,189.0,20,32,0,0,32,0.0,0.0
Always FLAT,0.0,0.0,0.0,0,0,0,32,32,-7907.0,-247.09375
Perfect ORACLE,16485.0,515.15625,321.75,32,20,12,0,32,8578.0,268.0625
Yesterday's sign,-2743.0,-85.71875,-34.25,14,20,12,0,32,-10650.0,-332.8125
Sign of 5d drift sum,6660.0,208.125,182.5,20,26,6,0,32,-1247.0,-38.96875
"Sign of 5d drift sum, LONG/FLAT",7283.5,227.609375,71.0,17,26,0,6,32,-623.5,-19.484375
Sign of 3d drift sum,5943.0,185.71875,168.75,19,27,5,0,32,-1964.0,-61.375
Close > 5d MA (long/short),6596.0,206.125,182.5,20,28,4,0,32,-1311.0,-40.96875
"Close > 5d MA, LONG/FLAT",7251.5,226.609375,153.0,18,28,0,4,32,-655.5,-20.484375
"3 of 5 prior days up, LONG/FLAT",5491.5,171.609375,0.0,14,22,0,10,32,-2415.5,-75.484375
"4 of 5 prior days up, LONG/FLAT",5083.0,158.84375,0.0,11,16,0,16,32,-2824.0,-88.25
"Range compression, LONG/FLAT",6660.0,208.125,86.0,17,29,0,3,32,-1247.0,-38.96875
