day,drift,Always LONG (= drift),Always FLAT,Perfect ORACLE,Yesterday's sign,Sign of 5d drift sum,"Sign of 5d drift sum, LONG/FLAT",Sign of 3d drift sum,Close > 5d MA (long/short),"Close > 5d MA, LONG/FLAT","3 of 5 prior days up, LONG/FLAT","4 of 5 prior days up, LONG/FLAT","Range compression, LONG/FLAT"
2026_03_20,-624.5,-624.5,-0.0,624.5,-624.5,-624.5,-624.5,-624.5,-624.5,-624.5,-624.5,-624.5,-624.5
2026_03_22,-118.0,-118.0,-0.0,118.0,118.0,-118.0,-118.0,-118.0,-118.0,-118.0,-118.0,-118.0,-118.0
2026_03_23,1043.0,1043.0,0.0,1043.0,-1043.0,1043.0,1043.0,1043.0,1043.0,1043.0,1043.0,1043.0,1043.0
2026_03_24,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2026_03_25,-177.0,-177.0,-0.0,177.0,-177.0,-177.0,-177.0,-177.0,-177.0,-177.0,-177.0,-177.0,-177.0
2026_03_26,-769.5,-769.5,-0.0,769.5,769.5,-769.5,-769.5,-769.5,-769.5,-769.5,-0.0,-0.0,-769.5
2026_03_27,-1300.0,-1300.0,-0.0,1300.0,1300.0,1300.0,-0.0,1300.0,1300.0,-0.0,-0.0,-0.0,-1300.0
2026_03_29,397.0,397.0,0.0,397.0,-397.0,-397.0,0.0,-397.0,-397.0,0.0,0.0,0.0,397.0
2026_03_30,-195.5,-195.5,-0.0,195.5,-195.5,195.5,-0.0,195.5,195.5,-0.0,-0.0,-0.0,-195.5
2026_03_31,1754.0,1754.0,0.0,1754.0,-1754.0,-1754.0,0.0,-1754.0,-1754.0,0.0,0.0,0.0,1754.0
2026_04_01,-707.0,-707.0,-0.0,707.0,-707.0,707.0,-0.0,-707.0,-707.0,-707.0,-0.0,-0.0,-707.0
2026_04_02,675.0,675.0,0.0,675.0,-675.0,-675.0,0.0,675.0,675.0,675.0,0.0,0.0,675.0
2026_04_03,-40.0,-40.0,-0.0,40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-0.0,-40.0
2026_04_05,326.5,326.5,0.0,326.5,-326.5,326.5,326.5,-326.5,326.5,326.5,0.0,0.0,326.5
2026_04_06,-28.5,-28.5,-0.0,28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-28.5,-0.0,-28.5
2026_04_07,1857.5,1857.5,0.0,1857.5,-1857.5,1857.5,1857.5,1857.5,1857.5,1857.5,0.0,0.0,1857.5
2026_04_08,-263.5,-263.5,-0.0,263.5,-263.5,-263.5,-263.5,-263.5,-263.5,-263.5,-263.5,-0.0,-263.5
2026_04_09,377.5,377.5,0.0,377.5,-377.5,377.5,377.5,377.5,377.5,377.5,0.0,0.0,377.5
2026_04_10,208.5,208.5,0.0,208.5,208.5,208.5,208.5,208.5,208.5,208.5,208.5,0.0,208.5
2026_04_12,220.5,220.5,0.0,220.5,220.5,220.5,220.5,220.5,220.5,220.5,220.5,0.0,220.5
2026_04_13,939.5,939.5,0.0,939.5,939.5,939.5,939.5,939.5,939.5,939.5,939.5,939.5,0.0
2026_04_14,803.0,803.0,0.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0,803.0
2026_04_15,982.5,982.5,0.0,982.5,982.5,982.5,982.5,982.5,982.5,982.5,982.5,982.5,982.5
2026_04_16,-46.5,-46.5,-0.0,46.5,-46.5,-46.5,-46.5,-46.5,-46.5,-46.5,-46.5,-46.5,-46.5
2026_04_17,770.5,770.5,0.0,770.5,-770.5,770.5,770.5,770.5,770.5,770.5,770.5,770.5,770.5
2026_04_19,169.5,169.5,0.0,169.5,169.5,169.5,169.5,169.5,169.5,169.5,169.5,169.5,0.0
2026_04_20,317.0,317.0,0.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0
2026_04_21,-19.0,-19.0,-0.0,19.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0
2026_04_22,311.5,311.5,0.0,311.5,-311.5,311.5,311.5,311.5,311.5,311.5,311.5,0.0,311.5
2026_04_23,168.0,168.0,0.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0
2026_04_24,733.0,733.0,0.0,733.0,733.0,733.0,733.0,733.0,733.0,733.0,733.0,733.0,733.0
2026_04_26,138.0,138.0,0.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0
