tier,baseline_total,baseline_is,baseline_oos,baseline_pf,z_floor,z_ceiling,e1_total,e1_is,e1_oos,e1_pf,veto_cells,combined_total,combined_is,combined_oos,combined_pf,uplift_oos
FADE_CALM,684.0,423.0,261.0,0.016,1.5,1.8,1003.0,478.5,524.5,0.096,short_neutral,1090.0,549.0,541.0,0.116,280.0
FADE_MOMENTUM,2502.0,2339.5,162.5,0.038,1.5,1.8,2638.0,2347.0,291.0,0.153,,2638.0,2347.0,291.0,0.153,128.5
FADE_AGAINST,1398.5,1254.0,144.5,0.189,1.5,2.2,1447.0,1362.0,85.0,0.531,,1447.0,1362.0,85.0,0.531,-59.5
NMP_FADE_RAW,5584.0,5494.0,90.0,0.03,1.5,1.8,3275.5,3249.0,26.5,0.069,short_aligned,4078.5,3738.5,340.0,0.109,250.0
