cell,tier,regime,direction,n,feature,entry_mean,entry_std,mfe_mean,mfe_mode,mfe_std,mfe_cv,delta_mean,delta_std,delta_mode,movement_score,mfe_coalescence,combined_score
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,1213,L0_time_of_day,0.46780308239278673,0.2576662698759064,0.4681580718729556,0.6208902357611805,0.2577549050892124,0.550572382652754,0.00035498948016888035,0.0013110040175891942,0.0007291664679845174,0.0013777103187085178,0.644923133668341,0.0008885172560287061
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,1213,L1_5s_price_velocity_1b,-0.2262984336356142,1.5808145082372698,0.15684253915910965,0.037499999999999645,1.7845859685318537,11.378201208037522,0.3831409727947238,1.881538663839574,-0.029166666666666785,0.24236934223205367,0.08078718249875202,0.019580336283003406
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,1213,L1_5s_price_accel_1b,0.07151690024732069,2.296944708732465,0.2281533388293487,-0.07916666666666661,2.3914903174724955,10.481943107837894,0.15663643858202803,2.9831194598961437,-0.3750000000000018,0.06819338659669877,0.08709327250693065,0.005939185202036758
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,1213,L1_5s_vol_velocity_1b,-0.16488046166529266,44.772605125799366,1.5721352019785655,11.39999999999992,52.36800576850033,33.31011588735758,1.7370156636438583,73.18184280996489,23.499999999999886,0.03879639477587914,0.029145923123170648,0.0011307567395939526
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,1213,L1_5s_vol_accel_1b,1.3990107172300081,70.78057823009102,-0.9967023907666942,-23.66666666666663,89.11649325923929,89.41133690939392,-2.3957131079967025,119.614901651942,5.0499999999999545,0.03384704064121877,0.011060559816764504,0.00037436721763265936
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,1213,L1_5s_bar_range,1.4326051112943117,1.6825391951811846,1.618507831821929,0.6458333333333334,2.2003010734510497,1.3594627286876981,0.18590272052761747,1.5809964655265483,0.2583333333333333,0.11048938470471062,0.42382530049804457,0.04682819667431803
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,1213,L1_5s_body,-0.1679719703215169,1.430864355496701,0.12056883759274525,0.11666666666666892,1.7199437066609158,14.26524250379276,0.2885408079142622,1.8066038785449416,0.2749999999999986,0.20165489943485596,0.06550829439830666,0.013210068519039468
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,1213,L2_5s_price_velocity_9,-0.33200513079350924,0.46756960063940345,-0.08392873494091205,0.07638895511627197,0.627075977640392,7.4715290071019105,0.2480763961167151,0.5537585341510675,-0.12222220301628117,0.5305657066817514,0.11804244536749778,0.06262927344484849
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,1213,L2_5s_price_accel_9,0.0201978566753083,0.26511232697349035,0.03396079526033317,0.02777779698371885,0.2550916349556205,7.51135634487253,0.013762938489819595,0.3111054960301889,-0.06574080387751269,0.0519136118452998,0.11749008729994331,0.0060993347877596445
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,1213,L2_5s_vol_velocity_9,-0.18017771243066308,6.789696691337778,0.7044975771971802,0.07777862548828196,5.526197392975399,7.8441680594008405,0.8846752868576769,6.8525372727721,-0.583332061767571,0.13029673149553783,0.11306885998588163,0.014732502890086981
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,1213,L2_5s_vol_accel_9,-0.24915269893722305,7.192451186070397,0.17358247942528446,0.3944423675537081,6.657057411292046,38.3509754747884,0.42273519325752645,9.951593482018064,2.0370413462321153,0.05877484354950672,0.025412330645797728,0.0014936057579350965
