
STRATEGY PERFORMANCE REPORT
ID         | Tier | Trades | Win%  | Sharpe | PnL        | MaxDD      | Risk 
300        | 3    | 9      |  44.4 |   0.15 | $66.50     | $111.00    | 0.52
571        | 3    | 85     |  36.5 |   0.14 | $337.50    | $245.50    | 0.55
232        | 3    | 2      |  50.0 |   0.13 | $1.50      | $0.00      | 0.40
1200       | 3    | 92     |  35.9 |   0.13 | $439.50    | $290.00    | 0.55
160        | 3    | 96     |  37.5 |   0.13 | $167.00    | $110.50    | 0.49
930        | 3    | 6      |  50.0 |   0.13 | $6.50      | $14.50     | 0.53
963        | 3    | 37     |  37.8 |   0.12 | $74.50     | $128.50    | 0.54
431        | 3    | 4      |  50.0 |   0.12 | $40.50     | $102.50    | 0.54
573        | 3    | 74     |  36.5 |   0.12 | $161.50    | $142.00    | 0.56
610        | 3    | 14     |  35.7 |   0.12 | $22.00     | $22.00     | 0.41
353        | 3    | 18     |  38.9 |   0.11 | $36.50     | $30.00     | 0.49
532        | 3    | 2      |  50.0 |   0.10 | $2.00      | $9.00      | 0.58
5800       | 3    | 61     |  37.7 |   0.10 | $216.50    | $231.50    | 0.54
410        | 3    | 54     |  38.9 |   0.09 | $136.00    | $94.50     | 0.48
130        | 3    | 77     |  39.0 |   0.09 | $397.50    | $210.00    | 0.47
331        | 3    | 25     |  36.0 |   0.09 | $72.50     | $185.00    | 0.56
142        | 3    | 207    |  38.6 |   0.08 | $333.50    | $209.00    | 0.56
5801       | 3    | 36     |  36.1 |   0.08 | $76.00     | $88.00     | 0.53
802        | 3    | 11     |  36.4 |   0.08 | $10.50     | $20.00     | 0.48
111        | 3    | 77     |  39.0 |   0.08 | $640.00    | $448.50    | 0.46
4501       | 3    | 88     |  36.4 |   0.08 | $82.00     | $62.00     | 0.52
640        | 3    | 121    |  36.4 |   0.07 | $706.50    | $923.50    | 0.52
932        | 3    | 5      |  40.0 |   0.07 | $5.00      | $8.00      | 0.44
9610       | 3    | 92     |  39.1 |   0.06 | $277.50    | $413.00    | 0.55
124        | 3    | 57     |  36.8 |   0.06 | $123.00    | $169.00    | 0.50
112        | 3    | 71     |  39.4 |   0.06 | $184.50    | $271.00    | 0.51
492        | 3    | 2      |  50.0 |   0.06 | $1.00      | $0.00      | 0.43
291        | 3    | 9      |  22.2 |   0.06 | $8.00      | $21.50     | 0.47
804        | 3    | 8      |  37.5 |   0.05 | $6.50      | $47.50     | 0.60
132        | 3    | 77     |  37.7 |   0.05 | $79.50     | $109.50    | 0.48
700        | 3    | 30     |  36.7 |   0.05 | $73.00     | $192.00    | 0.51
940        | 3    | 5      |  40.0 |   0.05 | $2.50      | $18.00     | 0.57
45000      | 3    | 198    |  39.9 |   0.01 | $38.50     | $368.50    | 0.62
850        | 3    | 9      |  22.2 |   0.01 | $2.00      | $125.00    | 0.60
591        | 3    | 50     |  40.0 |   0.00 | $1.50      | $142.50    | 0.56
21         | 3    | 1      |   0.0 |   0.00 | $-226.00   | $0.00      | 1.12
72         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
5          | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
99         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
4          | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
104        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
360        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
362        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
363        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
364        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
310        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
312        | 3    | 1      |   0.0 |   0.00 | $-2.00     | $0.00      | 1.12
314        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
510        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
581        | 3    | 1      | 100.0 |   0.00 | $45.00     | $0.00      | 0.00
231        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
560        | 3    | 1      |   0.0 |   0.00 | $-28.00    | $0.00      | 1.12
561        | 3    | 1      | 100.0 |   0.00 | $19.00     | $0.00      | 0.00
562        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
563        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
430        | 3    | 1      |   0.0 |   0.00 | $-11.00    | $0.00      | 1.12
390        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
391        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
392        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
393        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
394        | 3    | 1      |   0.0 |   0.00 | $-22.50    | $0.00      | 1.12
523        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
524        | 3    | 1      |   0.0 |   0.00 | $-18.50    | $0.00      | 1.12
441        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
443        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
220        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
221        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
222        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
223        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
603        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
320        | 3    | 1      |   0.0 |   0.00 | $-18.50    | $0.00      | 1.12
322        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
323        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
324        | 3    | 1      |   0.0 |   0.00 | $-6.00     | $0.00      | 1.12
652        | 3    | 1      | 100.0 |   0.00 | $23.50     | $0.00      | 0.00
301        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
302        | 3    | 1      | 100.0 |   0.00 | $86.50     | $0.00      | 0.00
303        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
760        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
761        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
742        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
743        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
803        | 3    | 1      | 100.0 |   0.00 | $29.00     | $0.00      | 0.00
631        | 3    | 1      | 100.0 |   0.00 | $17.50     | $0.00      | 0.00
790        | 3    | 1      |   0.0 |   0.00 | $0.00      | $0.00      | 0.52
791        | 3    | 1      | 100.0 |   0.00 | $43.50     | $0.00      | 0.00
792        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
793        | 3    | 1      | 100.0 |   0.00 | $34.50     | $0.00      | 0.00
794        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
770        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
534        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
