
STRATEGY PERFORMANCE REPORT
ID         | Tier | Trades | Win%  | Sharpe | PnL        | MaxDD      | Risk 
960        | 4    | 22     |  31.8 |  -0.16 | $-124.00   | $174.50    | 0.70
194        | 4    | 34     |  26.5 |  -0.17 | $-113.00   | $191.50    | 0.77
592        | 4    | 112    |  28.6 |  -0.18 | $-413.00   | $448.50    | 0.74
86         | 4    | 12     |  41.7 |  -0.19 | $-195.50   | $388.50    | 0.84
494        | 4    | 22     |  36.4 |  -0.19 | $-54.50    | $99.50     | 0.79
604        | 4    | 22     |  27.3 |  -0.20 | $-74.50    | $115.50    | 0.71
900        | 4    | 19     |  42.1 |  -0.22 | $-119.50   | $180.50    | 0.95
402        | 4    | 24     |  29.2 |  -0.24 | $-62.00    | $63.00     | 0.75
370        | 4    | 10     |  40.0 |  -0.25 | $-39.00    | $58.50     | 0.88
692        | 4    | 82     |  24.4 |  -0.29 | $-532.00   | $708.50    | 0.84
341        | 4    | 25     |  40.0 |  -0.29 | $-328.00   | $517.00    | 0.92
732        | 4    | 22     |  27.3 |  -0.29 | $-80.50    | $89.50     | 0.93
741        | 4    | 28     |  35.7 |  -0.30 | $-177.50   | $151.00    | 0.91
9611       | 4    | 70     |  28.6 |  -0.32 | $-313.00   | $330.00    | 0.88
4110       | 4    | 14     |  28.6 |  -0.32 | $-188.50   | $259.50    | 0.80
490        | 4    | 14     |  42.9 |  -0.33 | $-124.00   | $149.00    | 1.03
380        | 4    | 12     |  33.3 |  -0.35 | $-53.50    | $58.00     | 0.81
190        | 4    | 38     |  26.3 |  -0.37 | $-732.50   | $799.50    | 0.85
682        | 4    | 14     |  28.6 |  -0.38 | $-87.00    | $85.00     | 0.85
611        | 4    | 16     |  25.0 |  -0.39 | $-83.50    | $81.00     | 0.87
680        | 4    | 20     |  30.0 |  -0.39 | $-324.00   | $407.50    | 0.96
962        | 4    | 10     |  30.0 |  -0.41 | $-100.00   | $103.00    | 1.11
750        | 4    | 28     |  32.1 |  -0.44 | $-1666.00  | $1734.50   | 1.09
242        | 4    | 21     |  23.8 |  -0.45 | $-82.50    | $90.50     | 0.80
583        | 4    | 11     |  27.3 |  -0.62 | $-145.50   | $117.50    | 1.01
413        | 4    | 14     |   7.1 |  -0.63 | $-299.00   | $286.50    | 1.06
420        | 4    | 10     |  10.0 |  -0.67 | $-319.50   | $255.00    | 0.85
133        | 4    | 17     |  29.4 |  -0.71 | $-111.00   | $103.00    | 1.09
9011       | 4    | 10     |   0.0 |  -0.93 | $-185.00   | $175.50    | 1.30
191        | 4    | 21     |   9.5 |  -1.10 | $-236.00   | $229.50    | 0.97

Saved 6 Tier 1 strategies to checkpoints_pre_snowflake\production_playbook.pkl

TIER SUMMARY:
  Tier 1 (PRODUCTION): 6 templates
  Tier 2 (PROMISING): 30 templates
  Tier 3 (UNPROVEN): 245 templates
  Tier 4 (TOXIC): 86 templates

ANCESTRY ANALYSIS (Tier 1):
  Roche-backed: 3
  Structure-backed: 3

================================================================================
PARETO ANALYSIS  (top contributors to gross profit)
================================================================================
  Gross profit from winning trades: $191,711.00  (3,679 wins of 9,720 total)

  -- BY TEMPLATE --
  Key                       PnL  Trades    Cum%
  1                  $32,933.50     288    17.2%
  10                 $31,405.50     123    33.6%
  0                  $23,786.50     204    46.0%
  11                 $ 4,557.00      20    48.3%
  880                $ 3,528.00      51    50.2%
  151                $ 3,477.50      95    52.0%
  640                $ 2,947.50      44    53.5%
  30                 $ 2,823.50      87    55.0%
  90                 $ 2,801.00      79    56.5%
  131                $ 2,723.00      46    57.9%
  => 41 of 251 keys (16%) drive 80% of profit

  -- BY DIRECTION --
  Key                       PnL  Trades    Cum%
  SHORT              $99,905.00   1,821    52.1%
  LONG               $91,806.00   1,858   100.0% <-- 80%
  => 2 of 2 keys (100%) drive 80% of profit

  -- BY ORACLE LABEL --
  Key                       PnL  Trades    Cum%
  MEGA_LONG          $61,963.50   1,233    32.3%
  MEGA_SHORT         $50,544.50   1,094    58.7%
  SCALP_SHORT        $29,790.50     473    74.2%
  SCALP_LONG         $29,447.50     497    89.6% <-- 80%
  NOISE              $19,934.50     381   100.0%
  WORKER_BYPASS      $    30.50       1   100.0%
  => 4 of 6 keys (67%) drive 80% of profit
