**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

concept_tf,UP_SMOOTH,UP_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY
bar_range_15m,31.577002551820428,34.91948074240604,31.71188193785383,19.241472403866954,5.098913259305647,6.273901482884388
bar_range_1h,41.113835937740085,33.5827602952603,29.38112745952808,24.626666666666665,4.385536046625527,6.6522342770451655
bar_range_1m,40.61455177401856,38.43120277078086,38.149001437440745,20.276645566818644,6.360879302957329,3.5232785468806824
bar_range_4h,19.84606820011114,20.22650453053653,31.00870151378281,19.345795271278647,4.496807012432012,9.191566043603627
bar_range_5m,38.021647719796846,39.772988802414226,36.509079018304575,19.80004351982649,2.99810832409442,4.411874897112452
bar_range_5s,27.195746894040706,33.35172622383836,35.52552879609842,18.56398928539691,4.71138583314903,5.60469671698786
body_15m,19.84454655623162,30.029655392921974,19.506141571335327,12.30934513771782,4.785803052416036,8.273332418336535
body_1h,33.95855317284304,12.853617858926835,21.115498962344013,22.395894648829433,9.08166707713545,12.469405161143637
body_1m,21.46643049007784,16.508406730369757,24.005931617930194,11.745019201815117,1.8410141913981752,4.073732375821292
body_4h,10.48686974789916,9.62609026752942,28.722522123893803,17.751241561649763,8.187436385771313,22.97887013429366
body_5m,17.04881882599812,20.98123867935065,18.64943819598178,3.669900700306279,3.3510887233452484,4.03637782094319
body_5s,13.89910686849876,16.883358427962506,19.000085491149036,11.290486200551976,4.172159162144385,4.560100893004448
price_accel_1b_15m,16.26779556617121,17.795222929936305,19.408968033772197,12.522435659413652,3.527189275391209,7.623302723871114
price_accel_1b_1h,21.668323185385788,12.078070499604518,28.97429072813464,19.75324966670085,4.025743720092914,8.748901871018841
price_accel_1b_1m,24.984007534472042,19.466087686262924,19.908313629209065,12.699935264054513,2.6884995339662723,1.6523688776110939
price_accel_1b_4h,17.413720061620744,12.40773057787983,23.91984187568157,15.254291811064046,3.4522543210650616,10.080828196020065
price_accel_1b_5m,18.96636624954073,18.366507551077863,17.30439634867288,6.11348415989934,2.709753795516932,1.824033344947332
price_accel_1b_5s,21.214801139754144,18.184402667586525,17.686026815473028,6.6117205150196625,3.534974495380468,2.2719034734686945
price_accel_w_15m,15.83187269686959,20.944552525956148,18.29534988308304,10.279644296273208,6.175729070711164,5.732594079007175
price_accel_w_1h,37.38129829845591,14.378846153846155,19.869408822664106,16.240821585094974,6.8708521243769285,11.899220668267736
price_accel_w_1m,16.95688052163548,18.349102645384686,19.561906200618605,12.539029410241804,3.042191215085752,2.2034804224471958
price_accel_w_4h,4.387902085953165,11.998607397504458,27.778225108225108,16.271791272025258,3.3639579759862777,8.59620163550616
price_accel_w_5m,16.221391857516046,21.28199102898842,18.28245043193884,7.875752270723291,1.786261451132468,5.672359702516838
price_accel_w_5s,16.619795603001513,17.471721644378405,14.925193323274236,4.226345863789303,2.827879940852352,2.1201446964417374
price_mean_w_15m,25.485726103858738,23.265114307217143,25.77304394426581,20.817001675041872,4.783135070639121,2.5797160797160794
price_mean_w_1h,23.64138655462185,21.10780885780886,25.288964709126,19.999166666666667,5.051521157778827,2.9547830613024075
price_mean_w_1m,24.59331614851209,24.281210191082803,22.472820324395435,19.825172406066002,4.505561172901921,2.53755587588784
price_mean_w_4h,25.229679439941044,18.442094017094018,26.5605297945902,16.000785256410254,4.938413207163207,1.4951710816777042
price_mean_w_5m,24.46840374461088,22.855118289353957,23.296344341250013,19.580996537873315,4.888214466363177,2.362858271743814
price_mean_w_5s,24.52063817917562,25.20732484076433,21.850639866782586,20.633590191761485,3.9132137443153105,2.6757762849288578
price_sigma_w_15m,31.21184598140932,26.170184867840263,22.670711715727272,25.494238023730226,3.844291315106884,5.170686297248503
price_sigma_w_1h,18.59935855949145,15.988706819137146,12.281103768163533,19.252276015581526,9.349181215127874,7.2277948115033634
price_sigma_w_1m,35.9490140545249,34.76464968152866,35.09807073954984,16.88252508361204,3.0599089989888775,5.764413615863514
price_sigma_w_4h,22.274564974457213,14.727272727272727,28.760169604700856,27.426631944444445,3.801282051282051,4.82748089405098
price_sigma_w_5m,32.813948822346305,33.23917197452229,37.40723714171371,17.296404682274247,3.3364946889226097,5.548906294055242
price_sigma_w_5s,41.857413455289986,35.764055174755086,32.47749196141479,16.358277591973245,4.337639625616714,4.220532728879936
price_velocity_1b_15m,21.46623108830476,29.555019760940812,19.77465467458351,12.630273250239693,4.099483668304097,8.58564223928933
price_velocity_1b_1h,35.32248299907791,17.49475836530264,20.812036556685342,23.23500853242321,9.378246459952262,13.765326349717968
price_velocity_1b_1m,22.182695697746436,16.938078816809707,21.770145362752558,10.720926814798835,1.9115091008419842,3.5139716798831655
price_velocity_1b_4h,10.510590202327489,9.502069379800961,31.34557291666666,17.751241561649763,7.489608169784896,23.444076708220383
price_velocity_1b_5m,17.319204432261756,19.611584779556395,19.49227585771151,5.718763020393455,2.9063886710641635,3.8579515358323713
price_velocity_1b_5s,18.41660844927265,20.327653729516435,18.301544836450972,6.571694043303019,2.755159504932558,3.985483924209414
price_velocity_w_15m,22.72839848436083,21.006699396041768,12.957107173790332,13.477006002493258,4.982372583705072,14.413700989674659
price_velocity_w_1h,13.425445072913538,21.69551282051282,8.306702184123868,35.52676020408163,15.690540336150342,26.60067934644288
price_velocity_w_1m,21.58715716037892,27.68763183568001,18.805033989685885,8.784704694951028,5.3599153585774575,4.070949078240957
price_velocity_w_4h,33.70803909880166,25.01294593088071,19.400380658436216,16.787743760071034,5.721910896074909,6.244437731741961
price_velocity_w_5m,26.781416256905235,24.494636371175055,24.326197141207555,18.761510875253112,9.983765094640216,6.836486036997176
price_velocity_w_5s,23.23976575184281,16.748095420143393,19.611987159411207,8.773843062370306,1.7276529576411295,4.403501884105294
vol_accel_1b_15m,13.445619828037604,16.144636293208514,29.170408792609997,16.34603310422611,3.4396159676604343,5.034703656073251
vol_accel_1b_1h,15.289163349550345,19.156789150731353,32.95725682902154,14.8342425868511,7.320263694461312,9.04302403249995
vol_accel_1b_1m,11.623126122614847,16.21806487289401,19.20627460084267,11.673913043478262,3.017201565452904,2.2447987324901986
vol_accel_1b_4h,24.779284782582558,15.061281295137217,12.320383179544137,9.743446291560105,6.852485990492125,5.921879608059414
vol_accel_1b_5m,11.89495035013903,18.899629665645612,17.496585179166928,12.547319932998326,1.7758384889003676,2.5968775593775595
vol_accel_1b_5s,19.21646284395083,20.76339363856868,20.120449805849766,14.630252100840337,3.2265739223411547,1.7687129142568898
vol_accel_w_15m,9.471146005361144,9.159757653061224,18.750744986990014,13.57286432160804,5.7374199717495165,3.677681194207442
vol_accel_w_1h,17.48053221288515,14.99147730998754,23.938034473086503,20.74125,5.215887891656931,7.805293681795593
vol_accel_w_1m,15.334575021960777,17.158285501389404,21.26197038300851,12.535928176979743,2.2678507940913883,2.5297446967574517
vol_accel_w_4h,23.930301183496848,8.030979873269356,18.135416666666668,19.20721440750213,8.069472514834775,7.398381845138457
vol_accel_w_5m,15.04481735853495,14.499599277159202,22.522811392284108,15.813127090301005,1.9540743230697322,2.427521538432787
vol_accel_w_5s,16.18137776700067,18.178456900135775,19.997682892427278,12.17762656513502,2.8490583722780545,4.079761796410307
vol_mean_w_15m,26.44397322379565,27.635442562857673,36.97883172561629,27.768534338358457,2.7620599478441457,8.1679843176841
vol_mean_w_1h,19.3569415081043,5.31361337777267,7.086870409054914,12.102860169491528,7.471072527850913,10.865063980427568
vol_mean_w_1m,34.42272727272727,32.677070063694266,33.504555198285104,22.781772575250834,3.1808645096056622,3.027844513670315
vol_mean_w_4h,24.989045837633302,24.47563874034462,27.673073454323454,24.788670212765958,4.246127136752136,1.902973013452426
vol_mean_w_5m,36.69199144102923,32.255414012738854,37.169346195069664,25.134615384615387,5.1052099140111284,4.051409574211546
vol_mean_w_5s,30.955261600065448,30.721490265747548,36.2152595825589,18.899089909566598,4.3109783835100455,2.600947080354047
vol_sigma_w_15m,30.86308459442477,20.371228828618303,18.978295819935692,25.009878559463985,2.6252535496957403,3.8587223587223587
vol_sigma_w_1h,23.156271402197543,11.35685687263556,19.232469380714164,13.920985163616194,4.642996672210783,11.80030385773886
vol_sigma_w_1m,25.247752230274976,27.478025477707007,30.633976420150056,20.176421404682273,3.149014155712841,1.7139639639639639
vol_sigma_w_4h,22.658575386676407,16.271726884226883,27.477988953866145,15.660842198581559,1.0949986855941114,3.684691927665921
vol_sigma_w_5m,27.687451247143336,21.061464968152865,29.500267952840304,31.370401337792643,4.433358624178047,3.7861808360986666
vol_sigma_w_5s,26.222556234820388,28.486305732484077,30.330385852090032,18.525083612040135,3.505643368105247,2.5803217770001
vol_velocity_1b_15m,16.45626091892712,18.69504722161212,20.62437132069905,18.829649953626937,5.643938833497588,1.838765577100365
vol_velocity_1b_1h,26.881965083527586,18.63486875710327,31.755131320263608,24.720082649086343,9.208493268038206,10.804480511363733
vol_velocity_1b_1m,14.756763637962967,18.47351882320361,20.766927704594963,12.11256323777403,4.02828943989976,2.797883234469564
vol_velocity_1b_4h,24.1426318847235,27.615411203059622,27.200096200096198,31.416805555555555,7.9633788524554046,9.278261685470008
vol_velocity_1b_5m,14.622168451147685,17.385189051735345,23.491015850441094,16.401337792642142,2.814931783729156,0.7529508051711999
vol_velocity_1b_5s,11.809819789158176,18.415446146770677,21.018326022246594,14.251065734315317,2.1229260487891914,1.6865635757814679
vol_velocity_w_15m,31.744867431378978,24.50198061094667,23.694929740559317,16.96077380952381,8.927264390941845,3.1697217885809588
vol_velocity_w_1h,38.52019417287399,21.0938277000777,35.20383411580595,22.913333333333334,3.774635029781149,5.636245043280054
vol_velocity_w_1m,16.764140193668183,21.765058102786018,23.812508825660508,9.747138111377973,3.3511832219434816,0.920037784916445
vol_velocity_w_4h,13.057677658242623,18.444069602272727,30.483035001716534,23.515965166908565,6.959876354183679,10.00325143845189
vol_velocity_w_5m,17.54041287613716,21.070625391479773,20.723109571218142,21.639214046822744,4.190566514921598,6.432789314496806
vol_velocity_w_5s,15.069437755537159,19.54057706136146,22.36060126794804,10.338858132328081,2.344786567389307,1.3700480574923897
vwap_w_15m,25.59515257885125,23.003315837829387,25.655886164893346,20.69681742043551,5.101621895590471,2.296819546819547
vwap_w_1h,24.438087943510737,20.960081585081586,24.074080209241497,21.435,4.717791411042945,2.047556359448035
vwap_w_1m,24.57987345055225,24.593073654621083,22.089590549659825,19.78035243105158,4.4083670374115265,2.4572146659246084
vwap_w_4h,25.229679439941044,22.60762720352564,26.675695878506282,16.683878205128202,6.411147004502682,2.3332121349898474
vwap_w_5m,24.427682079991385,24.144904458598727,23.22793500361104,19.355767129964203,4.758851795649975,2.0647834470759694
vwap_w_5s,24.519763441596893,24.892431431171197,21.88279535763079,20.569991820865756,3.925088428499242,2.6435845160167264
