concept,tf,regime_2d,quantile,n,feat_mean,mean_fwd,std_fwd,win_rate
price_velocity_1b,5s,UP_SMOOTH,0,1369,-2.2211468224981736,29.655222790357925,103.84063764456856,0.6369612856099343
price_velocity_1b,5s,UP_SMOOTH,1,1032,-0.6065891472868217,11.238614341085272,45.34217951510414,0.627906976744186
price_velocity_1b,5s,UP_SMOOTH,2,1530,-0.12238562091503268,14.07091503267974,68.28372229425567,0.6222222222222222
price_velocity_1b,5s,UP_SMOOTH,3,1323,0.36281179138321995,14.89474678760393,72.7495439624189,0.6281179138321995
price_velocity_1b,5s,UP_SMOOTH,4,1892,1.8924418604651163,25.556289640591967,105.4134199037182,0.6511627906976745
price_velocity_1b,5s,UP_CHOPPY,0,781,-2.5537772087067863,15.143405889884763,88.92505893786628,0.5992317541613317
price_velocity_1b,5s,UP_CHOPPY,1,509,-0.6046168958742633,6.1895874263261295,47.0464924348245,0.5481335952848723
price_velocity_1b,5s,UP_CHOPPY,2,804,-0.11722636815920398,3.388992537313433,35.613883948088834,0.5373134328358209
price_velocity_1b,5s,UP_CHOPPY,3,1013,0.472852912142152,5.955824284304048,46.728317514584205,0.5616979269496545
price_velocity_1b,5s,UP_CHOPPY,4,817,2.41921664626683,23.716646266829866,91.53490828406407,0.6083231334149327
price_velocity_1b,5s,DOWN_SMOOTH,0,925,-2.961621621621622,-31.51837837837838,98.60592090772307,0.37405405405405406
price_velocity_1b,5s,DOWN_SMOOTH,1,842,-0.7214964370546318,-18.512173396674584,61.649279762789845,0.41211401425178146
price_velocity_1b,5s,DOWN_SMOOTH,2,799,-0.1214017521902378,-13.216833541927409,57.60153665636023,0.4005006257822278
price_velocity_1b,5s,DOWN_SMOOTH,3,1006,0.47291252485089463,-17.728131212723657,67.01200062487271,0.3976143141153082
price_velocity_1b,5s,DOWN_SMOOTH,4,1090,2.338302752293578,-26.22729357798165,93.95811580553541,0.41651376146788993
